phrase_id,balise_lieu_obj,balise_lieu_loc,balise_act,balise_doc,balise_perc,balise_tps,balise_dyn,phrase
1,,,,,,, se sont accrus ,"Depuis 1880 Paris et son agglomération  se sont accrus  de 5 millions d' habitants , croissance exceptionnellement rapide , sans organisation ni méthode , alors que l' arrivée massive des provinciaux aurait exigé une politique consciente et volontaire. "
2,,,,,,, se sont édifiés ,Des milliers de logements sans confort  se sont édifiés  dans un incroyable désordre . 
3,,,,,,," l' embellissement de Paris ,","Si au cours de notre histoire , chaque génération apporta sa contribution à  l' embellissement de Paris , les cent dernières années n'ont ajouté à , la plus belle ville du monde , qu'une banlieue indifférenciée , sans style et sans âme . "
5,,,,,,," s'aggrave ,","Les circonstances ont voulu que les études entreprises par quelques hommes clairvoyants et qui auraient évité que cette situation ne  s'aggrave , voient seulement le jour à la veille de la dernière guerre . "
7,,,,,,," le renouveau de la France , la croissance démographique de l' agglomération parisienne a imposé un immense effort de construction .","Après dix années sombres où se prépara puis s'accomplit  le renouveau de la France , la croissance démographique de l' agglomération parisienne a imposé un immense effort de construction . "
8,,,,,,, ont surgi ,De véritables villes nouvelles  ont surgi  à un rythme jamais atteint . 
10,,,,,,," l' équipement d' une agglomération urbaine ,","Mais il faut régler aussi la très importante question de  l' équipement d' une agglomération urbaine , aussi peuplée que la Suède , et déterminer les bases sur lesquelles doit évoluer le Paris futur . "
11,,,,au plan <dyn,,,,C'est l' objectif que le Gouvernement assignait le 31 décembre 1958au plan > d' Aménagement et d' Organisation Générale de la Région Parisienne. 
12,,,,,,, l' organisation et la prévision qu'un Pays vivant ,"Élaboré en tenant compte des études antérieures par tous les Ministères étroitement associés , soumis à l' approbation des collectivités locales de la Région Parisienne , il met fin aux procédés d' interventions partielles qui n'aboutissaient qu'à une inefficace dilution des crédits . Il rend désormais possible  l' organisation et la prévision qu'un Pays vivant  se doit de réserver à la première de ses régions . "
13,,,,ce plan,,, le Devenir de Paris.,"En approuvantce planle 6 août 1960 , soit cent ans après l' ère des derniers grands travaux , le Gouvernement a marqué sa volonté qu'un document unique , de conception simple et large , détermine  le Devenir de Paris. "
15,,,,,,, Le développement extraordinaire de Paris  et de sa Région ," Le développement extraordinaire de Paris  et de sa Région  n'était pas , dès l' origine , inscrit sur son sol : petite ville à la croisée de la route des Flandres et de la Seine , le Paris  romain ou gallo-romain n'était rien à côté de Narbonne , Lyon ou Toulouse . "
16,,,,,,," lentement ,","Avant de devenir au cours des 80 dernières années cette agglomération géante qui compte un nombre d' habitants équivalent à celui d' un petit pays européen , PARIS a grandi  lentement , guidé par des principes qui témoignent d' une rare continuité de pensée , d' une volonté de s'opposer au gigantisme , de la préoccupation de garder un équilibre harmonieux entre les différentes parties de la ville , du soin apporté à son embellissement et à son équipement . "
17,,,,,,, limiter la croissance de PARIS ,"L'un des plus constants soucis des Gouvernements successifs a été de  limiter la croissance de PARIS  afin de mieux assurer , selon les époques , la sécurité , la circulation , la police et ... la perception des impôts . "
18,,,,,,, bâtissant les enceintes successives de Paris .,"Philippe Auguste , Charles V , Louis XIII et les Fermiers Généraux ont , tour à tour , affirmé cette volonté en  bâtissant les enceintes successives de Paris . "
19,,,,,,, conserver un juste équilibre entre sa Capitale et ses villes de province .,"Henri II , au milieu du XVIe siècle , se montre soucieux déjà , de  conserver un juste équilibre entre sa Capitale et ses villes de province . "
20,,,,,,, conserver ou faire conserver ,"Dans le préambule d' un arrêt célèbre , il constate que , Parisétant Capitale et principale ville du royaume , il est nécessaire de  conserver ou faire conserver  en bon ordre et police , sans souffrir qu'il soit fait chose qui puisse amener désordre et confusion ,. "
21,,,,,,, se bastissent encores de nouveau ,"Il dénonce déjà l' exode des provinciaux vers la Capitale et ses faubourgs : , le grand nombre de maisons qui se sons basties depuis vingt ans et ça es fauxbourgs de ladite ville et  se bastissent encores de nouveau  chaque jour ( sont ) cause en premier lieu d' y attirer des autres villes et villages de nostre royaume une infinité de gens , lesquels trouvans esdits fauxbourgs aisée commodité de s'y loger , laissent et abandonnent lesdites villes et villages où ils estoient habituez ; "
22,,,,,,, s'y retirent et logent à la grande diminution des dites villes et à la surcharge des autres habitans nous payans tailles qui y demeurent ,"et pour jouir des franchises et exemptions dont jouissent les habitans des fauxbourgs de nostre dite ville  s'y retirent et logent à la grande diminution des dites villes et à la surcharge des autres habitans nous payans tailles qui y demeurent  ,. "
23,,,,un plan d' extension et d' embellissement où les considérations d' esthétique n'excluaient pas,,, de nombreux espaces libres pour bâtir ,"Quelques années plus tard , et bien que  de nombreux espaces libres pour bâtir  existent à l' intérieur de l' enceinte , Henri IV conçoitun plan d' extension et d' embellissement où les considérations d' esthétique n'excluaient pascelle de rentabilité du sol : le Roi prête cent mille francs pour élargir l' enceinte et permettre la création de nouveaux quartiers , tout de suite très recherchés , mais sous la condition qu'on lui rende deux cent mille francs quatre ans plus tard ! "
24,,,,,,, l' opération d' extension.,Sage façon de récupérer la plus-value donnée aux terrains par  l' opération d' extension. 
25,,,,dans l' Édit de 1607,,," faciliter la circulation , d' obliger les constructeurs à respecter l' alignement ","Il se préoccupe en même temps de  faciliter la circulation , d' obliger les constructeurs à respecter l' alignement  et définit ,dans l' Édit de 1607, les attributions du grand voyer et son concours en matière de voirie , police des rues et chemins. "
26,,,,,,, fixe ,"En 1638 , Louis XIII  fixe  un nouveau périmètre d' une longueur d' environ 16 km . "
27,,,,un plan,,," doit enclore les fauxbourgs Saint-Germain , Saint-Michel , Saint-Jacques , Saint-Marcel et Saint-Victor ","Un arrêt prévoit qu'un plansera établi dans ces nouvelles limites qui devront être matérialisées sur le sol par 31 bornes , à commencer depuis la rivière vis-à-vis le gros pavillon des Tuileries de ladite rivière en amont à regagner le bastion de l' Arsenal circuisant la ligne qui  doit enclore les fauxbourgs Saint-Germain , Saint-Michel , Saint-Jacques , Saint-Marcel et Saint-Victor  ,. "
29,,,,"un plan , exact et fidèle de PARIS sur lequel l' on marquerait les changements qui pourraient y être faits dans la suite pour la commodité publique , pour faciliter la communication des quartiers et pour  l' embellissement de cette ville </dyn",,,,"Colbert , assisté du Prévôt des Marchands Le Pelletier , fait établir par Bullet et Blondelun plan , exact et fidèle de PARIS sur lequel l' on marquerait les changements qui pourraient y être faits dans la suite pour la commodité publique , pour faciliter la communication des quartiers et pour  l' embellissement de cette ville > ,. "
30,,,,,,," l' accroissement continuel et de l' augmentation de , la grande ville ,","A cette époque on se plaint de  l' accroissement continuel et de l' augmentation de , la grande ville , provoqué par , la nécessité des affaires , le désir d' apprendre , le plaisir ou la curiosité ,. "
31,,,,,,," fut donc commencée ,","Une nouvelle enceinte  fut donc commencée , en même temps que des aménagements intérieurs contribuaient à l' embellissement et aux commodités de la ville : création de places , percements de rues , fontaines , monuments , aspects des berges de la Seine . "
32,,,,,,, a construit ,"Cinquante ans plus tard , une déclaration du ROI , en date du 18 juillet 1724 constate que l' on  a construit  à la périphérie , sans utiliser les possibilités que réservaient des terres encore en marais et même des terres labourables à l' intérieur des limites de 1672 , et estime , qu'au point de grandeur où cette ville est parvenue , on ne saurait y souffrir de nouvel accroissement sans l' exposer à sa ruine ,. "
33,,,,,,, interdiction de construire ,Un nouveau bornage est imposé avec  interdiction de construire  dans les faubourgs . 
34,,,,,,, le contrôle des nouvelles prescriptions .,"Le numérotage des maisons de Paris date de cette époque , et fut institué pour permettre  le contrôle des nouvelles prescriptions . "
35,,,,,,, l' extension des limites ,"En 1785 , les Fermiers Généraux pour remplir plus aisément les caisses du trésor royal proposent  l' extension des limites  à l' intérieur desquelles on percevait l' impôt . "
36,,,,,,, accroît ,"Ce nouveau périmètre , appelé à tort , enceinte , des Fermiers Généraux ,  accroît  à son tour la superficie de Paris et du même coup ses maux et désordres . "
37,,,,,,," En renonçant au pouvoir décentralisé des Intendants de l' ancien régime pour lui substituer un pouvoir central , soucieux des moindres détails de l' organisation départementale , Napoléon Ier fit de Parisla seule capitale politique et administrative ."," En renonçant au pouvoir décentralisé des Intendants de l' ancien régime pour lui substituer un pouvoir central , soucieux des moindres détails de l' organisation départementale , Napoléon Ier fit de Parisla seule capitale politique et administrative . "
38,,,,,,," la centralisation industrielle ,","Napoléon III y ajoutera  la centralisation industrielle , favorisée par le tracé des premières lignes de chemin de fer . "
39,,,,,,, bouleverse les vieux quartiers de Paris  ,"Haussmann , qui joint au souci de l' ordre public , le goût des perspectives et celui , particulier à son époque , du pastiche historique ( certains boulevards de Paris  ont été tracés , comme il l' indique lui-même , pour évoquer les perspectives de villes étrangères célèbres )  bouleverse les vieux quartiers de Paris   et les transforme en une ville moderne . "
41,,,,,,," est intégrée aux 12 arrondissements que comportait alors la Capitale , toutes les conditions se trouvent réunies pour susciter un développement considérable de l' agglomération parisienne .","Aussi , lorsqu'en 1859 , une partie des communes de banlieue  est intégrée aux 12 arrondissements que comportait alors la Capitale , toutes les conditions se trouvent réunies pour susciter un développement considérable de l' agglomération parisienne . "
42,,,,,,, s'accroîtra de 5 millions d' habitants .,"En moins de 80 ans , elle  s'accroîtra de 5 millions d' habitants . "
43,,,,,,," l' industrialisation ,","Le renouveau économique qui suivit la première guerre mondiale , lié au développement de  l' industrialisation , appelèrent à PARIS une population provinciale que le goût de la vie en plein air , le développement des moyens de transport et les mesures prises à cette époque pour faciliter l' accession à la propriété , conduisirent à s'installer dans des lotissements situés généralement le long des voies ferrées et des axes de circulation . "
44,,,,,,, réalisés ,"De qualité souvent douteuse ,  réalisés  au hasard des spéculations , ces lotissements ne tardèrent pas à occuper des surfaces égales à près d' une fois et demi celle de Paris( 13 . 000 hectares ). "
45,,,,,,, un développement aussi anarchique ,"C  '  est pour mettre un terme à  un développement aussi anarchique  qu  '  inesthétique et ruineux pour la collectivité , qu  '  un  obj>Comité   Supérieur de l  '   Aménagement et de  obj>l  '   Organisation Générale   de  obj> la Région   Parisienne , est créé au Ministère de l  '   intérieur en 1928 . "
46,,,,le schéma des <dyn,,,,"En l' installant , le ministre de l' intérieur , M . Albert Sarraut traçait la voie à suivre lorsqu'il déclarait : , Il ne lui servirait de rien de surveiller , de coordonner des activités , s'il n'intervenait aussi pour les orienter , pour tracer la route à suivre , établir avec le concours de techniciensle schéma des > grands travaux à effectuer , déterminer les zones réservées à l' habitation ou à tous autres usages , s'il ne servait de guide à ces collectivités trop isolées les unes des autres et qui ne peuvent que malaisément s'abstraire des intérêts dont elles ont la charge ,. "
47,,,,"une loi , complétée par un décret-loi du 25 juillet 1935 prévoit l' établissement du premier Plan d' Aménagement de la Région Paris",,,ienne ,"Le 14 mai 1932 ,une loi , complétée par un décret-loi du 25 juillet 1935 prévoit l' établissement du premier Plan d' Aménagement de la Région Parisienne . "
48,,,,Ce Plan,,, d' utilité publique ,Ce Plansera déclaré  d' utilité publique  à la veille de la guerre en 1939. 
