phrase_id|balise_lieu_obj|balise_lieu_loc|balise_act|balise_doc|balise_perc|balise_tps|balise_dyn|phrase
0.0||||||| un urbanisme territorial |﻿Le temps d' une réalité utopique Réflexions pour  un urbanisme territorial  Bernard Reichen 
1.0||||pour un article consacré à la ville de Thessalonique</lieu||| La vie avant la ville , : tel est le titre que j'avais choisi , il y a une dizaine d' années ,pour un article consacré à la ville de Thessalonique>.|Une réalité utopique ,  La vie avant la ville , : tel est le titre que j'avais choisi , il y a une dizaine d' années ,pour un article consacré à la ville de Thessalonique>. 
2.0||||||| cette ville bruyante et désordonnée ,|Et j'ai toujours le même sentiment dans  cette ville bruyante et désordonnée , mais si vivante , métissée , partagée , sans aucune des pathologies de ruptures territoriales qui nous préoccupent aujourd'hui . 
3.0||||qu'elle est sans un plan magnifique conçu par Hébrard après <dyn||||Une ville qui ne serait pas non plus cequ'elle est sans un plan magnifique conçu par Hébrard après > l' incendie  de 1917. 
4.0||||||| équilibrer les territoires urbains .|Si je cite cet exemple , c'est pour situer d' emblée mon propos entre un principe de réalité – un urbanisme des modes de vie – et une nécessité – un urbanisme matriciel : une équation dont les règles sont à réinventer à chaque époque et qui exprime , selon moi , la capacité de l' urbanisme à  équilibrer les territoires urbains . 
6.0||||d' un autre plan exemplaire conçu , celui là , par <dyn||||Une responsabilité sûrement usurpée , due aux hasards de la coopération technique , mais une expérience unique au contactd' un autre plan exemplaire conçu , celui là , par > l' urbaniste Normand  en 1949. 
7.0||||||| ont , dans une époque ambiguë et chacun à leur manière , jeté les bases de nombreuses villes aimées |Ainsi j'ai vécu mes années 1960 , en marge des mouvements de l' époque , et j'ai gardé une grande affection pour Henri Prost , Joseph Hébrard et Tony Garnier , Grands Prix de Rome du début du siècle qui  ont , dans une époque ambiguë et chacun à leur manière , jeté les bases de nombreuses villes aimées  : Thessalonique , Casablanca , Hanoi , etc . 
8.0||||||| l' aventure de , l' or blanc ,|De retour en France , j'ai continué mon éducation auprès de Jean-Claude Bernard dans  l' aventure de , l' or blanc , : Tignes et ensuite Val-Thorens , villes extrêmes à imaginer avec conviction , mais sans l' arsenal conceptuel et environnemental qui aurait permis de maîtriser un tel sujet . 
9.0||||||| l' industrialisation du bâtiment .|Cette époque se conclut par le concours d' Évry 1 , alors seul véritable débat urbain dans un contexte dominé par les rêves d' une ville globale et par les dérives de  l' industrialisation du bâtiment . 
10.0||||||| premier choc pétrolier ,|Et c'est en 1973 , sur fond de  premier choc pétrolier , que Philippe Robert et moi créons notre agence . 
11.0||||||| la reconversion du patrimoine industriel .|Une autre époque commençait , que nous aurions été bien en peine d' imaginer , mais qui a pris très vite pour nous une , couleur , : celle de  la reconversion du patrimoine industriel . 
12.0||||||| l' ère des grands ensembles ,|Force est de constater que j'ai échappé à  l' ère des grands ensembles , que j'ai à peine effleuré celle des villes nouvelles et que , à défaut d' Amérique , c'est l' Afrique qui a été mon terrain d' expérience . 
13.0||||||| ma vision ultérieure de la ville .|En fait , je n'ai jamais été ,moderne , – ce qui a influencé  ma vision ultérieure de la ville . 
14.0||||||| l' importance des premières orientations et de la première œuvre qui engagent , bien plus qu'on l' imagine , une vie professionnelle – une vie , en somme .|On ne dira jamais assez aux jeunes architectes  l' importance des premières orientations et de la première œuvre qui engagent , bien plus qu'on l' imagine , une vie professionnelle – une vie , en somme . 
15.0||||||| la mutation |J'ai pleinement la sensation d' être né sous le signe de  la mutation  : une histoire personnelle que je vois maintenant comme une sorte de compression dans le temps de l' histoire vraie . 
16.0||||||| projet urbain |Dans ce parcours professionnel , je suis passé d' une position architecturale aux logiques du  projet urbain  et aux problématiques plus larges d' un urbanisme stratégique . 
17.0||||||| la  à partir d' un tronc commun issu des techniques de  la  reconversion , pour constituer ensuite les bases de ce que j'appellerais un , urbanisme de valorisation , qui décrit  la |Ce la  à partir d' un tronc commun issu des techniques de  la  reconversion , pour constituer ensuite les bases de ce que j'appellerais un , urbanisme de valorisation , qui décrit  la  façon de s'installer dans des territoires non stabilisés , mais dotés d' une longue histoire pour accompagner leur mutation . 
18.0||||||| l' action urbaine |Mais ce parcours est aussi un parcours dans la commande qui a évolué en Europe comme en France , et qui montre clairement aujourd'hui la volonté d' intervenir par  l' action urbaine  à des échelles qui semblaient , il y a peu de temps encore , inaccessibles . 
19.0||||||| d' une ville émergente |Cet intérêt pour la ville diffuse , révélée par Bernardo Secchi , fait suite en France à une sorte de passage à vide de l' urbanisme , qui s'est exprimé dans le mirage  d' une ville émergente  qui naîtrait spontanément des forces du marché . 
20.0||||||| ces temps , sauvages et incertains , selon la formule de l' époque s'ouvrait sans doute un formidable laboratoire de formes architecturales ,|Dans  ces temps , sauvages et incertains , selon la formule de l' époque s'ouvrait sans doute un formidable laboratoire de formes architecturales , la question des territoires urbains était aussi largement laissée de côté . 
21.0||||||| les questions environnementales .|L'état d' esprit de cette époque ne me semble pas étranger au retard que nous avons pris sur  les questions environnementales . 
22.0||||||| l' apparition d' une réalité utopique qui permet de construire de nouvelles hypothèses d' action ,|La nouveauté est  l' apparition d' une réalité utopique qui permet de construire de nouvelles hypothèses d' action , à partir d' une évolution des modes de vie et d' une nouvelle demande urbaine que l' on commence à mieux cerner . 
23.0||||||| les projets urbains localisés |Si les projets architecturaux et  les projets urbains localisés  constituent le fond d' une expérience professionnelle , je me suis trouvé confronté au fil du temps à un ensemble de thématiques qui sont pour moi l' amorce d' une pensée territoriale . 
25.0||||||| la bel de , friches industrielles , et où s'amorçaient les premières délocalisations de l' industrie textile ,  la |Dans le débat des années 1975 où s'inventait le  la bel de , friches industrielles , et où s'amorçaient les premières délocalisations de l' industrie textile ,  la  reconversion est très vite devenue notre champ disciplinaire . 
26.0||||des programmes abordés et la large gamme de solutions||| un immense terrain d' expérimentation par la diversitédes programmes abordés et la large gamme de solutionsque l' on peut tirer d' une vision dialectique entre espace et fonction ou entre histoire et modernité.|C'était  un immense terrain d' expérimentation par la diversitédes programmes abordés et la large gamme de solutionsque l' on peut tirer d' une vision dialectique entre espace et fonction ou entre histoire et modernité. 
27.0||||||| une forme d' enfermement dans un univers professionnel peu enclin à la transversalité .|Cette spécialité étiquetée était aussi à l' époque  une forme d' enfermement dans un univers professionnel peu enclin à la transversalité . 
28.0||||||| réutiliser |Ce n'est pas vraiment la mutation économique et sociale qui était mise en avant , mais plutôt l' urgence de  réutiliser  un patrimoine aussi menacé que méconnu . 
29.0||||||| déprise industrielle ,|Par l' ampleur même du phénomène de  déprise industrielle , la reconversion s'est ensuite banalisée , chaque architecte , quelles que soient ses origines ou son écriture , s'étant trouvé un jour confronté à cette problématique . 
30.0||||||| l' urbanisme .|La question s'est aussi déplacée du domaine de l' architecture vers celui de  l' urbanisme . 
31.0||||||| ville .|Je me suis donc trouvé confronté à un spectre large de situations urbaines toujours plus étendues et de moins en moins , triées ,, cette distinction exprimant la différence entre la réalité complexe des grands territoires en mutation et le statut des plus belles pièces du puzzle industriel , où le projet urbain contemporain peut s'exprimer librement dans un mouvement naturel d' extension interne de la  ville . 
32.0||||||| les ruptures territoriales |C'est une distinction essentielle car c'est au niveau de la valeur de localisation que s'effectuent naturellement  les ruptures territoriales  et que , paradoxalement , l' urbanisme peut devenir un facteur aggravant de ces phénomènes en apportant la richesse économique mais aussi conceptuelle là où elle existe déjà . 
36.0||||||| réappropriation de l' espace .|Mais l' offre nouvelle d' un loft social , inimaginable à l' époque , semblait une forme légitime de  réappropriation de l' espace . 
37.0||||||| stabiliser |Au-delà de l' écriture architecturale , ce projet avait pour autre vertu de  stabiliser  et de valoriser un espace habité très particulier , celui des féodalités de l' industrie du XIXe siècle . 
38.0||||||| le projet était générateur d' urbanité |En ce sens ,  le projet était générateur d' urbanité  dans une démarche inductive qui devient maintenant un outil essentiel de production de la ville . 
39.0||||||| s'agit de transformer |Vingt ans plus tard , à quelques centaines de mètres de là , c'est le site de l' Union à Roubaix qu'il  s'agit de transformer  sur 70 hectares inscrits dans les traces du parcellaire industriel . 
40.0||||||| l' avenir de ce quartier |La question de l' usine n'est plus au centre du débat et  l' avenir de ce quartier  dépend avant tout de la qualité de sa desserte multimodale . 
41.0||||||| les objectifs d' un pôle d' excellence |C'est aussi un territoire contradictoire dans lequel  les objectifs d' un pôle d' excellence  croisent ceux d' une zone franche , et c'est cette dualité qu'il fallait traduire dans un concept spatial . 
42.0||||||| 800 hectares libérés |Autre lieu , autre échelle , en 2005 , celle des  800 hectares libérés  par la sidérurgie à Seraing dans la métropole liégeoise , un paysage de l' industrie immortalisé de film en film par les frères Dardenne . 
43.0||||d' un plan stratégique <dyn||||Il s'agit ici de bâtir les fondementsd' un plan stratégique > d' une taille démesurée  à quelques minutes de la gare de Liège , transformée par Santiago Calatrava , et d' un campus universitaire et technologique de 600 hectares. 
44.0||||||| ruptures d' échelles |Contrastes , contradictions ,  ruptures d' échelles  : si ces actions ont le même fil conducteur , le cadre socio-économique a changé et impose aujourd'hui d' autres modes de réflexion et d' action . 
45.0||||||| l' avenir des villes |Telle est l' ambiguïté des Trente peu Glorieuses que nous venons de vivre – une époque sans doute confuse et peu propice aux grandes idéologies urbaines , dont les conséquences seront pourtant beaucoup plus essentielles pour  l' avenir des villes  que celles des années de croissance . 
47.0||||||| la reconversion |La capitalisation d' expérience faite pendant ces années consacrées à  la reconversion  n'a pas été linéaire ou chronologique . 
48.0||||||| un processus itératif |C'est  un processus itératif  construit autour des rencontres , des lieux et des questionnements . 
49.0||||||| d' invention de la commande |C'est aussi une forme  d' invention de la commande  que j'ai mise en pratique en utilisant toutes les opportunités pour compléter mon expérience et pour développer des hypothèses de travail souvent esquissées auparavant , mais dans des cadres peu propices à leur épanouissement . 
51.0||||||| des situations urbaines |En premier lieu , ce sont  des situations urbaines  qui sont à traiter . 
52.0||||||| Le projet s'inscrit dans des récits urbains | Le projet s'inscrit dans des récits urbains  qui comprennent de nombreux paramètres socio-économiques , spatiaux ou temporels . 
53.0||||||| des projets ouverts bâtis |Les stratégies spatiales , qui sont de notre responsabilité , ne peuvent être conçues que comme  des projets ouverts bâtis  autour d' un ensemble de lignes de forces et d' invariants soigneusement sélectionnés autour desquels le projet pourra évoluer . 
55.0||||||| projet urbain |Ce qui est peu usuel pour des pratiques professionnelles orientées vers la permanence et la maîtrise du  projet urbain  ou alors vers les grandes généralités de la planification . 
56.0||||||| par effets de seuils et non seulement par effets d' échelles .|Cette démarche procède  par effets de seuils et non seulement par effets d' échelles . 
57.0||||||| réorienter |Au cours d' un raisonnement , les problématiques peuvent changer de nature , et  réorienter  le projet dans des directions non prévisibles a priori . 
58.0||||||| d' équipes de projet |Elle n'est possible que dans le cadre  d' équipes de projet  regroupant en temps réel le politique , l' opérationnel et le conceptuel . 
59.0||||||| Un fractionnement de la démarche rompt cette chaîne de pensées | Un fractionnement de la démarche rompt cette chaîne de pensées  et , à cet égard , les études de définition , quand elles sont conduites comme des projets / débats , constituent une avancée méthodologique . 
60.0||||||| d' un projet .|Ensuite , j'ai remarqué l' importance d' un point focal , une idée , un lieu , une forme ou même une formulation autour de quoi vont s'agréger les composantes diverses  d' un projet . 
61.0||||||| l' image du ponctum développé par Roland Barthes à propos de la photographie .|D'une façon parfaitement empirique , j'illustrerais cette idée par  l' image du ponctum développé par Roland Barthes à propos de la photographie . 
62.0||||||| d' effacer le cadre de la photo .|Il désigne , dans une photo , un point qui peut être anecdotique mais qui , en captant le regard , a pour effet  d' effacer le cadre de la photo . 
