phrase_id,balise_lieu_obj,balise_lieu_loc,balise_act,balise_doc,balise_perc,balise_tps,balise_dyn,phrase
0,,,,,"l’intérieur,",,"l’intérieur,","﻿T H • projet présenté à Monsieur le Ministre de l’intérieur, en applicationde la Loi du 14 "
1,,,,,ordonner et à vertébrer 1 ’ Agglomérat ion Parisienne,,ordonner et à vertébrer 1 ’ Agglomérat ion Parisienne,"Mai 1932, est destiné à ordonner et à vertébrer 1 ’ Agglomérat ion Parisienne : i Ciroulation "
6,,,,,possibilités d’exécution,,possibilités d’exécution,"- Toutes les solutione envisagées, tous les tracée impasés correspondent à- des possibilités d’exécution et tous ont fait l'objet de prospection de détails dans les terrains t rave rs és . "
8,,,,,d’en réserver les possibilités,,d’en réserver les possibilités,- Il a pour caractéristique d’en réserver les possibilités dès que les nécessités économiques l’exigeront et dans la mesure des ressources budgétaires • 
10,,,,,réserve les emprises de terrain,,réserve les emprises de terrain,"Il détermine et réserve les emprises de terrain nécessaires à l'assiette des Voles Nouvelles, des Voies à élargir et des Espaces libres. "
11,,,,,Constructions,,Constructions,Il règle la nature des Constructions et leurs conditions de salubrité en rapport aveo leur situation. 
12,,,,,améliorer l'esthétique dee Agglomérations,,améliorer l'esthétique dee Agglomérations,"Il prescrit des mesures destinées à améliorer l'esthétique dee Agglomérations et a préserver de toute atteinte nouvelle les principaux Sites, Monuments et Panoramas de la Région Parisienne . "
13,,,,,l‘assainies,,l‘assainies,"Enfin, il est conçu en vue d’assurer 1‘exécutiondu programme de l‘assainies ement général du territoire intéressé dans toute son étendue* "
14,,,,,Le Présent Projet est exposé oonf ormément,,,"Le Présent Projet est exposé oonf ormément> à la Loi du 14- Mai 1933 par un Plan général et un Programme dee Servitudes, a empiété par des documents annexes* "
16,,,,,L'extension de la Capitale,,L'extension de la Capitale,"L'extension de la Capitale s’est faite avant Guerre, vers l’Ouest, puis à l’Est et au Mord depuis 1920 ; "
17,,,,,extension sporadique et désordonnée,,extension sporadique et désordonnée,"extension sporadique et désordonnée ayant des répercws ions désastreuses, souvent irrémédiables, sur les principales Voies de Communi cation accédant à Paris et sur 1'Urbanisation des informes Agglomérations qui en sont la conséquence. "
18,,,,,n’a pu etre réservé,,n’a pu etre réservé,"Aucun espace libre, aucun Square, aucun terrain pour les Services publias n’a pu etre réservé en temps utile, dans la plupart des cas. "
19,,,,,ont été détruites,,ont été détruites,- Nombre de propriétés boisées ont été détruites par dee Lotiesements ; 
20,,,,,constructions,,constructions,"- de toutes parte dee constructions se sont élevées au hasard, au mépris des règles les plus élémentaires de l’hygiène. "
21,,,,,a toujours voulu être ha Capitule du Monde,,a toujours voulu être ha Capitule du Monde,Ceci n’eat pas à l’honneur d'une Cité qui a toujours voulu être ha Capitule du Monde • 
22,,,,,redres-eer oette situation dont l’effet est désastreux sur le moral dos habitante et ne s’atténuera que lentement.,,redres-eer oette situation dont l’effet est désastreux sur le moral dos habitante et ne s’atténuera que lentement.,Tous les efforts de notre génération doivent tendre à redres-eer oette situation dont l’effet est désastreux sur le moral dos habitante et ne s’atténuera que lentement. 
23,,,,,l‘Ur- baniste de très belles roeaouroes.,,l‘Ur- baniste de très belles roeaouroes.,"O O o La Région Parisienne, malgré oes tares offre encore à l‘Ur- baniste de très belles roeaouroes. "
24,,,,,"La topographie générale, rivières, plaines et collines oomposent de merveilleux paysages formant un contraste réconfortant par égard aux erreurs commises.",,"La topographie générale, rivières, plaines et collines oomposent de merveilleux paysages formant un contraste réconfortant par égard aux erreurs commises.","La topographie générale, rivières, plaines et collines oomposent de merveilleux paysages formant un contraste réconfortant par égard aux erreurs commises. "
25,,,,,ceinturent et recoupent très heureusement les éléments épars de l'Agglomération»,,ceinturent et recoupent très heureusement les éléments épars de l'Agglomération»,"Parcs, Bois et Forets ceinturent et recoupent très heureusement les éléments épars de l'Agglomération» "
27,,,,,"Les rives de la Seine, de la Marne, de l’Oise, de la Bièvre, de l’Yvette, de l’Yerre et de l’Orge",,"Les rives de la Seine, de la Marne, de l’Oise, de la Bièvre, de l’Yvette, de l’Yerre et de l’Orge","Les rives de la Seine, de la Marne, de l’Oise, de la Bièvre, de l’Yvette, de l’Yerre et de l’Orge sont Intactes ren. "
29,,,,,"Les Collines de Meudon et de St. Cloud, le Mont Valérien, les haut eum de l’Hautil et de Cormeilles dominent l’Ouest de la Région Parisienne",,"Les Collines de Meudon et de St. Cloud, le Mont Valérien, les haut eum de l’Hautil et de Cormeilles dominent l’Ouest de la Région Parisienne","- Les Collines de Meudon et de St. Cloud, le Mont Valérien, les haut eum de l’Hautil et de Cormeilles dominent l’Ouest de la Région Parisienne de leurs silhouettes caractéristiques d’où l’on découvre d’incomparables panoramas. "
30,,,,,la possibilité de créer de nouveaux boisements,,la possibilité de créer de nouveaux boisements,"Aux Portes de Paris, à l’Est et au Sud, d’immenses surfaces agricoles assurent la possibilité de créer de nouveaux boisements "
31,,,,,"Jardins et terrains de Sports,",,"Jardins et terrains de Sports,","- Paras, Jardins et terrains de Sports, à proximité de quartiers déshérités, loin de toute-promenade et de tout lieu de distractions. "
32,,,,,s’atténuera,,s’atténuera,"Avec de tels éléments, sous le ciel de l'Ile de France, et avec une volonté raisonnée, aans rigueur male opiniâtre, s’exerçant sans faiblesse pendant de longues années, Monsieur le Ministre de l’intérieur peut être assuré que la situation actuelle s’atténuera dans une oeuvre que les générations nouvelles voudront réaliser harmonieusement avec le clair génie de notre race un instant éolipaé. "
33,,,,Le Plan s’,en cours d’exécution,,en cours d’exécution,"O O OLe Plan s’appliqua à toutes Iss Communes comprises entre le Boulevard Circulaire, en cours d’exécution sur l’emplacement des anciennes fortifications et les limites de la Région Parisienne, définies par le Loi du 14 12 F 32• "
34,,,,,Les transformations,,Les transformations,Les transformations qui posaient être apportées dans la Capitale à l’intérieur du Boulevard Circulaire sont l’objet d’études remarquables et attentives par le Service du Plan de Paris 
35,,,,,l’Aménagement et de Inorganisation de la Région Parisienne*,,l’Aménagement et de Inorganisation de la Région Parisienne*,"Elles ne a ont pas figurées sur oe projet, n* étant pas dans 10 cadre dee études du Comité Supérieur de l’Aménagement et de Inorganisation de la Région Parisienne* "
36,,,,,leur exécutlon.,,leur exécutlon.,"Le Plan général exposant le présent Projet a tous les caractères d’un Plan Directeur d’Urbanisme, mas en réalité, 11 exprime et résume un grand nombre de projets étudiés en vue de leur exécutlon. "
37,,,,,"l’aménagement régional,",,"l’aménagement régional,","Il n’a nullement la prétention d’innover en tous points, -il comprend des dispositions dont quelques-unes sont admises oom-me nécessaires depuis longtemps à l’aménagement régional, tant pour la Navigation et les Chemins de fer que pour 1’Aviation et les tracés des lignes électriques à haute tension. "
39,,,,,d'améliorer la circulation routière.,,d'améliorer la circulation routière.,la voirie proposée par les Services techniques des Départements dans le but d'améliorer la circulation routière. 
40,,,,,Plans d*Aménagement Communaux déclarés d'utilité publique ou en cours de préparation.,,Plans d*Aménagement Communaux déclarés d'utilité publique ou en cours de préparation.,"Il tient compte, dans la mesure du possible, des dispositions incluses dans les Plans d*Aménagement Communaux déclarés d'utilité publique ou en cours de préparation. "
41,,,,,"un réseau de voles uniquement réservées au trafic, réseau réduit à quelques grandes lignes et dont le but est de permettre un accès rapide vers Paris et des facilités d'évitement de l’Agglomération parisienne pour les voitures ne cherchant pas à traverser la Capitale.",,"un réseau de voles uniquement réservées au trafic, réseau réduit à quelques grandes lignes et dont le but est de permettre un accès rapide vers Paris et des facilités d'évitement de l’Agglomération parisienne pour les voitures ne cherchant pas à traverser la Capitale.","Il superpose à des désirs locaux un réseau de voles uniquement réservées au trafic, réseau réduit à quelques grandes lignes et dont le but est de permettre un accès rapide vers Paris et des facilités d'évitement de l’Agglomération parisienne pour les voitures ne cherchant pas à traverser la Capitale. "
42,,,,,devront etre traités de manière à réaliser,,devront etre traités de manière à réaliser,"Les abords de ces Voies devront etre traités de manière à réaliser pour lea Touristes ou les Etrangers, une sorte de ""paysage routier"" qui dissimulera à leurs yeux les Quartiers si désordonnés qu'il doivent traverser. "
43,,,,,la mise au point d'un réseau routier complet,,la mise au point d'un réseau routier complet,Le Projet ne se borne pas à la mise au point d'un réseau routier complet t■ 
44,,,,le Plan d’Aménagement de la Région Parisienne,"la réorganisation de la oiroulation routière,",,"la réorganisation de la oiroulation routière,","Au même titre que la réorganisation de la oiroulation routière,le Plan d’Aménagement de la Région Parisiennea prévu la réorganisation des Espaces libres destinés, soit à créer des réserves de verdure en vue de la promenade ou des distractions, soit à. "
45,,,,,créer des réserves d’espaces libres,,créer des réserves d’espaces libres,"créer des réserves d’espaces libres pour le bon fonctionnement des Services publics : terrains d’aviation, cimetières, Parcs de sports, etc..., ainsi que les terrains utilisés pour les besoins de la Défense Nationale. "
46,,,,dans le programme des Servitudes des dispositions générales déjà adoptées par lee Cormunes du Département de la Seine et en vole de l’etre dans quelques Communes des &u- trea Départements,de protection dee Sitea et Panoramas,,de protection dee Sitea et Panoramas,"Il incorporedans le programme des Servitudes des dispositions générales déjà adoptées par lee Cormunes du Département de la Seine et en vole de l’etre dans quelques Communes des &u- trea Départements, Il comprend lee princi paies sertitudes de protection dee Sitea et Panoramas ayant un Intérêt régional ou national proposées en accord avec la Direct ion Générale dee Beaux-Arts. "
47,,,,,Constructions,,Constructions,"Enfin, 11 est complété par un règlement général dee Constructions adaptées aux situations particulières des Communes de la Banlieue* "
49,,,,,"les artères convergeant O sur Paris, avalent été conçues avec des largeurs qui auraient, sans doute, satisfait aux nécessitée de la circulation moderne, si en de nombreux endroits des étranglements ne s’étaient produits dans la traversée d’Agglomérations, devenues très denses.",,"les artères convergeant O sur Paris, avalent été conçues avec des largeurs qui auraient, sans doute, satisfait aux nécessitée de la circulation moderne, si en de nombreux endroits des étranglements ne s’étaient produits dans la traversée d’Agglomérations, devenues très denses.","Des Voies existantes, principalement les artères convergeant O sur Paris, avalent été conçues avec des largeurs qui auraient, sans doute, satisfait aux nécessitée de la circulation moderne, si en de nombreux endroits des étranglements ne s’étaient produits dans la traversée d’Agglomérations, devenues très denses. "
50,,,,,"Les possibilités d'élargissements,",,"Les possibilités d'élargissements,","Les possibilités d'élargissements, dans ces Agglomérations, sont subordonnées à des dépenses considérables et ces opérations ont souvent des répercussions trop Importantes sur le Commerce local pour rencontrer l’adhésion certaine des Collectivités intéressées • "
51,,,,,des travaux de trop longue haleine,,des travaux de trop longue haleine,Ce sont des travaux de trop longue haleine dont la réalisation ne pourrait etre prochaine ; 
52,,,,,l’élargissement rapide des Voies existantes,,l’élargissement rapide des Voies existantes,compter sur l’élargissement rapide des Voies existantes dans les Agglomérations pour assurer la circulation générale est impossible. 
53,,,,,peuvent etre exécutées,,peuvent etre exécutées,Des voies d’évitement geules peuvent etre exécutées dans le moindre délai. 
54,,,,,ces contournements fréquents des Agelo-nératione groupées,,ces contournements fréquents des Agelo-nératione groupées,"die le nombre de ces contournements fréquents des Agelo-nératione groupées sur 1“ grandes Voles de Communioation est incompatible arec la circulation rapide qu'il faut aosurez entre Pari, la Banlieue 6loignde et la Province. "
55,,,,,"lee très nonubreuneo Voles tranavezealea dee récente lotagcenento Amprovios de toutes parta,",,"lee très nonubreuneo Voles tranavezealea dee récente lotagcenento Amprovios de toutes parta,","Il y a lieu d’obeerver, en outre, que lee très nonubreuneo Voles tranavezealea dee récente lotagcenento Amprovios de toutes parta, eont un obotacle ooratuint • la oirouzatton paE la fréquence dee dangereux orotsements qu 118 conatituen "
56,,,,,caracté-r la tiques spéciales,,caracté-r la tiques spéciales,Aussi un roseau de Votes entièrement nouvelles à caracté-r la tiques spéciales est-il proposé 
57,,,,,"d*exéoution immédiate,",,"d*exéoution immédiate,","- Réseau étudié en vue des posait!lltéa_ d*exéoution immédiate, ainsi qu’il est exposé par ailleurs. "
59,,,,,réserver toute possibilité d'élargesement,,réserver toute possibilité d'élargesement,"Le réseau routier actuel en dehors des Agglomérat 1 ons , est l’objet de nombreuses prévis ions, en vue de réserver toute possibilité d'élargesement lorsque l’absence d’importantes construo-tiona riveraines le permet encore. "
60,,,,,des réserves d’élargissement de 40 m.,,des réserves d’élargissement de 40 m.,Toutes les principales Voies existantes auront au minimum 30 mètres de largeur avec des réserves d’élargissement de 40 m. 
62,,,,,Les Voies d’évitement,,Les Voies d’évitement,— Les Voies d’évitement sont prévues avec la plus grande largeur que permet la topographie et l’état des lieux.. 
63,,,,"au programme,","d’améliorer, en tous points, la circulation intercommunale",,"d’améliorer, en tous points, la circulation intercommunale","Le tableau inclusau programme,détaillant toutes ces prévisions montre avec quel souci le projet est conçu en vue d’améliorer, en tous points, la circulation intercommunale dans la Région Parisienne. "
65,,,,,ces Voies,,ces Voies,Un complément à la législation des routes est proposé au sujet de ces Voies ; 
68,,,,,L’Alignement séparatif à la limite des terrains riverains et de l’emprise de la Voie publique.,,L’Alignement séparatif à la limite des terrains riverains et de l’emprise de la Voie publique.,L’Alignement séparatif à la limite des terrains riverains et de l’emprise de la Voie publique. 
69,,,,,les Constructions,,les Constructions,l'Alignement constructif que devront observer les Constructions a l’intérieur des propriétés à une distance minima déterminée à la nomenclature du Tableau précité. 
70,,,,,"d’exécuter ultérieurement l’élargissement des voies,",,"d’exécuter ultérieurement l’élargissement des voies,","L'espace compris entre ces deux alignements ou zone *hon aedifi candi"" laisse ainsi à la collectivité la facilité d’exécuter ultérieurement l’élargissement des voies, sans causer de dommage aux Constructions, entraînant ainsi, le minimum de dépenses d’expropriation. "
71,,,,,Ces facilités d'élarpissement,,Ces facilités d'élarpissement,"Ces facilités d'élarpissement permettront, en outre, de réserver aux piétons et aux cyclistes de larges trottoirs où ils ne seront exposés, ooume sur nos routes actuelles, à etre renversés pur quelque bolide. "
72,,,,,la transformation progressive des Voles routières en Voles Urbaineo,,la transformation progressive des Voles routières en Voles Urbaineo,Cette disposition permettra la transformation progressive des Voles routières en Voles Urbaineo en vue d’une circulation rapide et rendra possible des stationnements que lee largeurs actuelles de notre Réseau routier n’autorisent pas. 
74,,,,,La Voie Triomphale prolongée,,La Voie Triomphale prolongée,Ces Voies eont au nombre de Cinq : -° - La Voie Triomphale prolongée de Courbevoie à la Croix de Noailles (Forêt de St. Germain). 
75,,,,,La Route de l’Ouest par St. Cloud et Roquencourt,,La Route de l’Ouest par St. Cloud et Roquencourt,2° - La Route de l’Ouest par St. Cloud et Roquencourt . 3° 
76,,,,,La Route du Sud. 4° - La Route de l’Est.,,La Route du Sud. 4° - La Route de l’Est.,- La Route du Sud. 4° - La Route de l’Est. 5° 
78,,,,,l'Auto-Route,,l'Auto-Route,"Elles auront les caractéristiques de l'Auto-Route :	' En aucun point, elles ne seront recoupées à niveau ; "
