phrase_id,balise_lieu_obj,balise_lieu_loc,balise_act,balise_doc,balise_perc,balise_tps,balise_dyn,phrase
0,,,,,,, épistémologiques et professionnelles ,﻿François Ascher Positions Positions  épistémologiques et professionnelles  1 . 
2,,,,,,," l' urbanisme , et face à des situations urbaines aux dimensions singulières toujours très fortes , les connaissances ne peuvent se constituer que dans une confrontation régulière à des logiques de projet .","Dans un domaine aussi complexe que  l' urbanisme , et face à des situations urbaines aux dimensions singulières toujours très fortes , les connaissances ne peuvent se constituer que dans une confrontation régulière à des logiques de projet . "
3,,,,,,," les potentialités d' un site , d' une situation temporelle , d' un milieu d' acteurs ,","Celui-ci opère en effet comme un analyseur : il révèle  les potentialités d' un site , d' une situation temporelle , d' un milieu d' acteurs , fait s'exprimer les besoins , les demandes , les aspirations , rend visibles et intelligibles les logiques des divers intervenants . "
7,,,,,,, Une longue implication sur un même sujet ," Une longue implication sur un même sujet  peut certes produire une connaissance très fine , mais elle risque aussi de ne plus permettre de percevoir un certain nombre de choses et de bénéficier d' expériences différentes . "
9,,,,,,, ses recherches et de ses actions peut aider à y remédier .,Changer assez régulièrement le point de focalisation de  ses recherches et de ses actions peut aider à y remédier . 
10,,,,,,," S'introduire sur des thèmes et dans des milieux nouveaux permet souvent d' y apporter d' autres regards , d' autres questionnements ,"," S'introduire sur des thèmes et dans des milieux nouveaux permet souvent d' y apporter d' autres regards , d' autres questionnements , et l' expérience d' autres domaines que ceux des spécialistes de longue date . "
11,,,,,,, l' urbanisme ,"Cet éclectisme , dans le sens de , qui ne se limite pas à une catégorie d' objets ,, est une méthode particulièrement utile dans un domaine comme  l' urbanisme  qui , nécessairement , confronte à des problèmes et à des acteurs variés . 3 . "
13,,,,,,, l' éparpillement ,Mais l' éclectisme présente également le risque de  l' éparpillement  et de la superficialité . 
16,,,,,,, s'y confronter à la critique .,Il importe non seulement d' y être légitime mais de  s'y confronter à la critique . 
17,,,,,,," l' acte , confrontation au réel ","4 . Convictions , passage à  l' acte , confrontation au réel  et prise de risque "
18,,,,,,," S'engager dans des projets ,"," S'engager dans des projets , changer de thématique , voguer dans des milieux professionnels et scientifiques divers expose nécessairement à l' erreur et à la critique . "
20,,,,,,," L'alliance du statut de professeur d' université , qui donne une très grande liberté ,"," L'alliance du statut de professeur d' université , qui donne une très grande liberté , et de celui de consultant , qui responsabilise vis-à-vis des milieux avec lesquels on travaille , permet de gérer cette nécessaire prise de risque . "
22,,,,,,, L'urbanisme ," L'urbanisme  est un champ de pratiques professionnelles et sociales hétérogènes qui mobilise simultanément des connaissances scientifiques disciplinaires , de l' ingénierie , de la conception , de l' organisation , des savoir-faire , de l' imagination , de la créativité , et qui passe par toutes sortes d' interactions , de conflits , de compromis , de prises de risque . "
23,,,,,,," l' urbanisme s'exerce sur des réalités urbaines toujours singulières , chargées d' une histoire spécifique ,","De plus ,  l' urbanisme s'exerce sur des réalités urbaines toujours singulières , chargées d' une histoire spécifique , et dans des contextes temporels différents . "
24,,,,,,, L'urbanisme ," L'urbanisme  ne peut donc prétendre constituer en tant que tel , ni une discipline scientifique , ni un seul métier . "
25,,,,,,, l' urbanisme doit être en mesure de mobiliser sans cesse de nouvelles spécialités scientifiques et techniques .,Mais  l' urbanisme doit être en mesure de mobiliser sans cesse de nouvelles spécialités scientifiques et techniques . 
27,,,,,,, pouvaient assurer un grand nombre de tâches de natures différentes .,Il fut un temps où des professionnels très expérimentés  pouvaient assurer un grand nombre de tâches de natures différentes . 
28,,,,,,, l' exercice de l' urbanisme ,"Aujourd'hui ,  l' exercice de l' urbanisme  nécessite la mobilisation dans la durée de savoirs très spécialisés , d' acteurs et d' expériences multiples . "
29,,,,,,, l' ensemble des compétences nécessaires .,Le premier enjeu est de parvenir à mobiliser  l' ensemble des compétences nécessaires . 
30,,,,,,, faire travailler les divers spécialistes ensemble ,Le second est de parvenir à  faire travailler les divers spécialistes ensemble  dans une dynamique commune . 
31,,,,,,, L'urbanisme contemporain ," L'urbanisme contemporain  passe donc à la fois par des projets , car ils peuvent agréger des compétences , par des dispositifs organisationnels , qui prennent d' ailleurs une importance croissante , et par des professionnels et des décideurs capables de les initier et de les faire fonctionner . 3 . "
34,,,,,,, Agir à long terme ," Agir à long terme  dans un monde incertain nécessite donc de distinguer , d' une part , les objectifs majeurs qui s'imposent tout au long de l' action , qui sont de l' ordre du projet d' ensemble et de la stratégie , d' autre part , les objectifs particuliers et plus ou moins circonstanciels , qui sont de l' ordre de la réactivité et de la tactique . "
35,,,,,,, Articuler des tactiques et des réactions à une stratégie ," Articuler des tactiques et des réactions à une stratégie  nécessite une forte réflexivité , c'est-à-dire de faire retour en permanence sur l' analyse des résultats des actions précédentes . "
37,,,,,,," d' urbanisme de , management stratégique urbain ","On peut qualifier ce type  d' urbanisme de , management stratégique urbain  ,. 4 . "
38,,,,"d' un programme , le projet , le montage financier et la réalisation",,," des opérations urbaines longues et complexes ,","La réflexivité , nécessaire dans  des opérations urbaines longues et complexes , remet en partie en cause la chronologie ancienne qui allait des études préalables à la réception des travaux , en passant par le diagnostic , les scénarios , le choixd' un programme , le projet , le montage financier et la réalisation. "
39,,,,,,, l' urbanisme est fait de multiples itérations ,"Aujourd'hui ,  l' urbanisme est fait de multiples itérations  qui bouleversent partiellement certains découpages professionnels . "
40,,,,,,, sa réalisation ,"L'urbanisme ne peut donc plus être limité à la planification et à la conception de la ville , mais doit intégrer  sa réalisation  voire sa gestion . "
