phrase_id|balise_lieu_obj|balise_lieu_loc|balise_act|balise_doc|balise_perc|balise_tps|balise_dyn|phrase
0.0||||||| Le paysage en préalable |﻿Michel Desvigne  Le paysage en préalable  1981 . 
2.0||||||| l' urbanisme ,|Ces deux paysagistes , Grands Prix de  l' urbanisme , sont mes enseignants à l' École nationale supérieure du paysage de Versailles . 
3.0||||||| refondé la pensée du paysage |Il est acquis que Michel Corajoud a  refondé la pensée du paysage  en France . 
4.0||||||| certaines analyses de Rem Koolhaas sur la ville américaine .|Je me rends compte aujourd'hui qu'il véhiculait une pensée postmoderne italienne , proche d' ailleurs de  certaines analyses de Rem Koolhaas sur la ville américaine . 
6.0||||||| la chose construite et la géographie naturelle est déterminante dans notre intelligence du paysage .|Cette distinction entre  la chose construite et la géographie naturelle est déterminante dans notre intelligence du paysage . 
7.0||||||| leur transformation |Le jeu avec les traces , leur repérage précis , l' attention portée à  leur transformation  caractérisent la démarche d' Alexandre Chemetoff . 
8.0||||||| l' esprit des paysagistes français .|Après lui , la page blanche disparaît de  l' esprit des paysagistes français . 
9.0||||ce texte fondateur||| L'alternative du paysage.|Grâce à lui peut-être , Sébastien Marot écritce texte fondateur:  L'alternative du paysage. 1984 . 
10.0||||||| Jardins flottants | Jardins flottants  — École nationale supérieure du paysage de Versailles Invention de formes de paysage produites par des mécanismes naturels transposés . 
11.0||||||| l' École nationale supérieure  du paysage de Versailles .|Je termine mes études à  l' École nationale supérieure  du paysage de Versailles . 
12.0||||||| ravinements , deltas , dunes .|Pendant deux ans j'observe des paysages dont les formes sont explicitement liées à des mécanismes naturels :  ravinements , deltas , dunes . 
13.0||||||| le ressac ).|Ces formes me fascinent car empiriquement je peux éprouver les forces qui leur donnent vie ( comme les enfants qui jouent sur la plage avec  le ressac ). 
14.0||||||| paysages |Je déplore leur imitation pauvre et littérale dans les tracés des  paysages  construits . 
15.0||||||| la croissance des végétaux ,|J'imagine de petits dispositifs mettant en œuvre les mécanismes pour créer des formes : ombrières faisant varier  la croissance des végétaux , pièges à alluvions constituant des îlots , couloirs à vent pour déplacer les dunes ... 
16.0||||||| l' architecture et sont distincts des formes naturelles .|Les dispositifs relèvent de  l' architecture et sont distincts des formes naturelles . 
23.0||||||| Jardins élémentaires | Jardins élémentaires  — Villa Medicis Distinction nature / artifice 
24.0||||||| construction .|J'expérimente le dialogue physique fondamental qui existe à de multiples échelles entre phénomène naturel et  construction . 
25.0||||||| développer ces travaux .|Je suis admis comme pensionnaire à la Villa Médicis à Rome , puis j'obtiens une aide du ministère de la Culture pour  développer ces travaux . 
26.0||||||| des images de territoire |Je dessine à la main , longuement ,  des images de territoire  selon des photographies prises depuis un satellite . 
27.0||||||| les composantes du territoire , leurs proportions , leur nature , leurs interactions .|Le dessin laborieux , lent , comme l' observation scientifique , m'apprend à observer  les composantes du territoire , leurs proportions , leur nature , leurs interactions . 
30.0||||||| la transformation de ces sites |J'imagine  la transformation de ces sites  par le détournement de phénomènes naturels ( crues , dépôts alluvionnaires , ravinements ...). 
31.0||||||| l' expérimentation physique des dispositifs .|Je réalise des séries de maquettes permettant  l' expérimentation physique des dispositifs . 
33.0||||||| Jardins élémentaires ,|Un petit livre ,  Jardins élémentaires , est écrit par le philosophe Gilles A . Tiberghien 1 . 1986-1990 . 
34.0||||||| dessins de territoires et réalisation de prototypes .|Renzo Piano architecte Alternance :  dessins de territoires et réalisation de prototypes . 
35.0||||||| la transformation d' une double baie |Simultanément à mes recherches romaines , je rencontre Renzo Piano qui me propose de collaborer à quelques projets , en particulier à  la transformation d' une double baie  sur l' Adriatique , près de Trieste . 
36.0||||||| doit être transformée |Cette carrière abandonnée  doit être transformée  en site hôtelier et en baignade . 
37.0||||||| créer une succession de bassins |Je propose d' exploiter la petite marée du nord de l' Adriatique pour  créer une succession de bassins  dont les niveaux fluctuent avec le sac et le ressac . 
38.0||||||| un paysage construit |C'est  un paysage construit  qui varie en permanence comme la métaphore d' un cycle biologique . 
39.0|||||||  la boration , il y a alternance entre des dessins de vastes territoires et  la  réalisation de petits prototypes , comme le jardin de  la |Pendant ces quelques années de col  la boration , il y a alternance entre des dessins de vastes territoires et  la  réalisation de petits prototypes , comme le jardin de  la  rue de Meaux à Paris , un patio à Naples ou encore le jardin d' un musée à Newport en Californie . 
40.0||||||| croissance ...).|J'utilise ces petites réalisations pour expérimenter des dispositifs que nous avons imaginés développer pour de grands territoires ( densité , gestion de la  croissance ...). 
41.0||||||| la transformation ( souvent lointaine , hypothétique ou aléatoire ) des grands sites |J'envisage ensuite  la transformation ( souvent lointaine , hypothétique ou aléatoire ) des grands sites  avec la , mesure , de ces expériences et avec , pour les deux échelles , le même désir de , réalité , et , d' architecture ,. 
42.0||||||| Renzo Piano .|Je suis , comme tous , ébahi et transformé par la maîtrise du processus de projet de  Renzo Piano . 
43.0||||||| le développement des projets |Alternance d' observations , d' intuitions et de dispositifs de vérifications empiriques ,  le développement des projets  est à l' image de la méthode expérimentale de Claude Bernard . 
46.0||||||| Transposition du langage paysager |Avenue Pierre-Mendès-France , Montpellier  Transposition du langage paysager  par le travail de projet 
47.0||||||| des paysages agricoles dévastés .|Souvent les territoires de périphérie de villes sont  des paysages agricoles dévastés . 
48.0||||||| les restaurer |Il ne s'agit pas de  les restaurer  mais de transposer le , langage paysager , à d' autres échelles , pour d' autres usages . 
51.0||||||| l' architecture à l'  EPFL  ,|Enseignement à l' École polytechnique fédéralelieu> de Lausanne (  EPFL  ), Suisse Luigi Snozzi , alors responsable de  l' architecture à l'  EPFL  , m'invite à animer un atelier avec Christine Dalnoky . 
52.0||||||| d' allées , d' un garage ...|J'assiste aux corrections de Snozzi et d' abord je ne comprends rien : on y parle de murets , de murs ,  d' allées , d' un garage ... 
53.0||||||| la mise en situation de ces architectures |Et pourtant , il s'agit bien de vastes territoires que  la mise en situation de ces architectures  révèle et amplifie . 
54.0||||||| la modernité puissante .|Il ne s'agit pas de modestie , mais d' une culture précise à  la modernité puissante . 
57.0||||||| un travail ancestral et à une qualité de sol inaliénable .|Certains tracés agricoles correspondent à  un travail ancestral et à une qualité de sol inaliénable . 
58.0||||||| transformer de tels territoires ,|Pour  transformer de tels territoires , je propose de n'agir que sur la nature de ses composants , de les substituer par d' autres . 
61.0||||||| la mise à l' épreuve du , langage paysager , transposé .|Les jardins , prototypes , laboratoires , sont les lieux de  la mise à l' épreuve du , langage paysager , transposé . 
