phrase_id,balise_lieu_obj,balise_lieu_loc,balise_act,balise_doc,balise_perc,balise_tps,balise_dyn,phrase
1,,,,,,, ce premier voyage ,"J'ai commencé dès  ce premier voyage  à apprendre le finnois , que je parle couramment . "
2,,,,,,, développement urbain ,"Cela m'a aidé à acquérir une connaissance profonde des liens entre nature , architecture et  développement urbain  dans ce pays . "
7,,,,,,, nouveaux espaces publics .,"La nature , la densité et les transports urbains se mêlent :  nouveaux espaces publics . "
10,,,,,,, l' Unité d' habitation de Le Corbusier ,"Depuis le chemin où je marchais vers l' école ,  l' Unité d' habitation de Le Corbusier  émergeait seule dans la brume — quand ce n'était les volutes rousses des aciéries de Creusot-Loire . "
11,,,,,,, cité moderne bien paisible ,"Beaucoup de mes voisins de collège habitaient à Firminy-Vert ,  cité moderne bien paisible  alors . "
14,,,,,,, la Reconstruction .,"Je redécouvris plus tard en tant qu'architecte-conseil de l' État l' œuvre d' Eugène Claudius-Petit , maire de Firminy et ministre de  la Reconstruction . "
15,,,,,,, son économie .,Il y avait déjà tous les sujets qui me préoccupent : une architecture reliée fortement à un paysage marqué par  son économie . 
16,,,,,,, l' école d' architecture de Saint-Étienne .,"En 1983 , Patrick Berger enseignait en première année à  l' école d' architecture de Saint-Étienne . "
17,,,,,,, l' héritage de la modernité et la multiplicité des échelles .,"Il y introduisit d' emblée la rigueur du dessin ,  l' héritage de la modernité et la multiplicité des échelles . "
18,,,,,,," le premier voyage d' études ,","Venise ,  le premier voyage d' études , fut une révélation , avec ma découverte des œuvres d' Andrea Palladio et de Carlo Scarpa , que quatre siècles séparent . "
19,,,,,,, son arrière-pays fertile .,"Ce parcours fut prétexte à des associations territoriales entre la ville-monde historique et la Vénétie ,  son arrière-pays fertile . "
20,,,,,,," l' espace public , l' infrastructure , le tissu urbain ","Les liens entre un édifice ,  l' espace public , l' infrastructure , le tissu urbain  et la géographie apparaissaient comme une évidence . "
21,,,,,,," l' architecte , la nature n'était pas un sujet .","Il y a trente ans , pour  l' architecte , la nature n'était pas un sujet . "
22,,,,,,," la ville dense ,","Tout se focalisait sur  la ville dense , où le paysage était une infrastructure ou , à la rigueur , un système de parcs — Vienne , Paris , Barcelone , Rome . "
23,,,,,,," Le retour à la ville ,"," Le retour à la ville , influencé par les architectes catalans et les théoriciens italiens , marqua mes premières années d' études . "
24,,,,,,, mes cinquante-quatre voyages en Finlande ,"En 1987 , le premier de  mes cinquante-quatre voyages en Finlande  fut un choc décisif . "
25,,,,,,, la disposition des édifices ,"Je découvris une autre urbanité , où la nature déterminait  la disposition des édifices  — rochers , baies , forêts , roselières , lumière , neige , nuit et froid ; "
26,,,,,,, imaginer une urbanité hybride .,"non pas un modèle concurrent , mais un contrepoint pour  imaginer une urbanité hybride . "
27,,,,,,," ont valorisé leurs espaces les plus méditerranéens ,","Cela se confirme : les villes du Nord de l' Europe  ont valorisé leurs espaces les plus méditerranéens , où l' activité des rez-de-chaussée anime rues et places piétonnes ; "
28,,,,,,," intègrent désormais leurs espaces naturels dans leurs projets territoriaux , pour dessiner la ville ","les villes du Sud  intègrent désormais leurs espaces naturels dans leurs projets territoriaux , pour dessiner la ville  et offrir des usages citadins inédits . "
31,,,,"de nombreux textes critiques , et récemment un travail prospectif sur ",,,"les , thèmes du futur ,","La collaboration avec Europan depuis 1994 en témoigne : six jurys dans toute l' Europe  ,de nombreux textes critiques , et récemment un travail prospectif sur les , thèmes du futur , pour les prochaines sessions. "
33,,,,,,," Les passages des grands boulevards ,"," Les passages des grands boulevards , le Mobilier national aux Gobelins , la rue des Colonnes et la Bourse , la Bibliothèque nationale ... [4] "
34,,,,,,, ses projets ,"En 1988 , j'ai réalisé toutes les cartes de l' exposition , Paris , la ville et  ses projets  , au Pavillon de l' Arsenal avec le logiciel Illustrator . "
35,,,,,,," les tenants des logiciels , architecturaux ,,","Travail pionnier , alors décrié par  les tenants des logiciels , architecturaux ,, devenu depuis un standard du dessin dans les agences d' urbanisme , voire d' architecture . "
36,,,,,,, L'Amour des villes ,"Les dessins de  L'Amour des villes  ( Mardaga , 1993 ) sont intégralement effectués sur ordinateur , en trois et deux dimensions . "
38,,,,,,," Le terme , sympathies ,"," Le terme , sympathies , est emprunté à Michel Foucault , dans Les Mots et les Choses ( Gallimard , 1966 ). "
39,,,,,,, l' Institut français d' architecture ( Ifa ),"En 1987 , je vins à Paris pour travailler à  l' Institut français d' architecture ( Ifa ) avec Bruno Fortier , qui préparait alors l' Atlas de Paris . "
40,,,,d' abord de grands plans coupés et des axonométries éclatées de Paris révélant <dyn,,,,Je dessinaisd' abord de grands plans coupés et des axonométries éclatées de Paris révélant > la recomposition du tissu urbain  par les projets. 
41,,,,,,," réaliser les dessins ,","Puis , pour  réaliser les dessins , je fus chargé de passer du rotring à l' informatique . "
42,,,,,,, tout tracer ,"Avec des Macintosh rudimentaires , nous finissions , en 1990 , par  tout tracer  en détournant le logiciel de graphisme Illustrator . "
44,,,,,,," créait des assemblages urbains plus subtils ,","Au-delà des oppositions entre une ville conçue comme un tissu compact réglé et celle de la modernité , il s'agissait d' explorer une autre hypothèse où l' architecture  créait des assemblages urbains plus subtils , alliant les objets nouveaux , l' héritage historique et le socle naturel des villes . "
45,,,,,,, mêlant édifices et paysages .,"J'eus à cette fin la chance d' interviewer Cedric Price , Peter Smithson , Àlvaro Siza et Elissa Aalto et de réaliser plusieurs dessins  mêlant édifices et paysages . "
46,,,,,,, d' établir des liens .,"La liberté d' exploration de Bruno Fortier conduisait à des analogies fécondes , et me mit dans les pas de Michel Foucault , de ses sympathies : l' architecture et l' urbanisme sont aussi arts  d' établir des liens . "
47,,,,,,, leurs interactions fertiles .,"Patrick Berger et Bruno Fortier m'ont appris à aimer de concert ville , paysage et architecture , mais surtout à imaginer  leurs interactions fertiles . "
49,,,,,,, le parc de la Ereta ,"Les cartes thématiques pour  le parc de la Ereta  : infrastructures , irrigation , matériaux , vues . "
52,,,,,,, quarante logements dans la ville historique au pied du mont Benacantil .,"En 1994 , Marc Bigarnet et moi-même sommes lauréats du concours Europan 3 à Alicante , pour  quarante logements dans la ville historique au pied du mont Benacantil . "
53,,,,sans programme ni budget ni périmètre,,," N'ayant pu acquérir le terrain ,"," N'ayant pu acquérir le terrain , la Ville nous demanda une esquisse pour aménager la colline , celasans programme ni budget ni périmètre. "
54,,,,,,, réaliser ce parc ,Ce qui nous amena à nous interroger sur ce que la ville gagnerait à  réaliser ce parc  ? 
55,,,,,,, avons laissé la forme ouverte ,"Pour y répondre , nous  avons laissé la forme ouverte  le plus longtemps possible , élaboré un récit étayé par des cartes thématiques , comme si le projet se fondait sur les outils du géographe et de l' écrivain . "
56,,,,,,, la restauration du centre ancien dégradé .,"Le parc devenait donc un emblème de dynamisme , un lien entre le front de mer et les quartiers plus populaires situés en retrait , et le catalyseur de  la restauration du centre ancien dégradé . "
57,,,,,,, le projet déclenchèrent la commande ferme .,Les valeurs urbaines portées par  le projet déclenchèrent la commande ferme . 
58,,,,,,," d' affûter nos outils ,","Le travail dura dix ans , le temps  d' affûter nos outils , malgré des honoraires très sobres . "
60,,,,,,," concevoir les jardins ,","Pour  concevoir les jardins , nous avons relevé les végétaux présents sur les falaises des caps voisins . "
61,,,,,,, mettaient ,"Sur ce site pentu où les averses  mettaient  en péril la ville historique , j'ai calculé les débits d' eau pluviale et imaginé un paysage agissant comme une éponge . "
62,,,,,,," mutations d' un site ,","Ce travail d' ingénieur m'est très utile aujourd'hui pour réconcilier crues et  mutations d' un site , notamment à Rezé , où il s'agit de prévoir de construire en zones inondables , ou dans le cadre de l' Atelier national , Risques , où nous sommes missionnés pour définir des stratégies territoriales sur des sites exposés aux risques . "
63,,,,et plan coupé,,," leurs usages ( ce que l' on voit en coupeet plan coupé) des murs de soutènement ,","Le paysage fut pensé avec l' architecture , c'est-à-dire sans distinguer la structure des édifices du parc ,  leurs usages ( ce que l' on voit en coupeet plan coupé) des murs de soutènement , des rampes et des jardins. "
64,,,,avec le plan de l' édifice dessiné avec la forme du sol,,," l' élévation du terrassement ,","Rien ne venait séparer  l' élévation du terrassement , les cadrages du paysage étaient conçusavec le plan de l' édifice dessiné avec la forme du sol. "
65,,,,des textes,,, l' observation du travail des paysagistes ,"Par ailleurs ,  l' observation du travail des paysagistes  fut fertile , de même que la lecturedes textes. "
66,,,,,,," l' approche esthétique des théoriciens français ,","J'étais néanmoins insatisfait quant à  l' approche esthétique des théoriciens français , et complétais ces lectures par des visions plus anthropologiques , où le paysage était d' abord habité , politique , stratégique . "
67,,,,,,," mes explorations baltiques , où le paysage n'est pas séparé des pratiques et phénomènes naturels .","En matière de référence , les Américains( J .-B . Jackson , McHarg , Olmsted ) furent décisifs mais aussi les Italiens— pour qui milieu et regard s'épaulaient — et  mes explorations baltiques , où le paysage n'est pas séparé des pratiques et phénomènes naturels . "
68,,,,,,," relier , à développer , à préserver ","Le paysage est central dans ma pratique d' urbaniste et d' architecte , surtout si , en amont , il structure la ville , aide à  relier , à développer , à préserver  ; "
69,,,,,,, s'articule avec infrastructure et architecture à une échelle très fine .,"et , en aval , s'il  s'articule avec infrastructure et architecture à une échelle très fine . "
70,,,,,,, transformations du territoire ,"L'architecture peut apporter beaucoup à ces liens transcalaires , comme l' impose la responsabilité des  transformations du territoire  : ici une route , un édifice ou un quartier , un même milieu . "
71,,,,,,, milieu habité ,Je travaille ainsi sur la notion de  milieu habité  depuis quinze ans avec la philosophe Chris Younès . 
