phrase_id|balise_lieu_obj|balise_lieu_loc|balise_act|balise_doc|balise_perc|balise_tps|balise_dyn|phrase
0.0||||||| l' écologie festive |﻿Plaidoyer pour  l' écologie festive  Alfred Peter Trois paysagistes ont reçu le Grand Prix d' urbanisme : Michel Corajoud ( mon maître ), Alexandre Chemetoff ( mon premier patron ) et Michel Desvigne ( un ami de promotion de l' École nationale supérieure  du paysage de Versailles ). 
1.0||||||| la métropolisation |Tous trois ont cette fibre territoriale , échelle à laquelle se joue  la métropolisation  et qui est devenue mon principal domaine de travail . 
2.0||||||| le travail de projet |Ceci m'a permis de développer un concept , une méthode et un raisonnement économique : l', inversion du regard , pour rendre  le travail de projet  à cette échelle plus efficace et opérationnel . 
3.0||||||| va se concrétiser la ville compacte et intense |C'est , j'en suis convaincu , en passant par cette échelle , avec une approche nouvelle , que  va se concrétiser la ville compacte et intense  que toutes les agglomérations cherchent et souhaitent . 
5.0||||||| Les acquis de l' enfance agricole | Les acquis de l' enfance agricole  dans les Vosges du Nord( 0-18 ans ) 
6.0||||||| L'histoire a commencé dans les champs du petit village de Schillersdorf( 300 habitants )| L'histoire a commencé dans les champs du petit village de Schillersdorf( 300 habitants ) dans les Vosges du Nord . 
9.0||||||| Labourer , herser , semer , traiter , faucher , moissonner | Labourer , herser , semer , traiter , faucher , moissonner  n'avaient aucun secret pour moi . 
11.0||||||| vivaient et travaillaient sous le même toit pour le même but .|J'ai un souvenir mitigé de cette première étape de ma vie , celle où trois générations  vivaient et travaillaient sous le même toit pour le même but . 
12.0||||||| l' ennui ,|Tout a commencé dans  l' ennui , dans un cadre très rigide lié à la religion protestante . 
13.0||||||| l' inébranlable force des convictions constituèrent le cadre moral , renforcé par quelques sentences bien agricoles |Le bannissement de l' ostentatoire , la retenue ( toute chose doit rester mesurée ),  l' inébranlable force des convictions constituèrent le cadre moral , renforcé par quelques sentences bien agricoles  : , La météo est bien plus importante que le banquier ,. 
14.0||||||| les premiers contacts avec le monde de la pensée et des arts .|Luther , Bach , Albert Schweitzer furent  les premiers contacts avec le monde de la pensée et des arts . 
15.0||||||| l' artificialisation des cultures |La déstructuration du métier d' agriculteur par les subventions européennes , comme  l' artificialisation des cultures  avec l' arrivée massive de la chimie , pesticides et engrais m'ont fait naître un doute sur l' avenir des métiers de la terre . 
16.0||||||| s'est effondré |La rupture fut brutale , le monde  s'est effondré  pour mes parents ; 
17.0||||||| suis d' abord , réfugié ,|je me  suis d' abord , réfugié , à Angers pendant deux ans en préparant un BTS horticole sans intérêt autre que celui de me présenter au concours de l' École du paysage de Versailles . 
18.0||||||| cette période de mon enfance que j'ai toujours plus ou moins occultée ,|Mais en repensant à  cette période de mon enfance que j'ai toujours plus ou moins occultée , j'ai l' impression qu'elle fut peut-être plus déterminante que je ne pensais . 
19.0||||||| ses projets |Jacques Simon , père des paysagistes français , fils de forestier , a transposé dans  ses projets  toute son enfance passée dans les bois avec son père . 
20.0||||||| ses parcs urbains , il a profondément changé la manière de conduire le végétal en ville .|En réutilisant ce savoir acquis dans  ses parcs urbains , il a profondément changé la manière de conduire le végétal en ville . 
22.0||||||| l' École nationale supérieure  du paysage de Versailles |Quatre années charnières passées à  l' École nationale supérieure  du paysage de Versailles  ( 1979-1983 ) 
23.0||||||| Ma | Ma  transplantation dans un nouveau monde , dont je ne savais presque rien ( le monde des arts ), a été un choc énorme . 
24.0||||||| L'école , alors dirigée par Roger Bellec , un personnage ressemblant physiquement à Karl Marx et intellectuellement à Daniel Cohn-Bendit fut le cadre de quatre années charnières qui m'ont profondément marqué , moi et toute une génération de futurs paysagistes | L'école , alors dirigée par Roger Bellec , un personnage ressemblant physiquement à Karl Marx et intellectuellement à Daniel Cohn-Bendit fut le cadre de quatre années charnières qui m'ont profondément marqué , moi et toute une génération de futurs paysagistes  qui n'ont pas trop mal réussi . 
25.0||||||| L'influence de mes premiers maîtres a été d' autant plus forte que j'étais sur un terrain inconnu .| L'influence de mes premiers maîtres a été d' autant plus forte que j'étais sur un terrain inconnu . 
26.0||||||| mes dessins très timides |Michel Corajoud , pédagogue exceptionnel , m'a donné confiance en valorisant toujours le meilleur de  mes dessins très timides  ; 
29.0||||||| m'a appris à travailler dans ce métier |Il  m'a appris à travailler dans ce métier  en m'obligeant à être rigoureux , précis et à aller droit à l' essentiel . 
30.0||||||| des œuvres complètes d' Arthur Rimbaud qu'il m'a offert quand je suis parti au service militaire à Charleville-Mézières .|J'étais fasciné par sa générosité et je garde précieusement dans ma bibliothèque le volume de La Pléiade  des œuvres complètes d' Arthur Rimbaud qu'il m'a offert quand je suis parti au service militaire à Charleville-Mézières . 
31.0||||||| réalisait beaucoup |J'avais aussi une admiration pour Alain Provost qui  réalisait beaucoup  et pour Bernard Lassus qui nous racontait de belles histoires . 
32.0||||||| cette période charnière , j'ai rencontré Marie-Christine Bosquillon qui devint ensuite ma femme |Pendant  cette période charnière , j'ai rencontré Marie-Christine Bosquillon qui devint ensuite ma femme  ; 
33.0||||||| me former politiquement |elle m'a permis de  me former politiquement  dans la galaxie du PSU . 
34.0||||||| avait déjà rejoint le parti socialiste |Michel Rocard  avait déjà rejoint le parti socialiste  en laissant ce petit parti sans héritier , mais je me souviens des conférences brillantes d' intellectuels , particulièrement Henri Lefebvre ( Le Droit à la ville , 1968 ...). 
35.0||||||| avancer |Mon ancrage politique à gauche et la conviction qu'une société a besoin d' utopies pour  avancer  se sont forgés à ce moment-là . 
36.0||||||| l' atelier d'  Alexandre Chemetoff ,|Très vite , après ces quatre années très riches , quelques mois dans  l' atelier d'  Alexandre Chemetoff , et la naissance de mon premier fils Alexandre ( forcément ), s'est imposée la seule option possible pour un paysan : être son propre patron . 
37.0||||||| réhabilitation du site .|Le littoral de Cagnes-sur-Mer , avant ( à gauche ) et après ( à droite )  réhabilitation du site . 
40.0||||||| la disqualification |Le tronçon de Cagnes-sur-Mer d' une longueur de 3 km concentrait tous les ingrédients de  la disqualification  : architecture médiocre , voie rapide créant une forte coupure entre ville et mer , promenade inconfortable , plantations sporadiques ... Réhabiliter ce site a consisté en premier lieu à civiliser cette voie rapide en supprimant deux voies de circulation , les échangeurs dénivelés , les passages piétons souterrains sinistres et rares , sans créer de report de trafic . 
41.0||||||| régler un système circulatoire complexe |La contribution de l' ingénieur suisse de la mobilité , Philippe Gasser , a été déterminante pour  régler un système circulatoire complexe  dans un espace limité . 
42.0||||||| a été redonné |L'espace gagné sur la voirie  a été redonné  aux commerces et établissements de restauration , côté ville , et pour une promenade cyclable , côté mer . 
43.0||||||| Renouvellement des établissements de restauration | Renouvellement des établissements de restauration  sur la plage , traitement séquencé , plantations généreuses ont redonné à ce site merveilleux son charme et entraîné une réhabilitation architecturale de nombreux bâtiments sur le front de mer . 
44.0||||||| s'est réalisé un miracle sur la Côte d' Azur .|Avec le bureau d' études Ingerop et grâce à la ténacité du maire de Cagnes-sur-Mer , Louis Nègre ,  s'est réalisé un miracle sur la Côte d' Azur . 
45.0||||||| Ce projet représente parfaitement le style de l' atelier | Ce projet représente parfaitement le style de l' atelier  qu'on peut résumer en trois mots : simplicité , authenticité , sobriété . 
47.0||||||| prendre quelques distances avec le parisianisme que je sentais très centré sur lui-même .|J'avais envie aussi de  prendre quelques distances avec le parisianisme que je sentais très centré sur lui-même . 
48.0||||||| retrouvais une culture transfrontalière |À Strasbourg , je  retrouvais une culture transfrontalière  qui convient mieux à mon envie d' être , un citoyen européen né en France ,. 
49.0||||||| quelques architectes éclairés comme Guy Clapot ou Christian Plisson qui me faisaient travailler , le paysagiste restait le spécialiste des jardins .|Les premières années n'ont pas été faciles , car à cette époque , à part pour  quelques architectes éclairés comme Guy Clapot ou Christian Plisson qui me faisaient travailler , le paysagiste restait le spécialiste des jardins . 
50.0||||||| Cette association de l' image de la profession au monde des parcs et jardins | Cette association de l' image de la profession au monde des parcs et jardins  m'agaçait : trop restrictive , trop mondaine , pas assez sociétale . 
51.0||||||| n'ai d' ailleurs pas réalisé un seul parc ou jardin |Je  n'ai d' ailleurs pas réalisé un seul parc ou jardin  en trente ans , à part le mien le dimanche . 
52.0||||||| le travail du paysage était le prolongement de l' objet architectural .|C'est l' époque des tâtonnements , de nombreux concours perdus , l' époque où mon travail était indissociable de celui des architectes , plus ou moins affiliés à l', école Ciriani ,, pour lesquels  le travail du paysage était le prolongement de l' objet architectural . 
54.0||||||| ces années difficiles .|Il faut que je rende hommage aux organismes publics , comme certains CAUE , ou services de la D DE , qui m'ont soutenu dans  ces années difficiles . 
55.0||||||| n'était séparé de l' école d' architecture |Mon atelier d' alors  n'était séparé de l' école d' architecture  que par un mur . 
56.0||||||| la composition urbaine .|Cette proximité rassurante et la collaboration épisodique avec certains professeurs , comme Diwi Dreysse , René Tabouret , Diego Peverelli , m'ont permis de faire mes premières incursions dans le monde de l' urbanisme à la grande époque de  la composition urbaine . 
57.0||||||| Le paysage |J'étais très admiratif à ce moment-là de Bernard Huet qui m'a dit : ,  Le paysage  se travaille au centimètre et au kilomètre ,. 
58.0||||||| les projets d' infrastructures de transport .|En 1990 , j'ai embauché ma première salariée Sylvie Debœuf ( qui est toujours à l' atelier ), car les projets commençaient à changer d' échelle avec l' incursion de mon travail dans  les projets d' infrastructures de transport . 
59.0||||||| supprimer un maximum de ronds-points ,|Je rêvais alors de  supprimer un maximum de ronds-points , ce que j'ai fini par réussir à faire ; 
60.0||||||| Round Point Killer |je me présentais volontiers comme le ,  Round Point Killer  ,. 
61.0||||||| créaient dix ...|Mais pendant que j'en supprimais un , je constatais que les DDE en  créaient dix ... 
62.0||||||| des actions d' éclat ,|Conscient de la limite  des actions d' éclat , mes premières rencontres avec les ingénieurs suisses de la mobilité , tels Philippe Blanc ( créateur de Transitec ) ou Roland Ribi , m'ont révélé les vertus du travail transversal . 
63.0||||||| les gares ,|Philippe Gasser , avec qui je rédige actuellement un livre sur  les gares , et Samuel Maillot , ingénieur transport et mobilité urbaine , furent mes premiers grands partenaires , transversaux ,. 
64.0||||||| j'ai changé de locaux |Samuel Maillot m'a tout naturellement rejoint quand  j'ai changé de locaux  en 2005 ; 
65.0||||||| l' atelier d' écologie festive |ce fut le premier acte de  l' atelier d' écologie festive  du 15 avenue de la Paix , à Strasbourg . 
66.0||||||| les projets croisant mobilité et aménagement |Le changement d' échelle avec  les projets croisant mobilité et aménagement  m'a amené naturellement à l' urbanisme . 
67.0||||||| l' urbanisme )|Et à nouveau , deux personnalités ( toutes deux lauréates du Grand Prix de  l' urbanisme ) ont été décisives . 
