phrase_id,balise_lieu_obj,balise_lieu_loc,balise_act,balise_doc,balise_perc,balise_tps,balise_dyn,phrase
2,,,,,,, se démultiplie ,"Pour chacun de nous trois , le territoire  se démultiplie  en territoires pluriels : territoires de naissance , territoires d' adoption ou territoires imaginaires liés à l' histoire familiale à l' image d' une double culture qui n'annule pas l' autre mais la complète . "
3,,,,,,, l' Agence  TER ,"Cette pluralité crée entre nous trois une base d' affinités et un rapport au monde particulier , sans doute à l' origine de la cohésion de  l' Agence  TER  et de son , tropisme étranger ,. "
5,,,,,,, chaque nouveau territoire abordé .,"Nous partageons l' expérience de se sentir étrangers quelque part , y compris en France , il en résulte une empathie , alliée à une liberté de regard , qui accompagne  chaque nouveau territoire abordé . "
6,,,,,,, d' explorer le monde ,Cela explique en partie cette volonté  d' explorer le monde  et en ceci la trajectoire internationale qui fait l' ADN de cette agence . 
7,,,,,,," L'ailleurs n'est pas un étranger , mais un voisin à qui parler ."," L'ailleurs n'est pas un étranger , mais un voisin à qui parler . "
9,,,,,,," l' ordonnancement des plantations d' orangers et des cyprès brise-vent ,","Ayant vécu jusqu'à l' âge de 7 ans dans une orangeraie , à la pointe du Cap Bon , en Tunisie , enfant unique d' une famille de producteurs d' agrumes , je garde en mémoire la sensualité du verger ,  l' ordonnancement des plantations d' orangers et des cyprès brise-vent , l' eau stockée dans le bassin-lieu de baignade , ou filant dans les rigoles jusqu'à chaque arbre . "
10,,,,,,," l' imaginaire d' un monde souterrain , tandis que les branches hautes d' un néflier m'offraient un belvédère sur la campagne environnante .","Le fond des puits m'ouvrait à  l' imaginaire d' un monde souterrain , tandis que les branches hautes d' un néflier m'offraient un belvédère sur la campagne environnante . "
12,,,,,,," Le brusque rapatriement vers la métropole ,"," Le brusque rapatriement vers la métropole , suite au conflit de Bizerte , me fit enfin découvrir un Paris d' abord fantasmé à distance et sa banlieue nord , avec la densité et la chaleur de la vie sociale et solidaire des grands ensembles de La Courneuve et de Saint-Gratien-Épinay: la diversité d' origines et de cultures y est alors formidablement prise en charge par l' école républicaine . "
13,,,,,,," Cette traversée de la banlieue se poursuit , à la fin du cycle scolaire , par la redécouverte du jardin ,"," Cette traversée de la banlieue se poursuit , à la fin du cycle scolaire , par la redécouverte du jardin , dans la ville thermale d' Enghien-les-Bains , son architecture pittoresque et son lycée ouvert sur les rives du lac , miroir de l' horizon urbain . "
15,,,,,,, l' éveil des sens ,"Né au Cannet , ma petite enfance reste marquée par  l' éveil des sens  dans le jardin de mon grand-père . "
16,,,,,,, amenèrent ma famille en Inde .,"Plus tard , les fonctions de mon père  amenèrent ma famille en Inde . "
17,,,,,,," imbriquant , dans un contraste saisissant , les populations aisées et miséreuses .","J'ai vécu cinq années à Bombay , une enfance isolée , loin de ma fratrie , face aux horizons de la mer d' Arabie , en plein milieu d' un quartier mosaïque  imbriquant , dans un contraste saisissant , les populations aisées et miséreuses . "
18,,,,,,," une violence sociale inouïe ,","Dans cette surdensité multiculturelle et multilingue caractérisée par  une violence sociale inouïe , l' espace de la rue mêle , sans distinction ni séparation de fonctions , piétons , cycles , rickshaws et voitures , mendiants , commerçants et passants . "
20,,,,,,," la mégalopole intense du Tiers monde ,","Après l' expérience de  la mégalopole intense du Tiers monde , cela paraissait rassurant . "
21,,,,,,, la canopée étagée de la forêt ,"Nous habitions au bord de la forêt et celle-ci a été un champ de manœuvre unique , le lieu d' un imaginaire focalisé sur  la canopée étagée de la forêt  vite nourri par la lecture d' Italo Calvino — lecture par ailleurs partagée avec Henri et Michel — puis d' Henri David Thoreau . "
23,,,,,,," L'apprentissage de la fiction de la carte , la nécessaire soumission aux éléments et la précision de la manœuvre "," L'apprentissage de la fiction de la carte , la nécessaire soumission aux éléments et la précision de la manœuvre  ont été pour moi une formidable leçon . "
25,,,,,,, s'implanter en France .,"Né à Saint-Ouen , mon enfance à Aubervilliers et Saint-Denis , avec une courte parenthèse soissonnaise , au cœur d' une fratrie de cinq enfants nés de parents allemands qui , en période post-Seconde Guerre mondiale , firent le choix radical de fuir une Allemagne divisée pour  s'implanter en France . "
26,,,,,,," bannirent la langue allemande du domicile familial , optant pour l' intégration totale ,","Bien que non-francophones au départ , ils  bannirent la langue allemande du domicile familial , optant pour l' intégration totale , s'en remettant au système scolaire public , incarnation d' un ascenseur social qui fonctionnait à plein au soir des Trente Glorieuses . "
27,,,,,,, entreprirent tous des études supérieures ,"À l' arrivée , cinq bacheliers  entreprirent tous des études supérieures  avec succès . "
28,,,,,,, incarnaient cette banlieue rouge ,Aubervilliers et Saint-Denis  incarnaient cette banlieue rouge  qui savait offrir à sa jeunesse un espoir et des aménités qui nous semblaient ne rien avoir à envier à Paris . 
29,,,,,,, le no man's land industriel hérissé de gazomètres de la Plaine de Landy .,"Pour nous , c'était Paris qui se trouvait au-delà du périphérique , séparé par  le no man's land industriel hérissé de gazomètres de la Plaine de Landy . "
31,,,,,,," cette enfance banlieusarde ,","Dans  cette enfance banlieusarde , la nature se résumait , les dimanches des beaux jours en forêt de Senlis ou au Tréport , les mois d' août à la mer ou chez mes cousins allemands de l' Ouest à Stuttgart , et au cœur des forêts saxonnes de l' Erzgebirge avec ceux de l' Est . "
32,,,,,,," l' École spéciale d' architecture des jardins ,","Rencontre autour de la révélation d' un métier Poussés par l' art et attirés par le vivant ... Olivier Philippe , après avoir étudié à  l' École spéciale d' architecture des jardins , développe son inclination pour le dessin et l' art en poursuivant des études à l' École  des beaux-arts de Paris . "
33,,,,,,," l' art , il y découvre le Land Art : les œuvres de Walter de Maria , Richard Long et Robert Smithson l' affranchiront de la question de la représentation conventionnelle de la nature .","Cherchant le lien entre le paysage et  l' art , il y découvre le Land Art : les œuvres de Walter de Maria , Richard Long et Robert Smithson l' affranchiront de la question de la représentation conventionnelle de la nature . "
34,,,,,,, le projet de paysage .,"Le hasard et la nécessité de travailler le font rencontrer Alexandre Chemetoff , avec qui il collabore pendant près de cinq ans : il intègre dès lors qu'être paysagiste est plus qu'un métier , c'est un rapport au monde , c'est aussi la révélation d' une nécessaire multidisciplinarité dans  le projet de paysage . "
