phrase_id,balise_lieu_obj,balise_lieu_loc,balise_act,balise_doc,balise_perc,balise_tps,balise_dyn,phrase
0,,,,,,," quelques origines italiennes mais Trévelo , un nom breton , voulait faire du cinéma ,","﻿Agence TVK Pierre Alain , parisien et haut-alpin , autant citadin que montagnard ,  quelques origines italiennes mais Trévelo , un nom breton , voulait faire du cinéma , étudiant à Paris puis Harvard , vrai skieur et père de deux filles . "
1,,,,,,," voulait faire de la musique ,","Antoine , normand et alsacien , Viger et Kohler , enfant puis adolescent dans la ville nouvelle de Val-de-Reuil , étudiant à Paris ,  voulait faire de la musique , vrai cycliste et père de trois enfants . "
2,,,,,,, un prénom ou un nom double ,"Chacun de nous a trois initiales , avec  un prénom ou un nom double  et , sans hasard ni stratégie , notre duo aussi en a trois . "
3,,,,,,, Le fils d' Antoine est né le même jour que la fille de Pierre Alain ..., Le fils d' Antoine est né le même jour que la fille de Pierre Alain ... 
4,,,,,,, d' architectes .,Il faut ce qu'il faut pour former un couple uni  d' architectes . 
7,,,,,,, l' idée de travailler sur le territoire du boulevard périphérique de Paris ,"Architectes du territoire Amis depuis la fin de nos études d' architecture , entre les écoles de Paris-Belleville et de Paris-Tolbiac , nous fondons ensemble en 1998 l' association Tomato et réunissons un groupe de treize amis étudiants autour de  l' idée de travailler sur le territoire du boulevard périphérique de Paris  pour notre diplôme d' architecte . "
10,,,,,,, le devenir de cette infrastructure majeure de la métropole .,"Lorsque nous avons commencé à nous y intéresser , aucune vision prospective n'envisageait sans préjugés  le devenir de cette infrastructure majeure de la métropole . "
11,,,,,,, peu de travaux s'étaient aventurés à s'approcher de ce monument honni ,"Par ailleurs ,  peu de travaux s'étaient aventurés à s'approcher de ce monument honni  et à le questionner de manière créative . "
12,,,,,,," l' ensemble de son périmètre , tentant d' en explorer toutes ses facettes .","Nous nous sommes donc , attaqués , au sujet sur  l' ensemble de son périmètre , tentant d' en explorer toutes ses facettes . "
13,,,,,,, avons réalisé un diplôme collectif atypique .,"Durant un an et demi , à treize , nous  avons réalisé un diplôme collectif atypique . "
14,,,,,,, est construit ,Notre intuition consistait à prendre en main le Périphérique dans sa globalité en accordant une forte attention à la façon dont l' ouvrage  est construit  tout en comprenant finement la manière dont il traverse les différents sites de la ceinture parisienne . 
15,,,,,,, l' occasion des 30 ans du Périphérique .,"Le diplôme , soutenu en 1999 en tant que travail collectif avec son mémoire de 526 pages et ses huit projets , est devenu un livre en 2003 à  l' occasion des 30 ans du Périphérique . "
16,,,,,,, la suite de notre carrière .,"Cette expérience , qui nous a donné le goût du travail collectif et a été notre premier , terrain ,, comme disent les anthropologues , s'est avérée déterminante et fondatrice pour  la suite de notre carrière . "
17,,,,,,, le projet .,Nous vivons à la fin des années quatre-vingt-dix un changement d' époque : l' attention au contexte redevenait un point de départ pour  le projet . 
18,,,,,,, fort potentiel de projet ,Le Périphérique nous a ainsi appris que nous héritions de situations urbaines à  fort potentiel de projet  pour peu qu'on prenne le temps de s'y intéresser dans toute leur complexité et de les arpenter . 
19,,,,,,, d' y inventer des situations urbaines ,Des exemples asiatiques ou américains illustraient déjà la possibilité  d' y inventer des situations urbaines  stimulantes et remplies d' usages . 
20,,,,,,, une appropriation culturelle et esthétique .,"Dans le cas parisien , le Périphérique est marqué d' une dimension symbolique essentielle à comprendre pour envisager , avec le temps ,  une appropriation culturelle et esthétique . "
21,,,,,,, une architecture territoriale ,"C'est  une architecture territoriale  avec laquelle on négocie en utilisant ses atouts , notamment le point de vue qu'elle offre sur les paysages de part et d' autre : quand on se place sur la limite , celle-ci disparaît . "
22,,,,,,, Cette exploration s'est poursuivie , Cette exploration s'est poursuivie  dans le cadre d' une étude lancée en 2006 de concert par la Ville de Paris  et la Région( une première ). 
23,,,,,,, l' insertion ,"Elle se concrétise en 2008 par la publication de l' ouvrage No Limit , Étude prospective de  l' insertion  urbaine du Périphérique parisien . "
24,,,,,,, s'étendant de part et d' autre du Périphérique ,"Pour élargir la compréhension du territoire , nous avons interrogé l' ensemble des communes riveraines afin de définir seize , identités métropolitaines ,, des territoires  s'étendant de part et d' autre du Périphérique  ayant chacun un caractère propre . "
25,,,,,,," d' un grand espace ouvert métropolitain ,","Nous y avons sélectionné des situations urbaines témoignant de relations variées , et à différentes échelles , avec l' infrastructure , comme autant de supports à projets prospectifs , mais qui toutes partagent plusieurs conditions essentielles : le Périphérique est l' armature  d' un grand espace ouvert métropolitain , à l' instar de la Seine ; "
27,,,,,,, lieux de réunion de deux rives ,la notoriété de ses nœuds en fait de possibles  lieux de réunion de deux rives  aux destins urbains similaires . 
28,,,,,,," lieu de manifestation et de commémoration ,","PLACE DE LA RÉPUBLIQUE ( PARIS ) : À la fois  lieu de manifestation et de commémoration , la place de la République a acquis un statut tout particulier dans l' imaginaire des Parisiens . "
29,,,,,,, notre projet de transformation de la porte de Montreuil ,Notre compréhension de ce paysage métropolitain guide aujourd'hui  notre projet de transformation de la porte de Montreuil  en vaste place-jardin étendue dans la ceinture verte . 
30,,,,,,, les infrastructures : transformer le réel ,"Au corps-à-corps avec  les infrastructures : transformer le réel  Partant de cette expérience collective initiatique , notre duo s'est renforcé peu à peu , d' abord à l' occasion d' un concours Europan qui s'intéressait au boulevard périphérique lyonnais( projet mentionné ). "
31,,,,,,," la porte Pouchet jouxtantle périphérique parisien ,","Puis le concours pour  la porte Pouchet jouxtantle périphérique parisien , remporté en 2003 , a lancé TVK . "
32,,,,,,," Cette opportunité nous a fait quitter les ateliers dans lesquels nous exercions ,"," Cette opportunité nous a fait quitter les ateliers dans lesquels nous exercions , pour faire équipe avec Michel Guthmann . "
33,,,,,,, en ouvrant un laboratoire urbain .,"Contrairement à nos concurrents , nous avons proposé de négocier avec le Périphérique  en ouvrant un laboratoire urbain . "
34,,,,,,, un objet technique et fonctionnel .,Le Périphérique ne peut être réduit à  un objet technique et fonctionnel . 
35,,,,,,, des espaces publics inédits ,"Il ouvre le champ à  des espaces publics inédits  à ses abords immédiats , voire juste en dessous . "
36,,,,,,," une profondeur à investir ,","Considéré dans son épaisseur , associé au nivellement parfois complexe qu'il a engendré et qui définit  une profondeur à investir , il est possible de travailler avec lui de manière subtile . "
37,,,,,,, transforme le sol ,"Pour cela , il faut prendre toute la mesure de cette infrastructure , la manière dont elle  transforme le sol  et reconfigure les situations spatiales , mais aussi dont elle s'associe aux infrastructures qui la précèdent : le vaste cimetière des Batignolles , la ceinture verte ou la réserve autoroutière . "
38,,,,,,," Le projet urbain devient une recherche d' appartenance territoriale , d' adhésion à la surface terrestre et de prolongement de ce qui existe par transformation "," Le projet urbain devient une recherche d' appartenance territoriale , d' adhésion à la surface terrestre et de prolongement de ce qui existe par transformation  et non par effacement . "
39,,,,,,, créer un habitat ,Le projet de la porte Pouchet prend donc le lieu comme une géographie et s'appuie sur ses ressources variées pour inventer plusieurs dispositifs de projet :  créer un habitat  le long de la rue Rebière qui borde le cimetière ; 
40,,,,,,, réinterpréter et faire durer le patrimoine inscrit dans une tour-infrastructure , réinterpréter et faire durer le patrimoine inscrit dans une tour-infrastructure  avec la mutation de la tour Bois-le-Prêtre que réaliseront les architectes Lacaton et Vassal ; 
41,,,,,,," installant , dans la topographie de l' enceinte de Thiers , un édifice-sol pour les véhicules municipaux et pompiers et un stade ","utiliser les imposants mouvements terrestres en  installant , dans la topographie de l' enceinte de Thiers , un édifice-sol pour les véhicules municipaux et pompiers et un stade  ; "
42,,,,,,," affirmer et consacrer l' espace public ,","ou  affirmer et consacrer l' espace public , là où l' usage dominant de l' époque , la voiture , l' avait temporairement confisqué . "
43,,,,,,, perdurent ,"Donc , sous le Périphérique , les géographies terrestre et humaine se retrouvent et  perdurent  dans une place triangulaire singulière , située en pleine terre , dessinée par l' agence TER . "
44,,,,,,," l' inachèvement de l' infrastructure ,","Ce projet représente un laboratoire des différentes pratiques que nous avons cherché à développer par la suite autour de l' infrastructure , dont les leçons principales résident dans  l' inachèvement de l' infrastructure , sa capacité à perdurer en se transformant . "
45,,,,,,," façonnent le relief ,","Nous héritons de nombreuses situations urbaines dont les infrastructures qui parcourent nos villes  façonnent le relief , le plissent et le perforent et produisent autant de ruptures à franchir que de situations à exploiter . "
46,,,,,,, construisent des continuités ,"Nos récents projets urbains prennent la forme de projets de sol qui  construisent des continuités  à partir de ce qui est là , installent des chaînes d' espaces publics étagés , et valorisent les sols construits tout en recherchant la pleine terre : à Val de Fontenay , de part et d' autre d' une énorme autoroute dont les deux sens enferment une station de RER , à Montpellier où se rencontrent la ville historique et le quartier Antigone , ou encore à La Défense où la dalle rejoint le sol naturel dans le quartier Michelet . "
47,,,,,,, Triangle Éole-Évangile ,"ÉOLE-ÉVANGILE ( PARIS ) : Un des potentiels du  Triangle Éole-Évangile  tient à sa situation , offrant des vues sur le grand paysage des infrastructures . "
48,,,,,,, rétrocédé ,"Le projet se construit autour d' un grand jardin  rétrocédé  au public traversant toute la parcelle , et d' une nouvelle topographie créée à partir du nivellement des franges du site . "
49,,,,,,," Bâti en pierre massive porteuse ,"," Bâti en pierre massive porteuse , il est une occasion unique de redynamiser une filière de matériaux et des savoir-faire . "
50,,,,,,, la transformation de la place de la République ,Une architecture du sol Le concours remporté en 2010 pour  la transformation de la place de la République  à Paris a prolongé notre recherche initiée avec les territoires du Périphérique sur le potentiel de la notion d' infrastructure . 
51,,,,,,," un projet infrastructurel : avec son sous-sol saturé de constructions ,","Car la place est d' abord  un projet infrastructurel : avec son sous-sol saturé de constructions , des ouvrages des cinq lignes de métro et de réseaux en tous genres , la place apparaît comme le toit d' un immense bâtiment souterrain ! "
52,,,,,,, le lien avec une grande partie de la métropole parisienne .,Et c'est un toit où se joue localement  le lien avec une grande partie de la métropole parisienne . 
53,,,,,,, bousculer les habitudes et négocier les innombrables interfaces ,Nous y avons beaucoup appris quant à la ténacité nécessaire pour  bousculer les habitudes et négocier les innombrables interfaces  avec une multitude d' interlocuteurs . 
54,,,,aux six schémas de circulation,,," du concours ,","Il faut dire que nous avons proposé une alternativeaux six schémas de circulationconçus par les services parisiens en amont  du concours , parmi lesquels il nous était demandé de choisir pour élaborer le projet. "
55,,,,,,, un dispositif inédit de réorganisation de l' ensemble des mobilités de la place ,"Avec Philippe Gasser du bureau d' études Citec , nous avons proposé  un dispositif inédit de réorganisation de l' ensemble des mobilités de la place  avec l' arrimage de la grande esplanade piétonne vers les bâtiments-palais au nord permettant la création d' une très vaste aire piétonne , et la mise à double sens de circulation des grands boulevards jusqu'à la Madeleine . "
56,,,,,,, un projet de mobilité ambitieux ,"C'était selon nous la seule manière de concevoir  un projet de mobilité ambitieux  capable de définir un espace public clair , lisible , évolutif et surtout ouvert à tous . "
57,,,,,,," a fallu tout changer sans tout refaire ,","En un temps record , il  a fallu tout changer sans tout refaire , avec un chantier mené tambour battant , sans interrompre la circulation , pour une livraison en 2013 . "
58,,,,,,, d' étendre le périmètre du projet ,"Nous avons revendiqué  d' étendre le périmètre du projet  pour renouer un lien avec le territoire , et de sonder les profondeurs du sol pour agir en surface . "
59,,,,,,," Faire de ce grand espace public parisien une infrastructure capable ,"," Faire de ce grand espace public parisien une infrastructure capable , un soubassement partagé et inaliénable , un sol ouvert hospitalier et disponible pour des utilisations aujourd'hui imprévisibles s'imposait . "
60,,,,,,," nivellement ,","Mais ce projet a aussi été formateur pour saisir l' importance du  nivellement , de la micro-topographie et du travail de très grande précision sur , l' architecture du sol , qui engage le déplacement du corps humain et la préhension de l' espace . "
61,,,,,,," la mise à plat et la discrétion du sol urbain ,","Il fallait impérativement réussir  la mise à plat et la discrétion du sol urbain , dans une configuration chahutée , pour disposer de ce grand plateau , offrir une épure appropriable et évolutive qui forme aujourd'hui une scène favorisant tous les usages . "
62,,,,,,, maximise les plantations ,"Le contrôle absolu des pentes , des emmarchements ou des seuils rend à la place son unité ,  maximise les plantations  et magnifie la composition paysagère du xixe siècle . "
63,,,,,,, l' histoire parisienne et française ,"La place a depuis vu se succéder les soubresauts de moments clés de  l' histoire parisienne et française  en alternance avec la poésie de la vie quotidienne , et a largement été médiatisée . "
64,,,,,,, concevoir certaines places majeures ,"Elle nous a permis de participer aux débats , si cruciaux pour nos villes et nos territoires , sur la conception des espaces publics et , plus tard , de continuer de  concevoir certaines places majeures  comme à Lausanne ou à Rome . "
66,,,,,,, notre travail urbain et territorial ,Un autre moment significatif de  notre travail urbain et territorial  s'est joué lors de notre participation au conseil scientifique de l' Atelier international du Grand Paris à partir de 2012 . 
67,,,,"sur le plan du temps , du récit et de la fiction",,, devenir de la métropole parisienne ,"Ce fut l' occasion de réfléchir , dans un cadre pluridisciplinaire , au  devenir de la métropole parisienne  ; d' envisager la portée des infrastructuressur le plan du temps , du récit et de la fiction. "
68,,,,,,, pourrait réorganiser le système métropolitain existant .,"Avec Martin Vanier et Daniel Béhar de la coopérative Acadie , nous nous sommes interrogés sur la manière dont une nouvelle infrastructure territoriale , le Grand Paris Express ,  pourrait réorganiser le système métropolitain existant . "
69,,,,,,, l' infrastructure métropolitaine construite ,"Et il a fallu s'attaquer à la déconstruction du grand récit prophétique de  l' infrastructure métropolitaine construite  autour , d' un grand dessin d' aménagement ,, incapable à nos yeux de prendre en compte l' imprévisibilité du monde . "
70,,,,d' un excellent plan,,," le futur ,","On peut sans doute admettre qu'un concepteur ne peut plus raisonnablement penser prévoir ni déterminer  le futur , même arméd' un excellent plan. "
71,,,,,,, sa parfaite réalisation .,"Nous avons petit à petit affirmé l' idée de , scénarisation , pour échapper à une planification trop fermée sur elle-même et obsédée par  sa parfaite réalisation . "
72,,,,,,, la construction temporelle des séries audiovisuelles .,Cette approche se base sur  la construction temporelle des séries audiovisuelles . 
73,,,,,,," projet urbain ,","Elle part d' un constat : le rapport au temps est problématique en matière de  projet urbain , marqué par une planification qui , part , toujours du point final , selon l' idée que le futur est nécessairement mieux que le présent et que les conditions de vie d' un moment ne comptent finalement pas par rapport à un futur idéal figé . "
74,,,,,,, projets longs .,"D'autant que l' obsession du point d'atterrissage est contre-productive : elle place les habitants en situation d' attente peu stimulante et peut conduire à une inertie , voire à des erreurs , face aux imprévus inhérents aux  projets longs . "
75,,,,d' un plan d' aménagement repose à l' inverse sur sa capacité à évoluer et à <dyn,,,,La robustessed' un plan d' aménagement repose à l' inverse sur sa capacité à évoluer et à > s'adapter aux évolutions du contexte. 
76,,,,,,, l' aménagement de la friche Saint-Sauveur ,Le concours pour  l' aménagement de la friche Saint-Sauveur  à Lille puis le réaménagement de l' autoroute E40 à Bruxelles nous ont servi d' expérimentations pour élaborer cette méthodologie et en déployer les outils et les représentations . 
77,,,,,,," s'articule autour d' un récit scandé en plusieurs saisons ,","À chaque fois , le projet  s'articule autour d' un récit scandé en plusieurs saisons , à l' écoute du tempo des territoires et structuré par une ambition d' ensemble fondamentale et partagée par les acteurs . "
78,,,,,,," Chaque , saison , du projet est une fin en soi , un moment de vie qui ouvre des possibles ."," Chaque , saison , du projet est une fin en soi , un moment de vie qui ouvre des possibles . "
79,,,,,,," la réalisation du village des médias des Jeux olympiques de 2024 ,","À Dugny-La Courneuve et au Bourget , pour  la réalisation du village des médias des Jeux olympiques de 2024 , la scénarisation nous a permis d' envisager la question de l' héritage que représenteront les installations liées à un événement si éphémère . "
80,,,,,,, un projet de développement du territoire ,"Ici , l' énonciation de fondamentaux , que les scénaristes de séries appellent la , bible ,, a servi de support à  un projet de développement du territoire  dont l' événement olympique ne constitue qu'un moment particulier . "
81,,,,,,, la tentative d' unification spatiale du territoire ,"Avec l' étude pour les , Places du Grand Paris ,, nous avons répondu à  la tentative d' unification spatiale du territoire  liée à l' arrivée des gares du nouveau métro par la proposition préalable de partager une culture commune de l' espace public autour d' une analyse très fine des territoires d' atterrissage des futures gares . "
82,,,,,,, l' arrivée de l' infrastructure souterraine ,"L'étude propose une approche méthodologique collective du projet d' espace public , qui doit envisager  l' arrivée de l' infrastructure souterraine  tant dans la profondeur des sols et l' épaisseur temporelle que dans la portée territoriale qu'elle convoque . "
83,,,,,,, le projet d' espace public .,"Elle a été publiée sous la forme d' un guide à destination des maîtres d' ouvrage et des maîtres d' œuvre , structuré par des principes engageant la négociation entre les acteurs , les échelles , les temporalités contrariées , les usages humains et les milieux naturels qui fabriquent  le projet d' espace public . "
84,,,,,,," une forme d' écriture collective et de conception collaborative , faisant participer l' ensemble des , spécialistes , au travail de conception , de l' écologue à l' ingénieur en génie civil .","La série servira de modèle à  une forme d' écriture collective et de conception collaborative , faisant participer l' ensemble des , spécialistes , au travail de conception , de l' écologue à l' ingénieur en génie civil . "
85,,,,,,, Près de 20 % de la surface du sol de l' Île-de-France relève de l' espace public .,PRINCIPES DE CONCEPTION DES ESPACES PUBLICS AUTOUR DES GARES DU FUTUR MÉTRO DU GRAND PARIS EXPRESS :  Près de 20 % de la surface du sol de l' Île-de-France relève de l' espace public . 
86,,,,,,, Ce sol partagé est dépositaire tant de l' histoire passée que des enjeux civilisationnels à venir ., Ce sol partagé est dépositaire tant de l' histoire passée que des enjeux civilisationnels à venir . 
87,,,,,,," un bien commun essentiel , support du déplacement et de la rencontre dans la métropole .","Il constitue  un bien commun essentiel , support du déplacement et de la rencontre dans la métropole . "
88,,,,,,," leurs infrastructures ,","La Terre est une architecture Au long de ces multiples travaux et recherches sur les territoires et  leurs infrastructures , influencés par nos lectures des philosophies et des sciences de la Terre , il nous est progressivement apparu qu'il faut dézoomer encore plus et sortir des débats sur le fait métropolitain qui hiérarchise et met de côté une très grande partie du sol terrestre . "
89,,,,,,," l' échelle de la Terre lors d' une première exposition que nous avons organisée , intitulée , La Terre est une architecture ","En 2015 , à l' invitation de la Cité de l' architecture à Paris , nous avons décidé de nous confronter à  l' échelle de la Terre lors d' une première exposition que nous avons organisée , intitulée , La Terre est une architecture  ,. "
90,,,,du programme de recherche initié en 2015,,," la xviie Biennale de Venise ,","Puis , à l' occasion de  la xviie Biennale de Venise , nous avons été invités par Hashim Sarkis , commissaire de la Biennale , à présenter les résultatsdu programme de recherche initié en 2015. "
91,,,,,,, d' une œuvre monumentale ,"Reprenant ce titre , nous avons proposé un diptyque formé  d' une œuvre monumentale  accompagnée d' un livre . "
92,,,,,,, ont besoin de transformer la matière terrestre pour la rendre habitable .,"Ce projet s'ancre dans les débats contemporains sur les questions terrestres et part d' un constat : les humains sont , plus que d' autres , des animaux fragiles qui  ont besoin de transformer la matière terrestre pour la rendre habitable . "
93,,,,,,," l' architecture , et questionne cet antagonisme supposé et grandissant ,","Le titre interroge la relation entre la Terre et  l' architecture , et questionne cet antagonisme supposé et grandissant , en explorant la diversité des médiations entre la Terre et les humains . "
95,,,,,,, le projet urbain .,"Parce qu'elle permet d' habiter la Terre , l' infrastructure ne peut jamais se réduire à un objet technique , et ce point de vue influence concrètement notre façon de pratiquer  le projet urbain . "
96,,,,,,, l' échelle planétaire nous a ainsi permis de recharger le concept d' infrastructure comme médiation entre les humains et la Terre .,Se confronter à  l' échelle planétaire nous a ainsi permis de recharger le concept d' infrastructure comme médiation entre les humains et la Terre . 
97,,,,,,, les sites d' intervention comme des infrastructures fabriquées ,"Nous cherchons à considérer  les sites d' intervention comme des infrastructures fabriquées  au fil du temps , anthropiques mais indissociables de la Terre , pour changer notre manière d' utiliser les matériaux , le sol , et faire évoluer notre compréhension du déjà-là . "
98,,,,,,," régénérer les sens , les usages et les formes des infrastructures en présence ,","La matière de l' architecture est autant spatiale que temporelle et le projet doit viser à  régénérer les sens , les usages et les formes des infrastructures en présence , dans lesquelles le temps s'accumule et dure . "
99,,,,,,," le  projet urbain Garonne-Eiffel est conçu à partir de l' héritage de l' infrastructure du sol , lissé et désactivé par  le ","À Bordeaux ,  le  projet urbain Garonne-Eiffel est conçu à partir de l' héritage de l' infrastructure du sol , lissé et désactivé par  le s étapes successives de poldérisation de la rive droite marécageuse . "
100,,,,,,, le projet d' espace public ,"Sur près de 130 ha ,  le projet d' espace public  se présente comme un paysage de terre et d' eau ; "
101,,,,,,, stocke et fait circuler les eaux lors des inondations .,une épaisseur écologique autant qu'un grand réservoir à ciel ouvert qui  stocke et fait circuler les eaux lors des inondations . 
