phrase_id|balise_lieu_obj|balise_lieu_loc|balise_act|balise_doc|balise_perc|balise_tps|balise_dyn|phrase
0.0||||||| la multiplicité des territoires |﻿Un éventail de méthodes pour explorer  la multiplicité des territoires  Entretien avec Franck Boutté Ariella Masboungi , Antoine Petitjean 
2.0||||||| en environnement ,|En tant que consultant  en environnement , vous êtes continuellement confronté aux labels et certifications . 
3.0||||||| projets architecturaux et urbains ,|Quelle en est votre approche , et comment négociez-vous avec la pléthore actuelle de référentiels qui s'appliquent aux  projets architecturaux et urbains , à toutes les échelles ? 
4.0||||||| l' écologie en projet |Est-ce selon vous une bonne manière d' appréhender  l' écologie en projet  ? 
5.0||||||| l' inflation des référentiels , normes et labels ( pour le moment à l' échelle architecturale davantage qu'à l' échelle urbaine ,|Franck Boutté [FB] : Notre métier , qui est un métier de situations , est exposé à  l' inflation des référentiels , normes et labels ( pour le moment à l' échelle architecturale davantage qu'à l' échelle urbaine , ce qui serait d' autant plus dangereux ). 
6.0||||||| l' origine d' un vrai malaise professionnel .|Cette force de la logique de certification a des vertus mais elle peut aussi appauvrir le métier , le cantonner à une approche arithmétique désincarnée qui est à  l' origine d' un vrai malaise professionnel . 
7.0||||||| l' agence , malheureux d' être confrontés à ce mode de pensée qui exerce une vraie pression sur les équipes .|Nous avons perdu plusieurs collaborateurs à  l' agence , malheureux d' être confrontés à ce mode de pensée qui exerce une vraie pression sur les équipes . 
8.0||||||| certains concepteurs .|Je ne tiens cependant pas le discours critique convenu , relativement répandu chez  certains concepteurs . 
9.0||||||| dysfonctionnements en matière de conception |Mettre sur le dos des labels et autres référentiels toute la responsabilité des  dysfonctionnements en matière de conception  serait trop facile ! 
10.0||||||| d' objectiver le comportement des bâtiments |Il y a du bon dans le fait  d' objectiver le comportement des bâtiments  du point de vue thermique et plus généralement environnemental . 
11.0||||||| le projet fait référence , le référentiel ne fait jamais projet |Mais je le dis haut et fort : si  le projet fait référence , le référentiel ne fait jamais projet  ! 
12.0||||||| requérir trois ou quatre certifications superposées ,|En tant que garde-fous , les labels et autres certifications ont une utilité , mais quelle logique y a-t-il à  requérir trois ou quatre certifications superposées , ce que nous demandent certains opérateurs ? 
13.0||||||| l' obsolescence accélérée d' un bâtiment mal conçu .|Aucune course à la certification n'a permis d' éviter  l' obsolescence accélérée d' un bâtiment mal conçu . 
14.0||||||| l' épaisseur de la façade , les hauteurs des étages , la taille des fenêtres comme la qualité des châssis et le dessin des menuiseries , mais aussi les enjeux de confort et d' usages de l' ensemble de ces dispositifs , tous ces aspects échappent à la certification qui , à l' inverse , prend en compte la débauche de gadgets domotisés très souvent prématurément obsolètes .|En matière de confort d' été ,  l' épaisseur de la façade , les hauteurs des étages , la taille des fenêtres comme la qualité des châssis et le dessin des menuiseries , mais aussi les enjeux de confort et d' usages de l' ensemble de ces dispositifs , tous ces aspects échappent à la certification qui , à l' inverse , prend en compte la débauche de gadgets domotisés très souvent prématurément obsolètes . 
15.0||||||| l' intelligence du processus de certification , souvent très coûteux .|On peut alors s'interroger sur  l' intelligence du processus de certification , souvent très coûteux . 
16.0||||||| une approche trop partielle du projet |C'est pour cela que nous déclinons les missions qui nous cantonneraient à  une approche trop partielle du projet  : nous ne sommes pas opposés aux référentiels par principe , mais nous refusons de nous laisser imposer une vision purement technique de la performance environnementale ou énergétique . 
17.0||||||| d' ouvrage |Pour un maître  d' ouvrage  comme pour une collectivité , le recours à cette forme de validation par des tiers revient à se démunir de son propre récit bien plus qu'à s'assurer un gage de qualité . 
18.0||||||| l' élaboration de récits de durabilité alternatifs ,|Une des parades possibles consiste donc en  l' élaboration de récits de durabilité alternatifs , fondés sur la recherche d' une qualité intrinsèque des bâtiments et des quartiers mais aussi d' une grande qualité d' usage . 
19.0||||||| objectiver la performance environnementale |Sans être parfaits ni inspirants , les labels ont toutefois eu une utilité , ne serait-ce que pour  objectiver la performance environnementale  auprès d' acteurs ( publics comme privés ) qui , il y a une quinzaine d' années , n'en étaient pas coutumiers et n'y étaient pas même sensibilisés ... [FB] : Oui , mais nous n'en sommes plus là ! 
20.0||||||| tout vouloir traiter , on ne fait rien de vraiment intéressant et on génère des référentiels qui peuvent être pervertis .|Et surtout : à  tout vouloir traiter , on ne fait rien de vraiment intéressant et on génère des référentiels qui peuvent être pervertis . 
21.0||||||| la bel BBC ( Bâtiment basse consommation ) ou des premières versions des référentiels HQE ( Haute Qualité environnementale ) : malgré leurs mérites , ils ne garantissent pas en eux-mêmes  la  qualité d' un projet et peuvent parfois conduire à un nivellement , car , appliqués à  la  lettre , ils ont eu pour conséquence  la |Pour prendre les exemples du  la bel BBC ( Bâtiment basse consommation ) ou des premières versions des référentiels HQE ( Haute Qualité environnementale ) : malgré leurs mérites , ils ne garantissent pas en eux-mêmes  la  qualité d' un projet et peuvent parfois conduire à un nivellement , car , appliqués à  la  lettre , ils ont eu pour conséquence  la  construction de bâtiments hypercompacts donc épais , percés de petites fenêtres , irrigués par des parties communes sans lumière , sans balcons pour éviter les ponts thermiques . 
22.0||||||| des économies de construction drastiques .|Du pain béni pour les promoteurs qui se sont saisis de ces prescriptions génériques pour justifier  des économies de construction drastiques . 
23.0||||||| l' optimisation financière |Lorsque les labels environnementaux deviennent les alliés de  l' optimisation financière  au lieu d' être des alliés de l' écologie , il y a un problème ! 
24.0||||||| la qualité urbaine ,|L'impensé des impacts des labels sur  la qualité urbaine , qui n'est pas une mince question , est également une question en soi . 
25.0||||||| s'inscrit .|Un organisme de certification se basant sur ses propres référentiels est incapable de tenir pleinement compte des spécificités du projet et de sa relation au milieu urbain dans lequel il  s'inscrit . 
