Unnamed: 0|sentence|dynamic|annotation
417|À l’image de ceux qui l’occupent, la ville en effet évolue, se transforme au contact des changements sociétaux, politiques, climatiques ou économiques.|1|0
262|À ce « park system » est associée la création de canaux et de ports de plaisances structurant l’île actuelle ainsi que son urbanisation à venir.|1|1
117|Nous comprenons alors la nécessité de témoigner et d’écrire pour combler le manque d’écrits théoriques, côté français, en matière de paysage, d’urbanisme et de l’intégration de la question écologique.|0|1
340|Préoccupés par leur alimentation et leur santé les habitants des villes grandes et petites comme des métropoles considèrent à nouveau les productions agricoles urbaines, voire envisagent de cultiver eux-mêmes la terre.|0|1
225|La puissance publique anticipe et maîtrise les différentes phases du développement des projets.|1|1
63|Notre approche historique intègre la dimension anthropique des sites en projet, l’histoire des sociétés qui les ont vécus, traversés, appropriés, parfois abandonnés ou réoccupés.|1|0
415|Mise en place d’une stratégie territoriale à partir de l’arrière-pays : révéler la campagne productive, habité, naturelle et accessible.|0|1
595|Ainsi les exigences juridiques en matière d’écologie pourraient élargir leur champ.|0|1
41|Tous ceux qui ont approché Michel Corajoud ont probablement ressenti, comme nous, ce vertige du mélange entre discussions de proximité et préoccupations philosophiques autour des questions de paysage.|0|1
223|Nous avons alors pris la mesure de la réalité de l’amplification du désir des habitants autour du besoin de nature en ville.|0|1
224|Quels que soient les apports des expériences étrangères, nous percevons un avantage français inégalé dans le monde : celui de l’implication de la maîtrise d’ouvrage publique, investie à tous les niveaux.|0|1
261|Soucieux de créer une continuité écologique entre le Port de Hambourg, situé sur le bras nord de l’Elbe, et les réserves naturelles, implantées sur le bras sud, le plan directeur propose l’établissement d’un « park system » reliant les rives nord et sud.|1|1
403|Code source : Un ADN territorial : voies des terres, voies des rivages|0|0
269|Succédant à une série de projets et d’actions, ce plan est confié dans un premier temps à l’agence OMA qui en définit les futures polarités programmatiques.|1|1
513|L’inondabilité fluviale est également un moteur de projet urbain, qui impose d’anticiper et d’adopter une position d’accueil de l’eau et de sécurité des populations.|1|1
369|Le Peuple de l’herbe, un parc naturel à l’échelle de la métropole|0|1
425|Être urbaniste coordonnateur implique de définir le cahier des charges à l’attention des promoteurs et des architectes, quant à leurs conditions de construction.|0|1
29|Mais aussi de domaines au-delà de la science, incarnés par Jacques Ruffié, Jacques Monod ou Henri Laborit ouvrant sur la question de « l’homme et la ville ».|0|1
180|Le premier concours auquel nous avons répondu concernait l’aménagement d’un parc à Berlin.|1|1
457|Le dispositif urbain intérieur se caractérise alors par une succession de lés alternant constructions et espaces plantés entourés de bâtiments conçus en lisière du quartier comme une « gangue bâtie périphérique » pour contenir le bois.|1|1
567|On y trouvera des espaces de loisir, de jardinage, de sport, une vie nocturne et sociale, mais aussi les nouvelles mobilités fluviales.|0|1
299|Le grand territoire est fait de petits territoires en attente de projets.|1|1
550|Certains milieux revêtent un caractère pérenne, d’autres, de nature réversible, subissent des transformations continuelles liées aux aléas du niveau d’eau qui redéfinit régulièrement la configuration du jardin.|1|1
134|Cet ouvrage, élaboré pour mettre en lumière la diversité des échelles auxquelles il faut faire face, insiste dès l’introduction écrite par Henri Bava, Michel Hössler et Olivier Philippe, sur l’importance de fabriquer ses propres outils de compréhension du territoire dans une démarche située, sur la nécessité de rechercher le concept préalable fondateur du projet, sur l’importance d’imaginer des sous-ensembles comportant une grande autonomie mais articulés les uns aux autres, et sur les allers et retours nécessaires entre les idées et le souci de la mise en œuvre et de la pérennité.|0|1
411|La lecture du territoire met en évidence trois types de « bords » qui représentent des leviers prioritaires de transformation du territoire : le bord littoral, le bord rétro-littoral et l’entre-deux bords.|1|0
423|Notre réflexe est de penser le travail de l’architecte depuis le paysage alentour et aussi, a contrario, depuis ce que l’on voit de l’intérieur vers le paysage.|0|1
487|Au-delà, c’est l’émergence d’un nouveau type d’espace public, « sauvage » et extensif, étiré le long du fleuve et des canaux, qui serait expérimenté au bénéfice des habitants.|1|1
