Unnamed: 0|sentence|dynamic|annotation
479|Maître d’ouvrage : Ville d’Issoudun Paysagistes : Michel Desvigne, Christine Dalnoky, Sophie Mourthé, Luc Chignier|0|0
96|L’occupation de ces terrains par une nature « intermédiaire » donne à cette géographie un rôle puissant de transformation urbaine.|1|1
425|Il s’agit d’une structure singulière : un archipel solidaire et hiérarchisé de parcs-campus reliés entre eux et avec les vallées construites.|1|0
188|Formidable réservoir pour un espace public à inventer.|1|0
606|J’aime le dessin à la main, essentiel pour clarifier ce qui doit être dit et montré, deux démarches ne relevant pas du même processus.|0|0
25|C’est un paysage construit qui varie en permanence comme la métaphore d’un cycle biologique.|1|0
197|Il n’y a qu’un monde et sûrement pas de double vie.|0|0
318|Le projet prévoit un processus très pragmatique de substitutions progressives : suivant les opportunités, chaque surface vacante est immédiatement plantée.|1|0
168|À l’image des systèmes de parcs d’Olmsted, j’imagine que l’on peut « amplifier » cette nature en boisant les vallons qui relient le plateau et les vallées.|1|0
71|À partir de l’image d’une peupleraie vue d’avion dans laquelle la rivière sculpte une clairière, un lieu qui peut être habitable, l’objectif est de reconstituer une forêt alluviale.|1|0
392|Le travail d’Olmsted a consisté à amplifier la présence de cette nature : plantation abondante des coteaux, gestion de l’eau, installation de la viabilisation, des voies de circulation, etc., le tout créant les fondations robustes du mode de développement de la ville.|1|0
240|Étalonner contraint d’aborder toutes les échelles en même temps : mettre en place une stratégie d’aménagement sur un temps long, mener des réflexions sur des échelles plus petites (de l’ordre de 250 ha), pour des lieux où l’on va réellement fabriquer des morceaux de ville, et effectuer des expérimentations concrètes sur des échelles encore plus petites (environ une dizaine d’hectares).|1|1
67|Il existe un second objectif : l’accueil de futurs quartiers sur une centaine d’hectares après une période d’abandon probable de quinze ans.|1|0
34|J’assiste aux corrections de Snozzi et d’abord je ne comprends rien : on y parle de murets, de murs, d’allées, d’un garage...|0|0
103|La puissance des systèmes de parcs de Frederick Law Olmsted, exacerbant les maigres géographies de Boston ou Minneapolis, me convainc de reconsidérer la hiérarchie entre traces et géographie.|0|0
430|Un paysage de préfiguration accompagne ainsi la progression naturelle du développement du parc-campus.|1|0
513|Nous le reprenons aujourd’hui à Marseille où, sur le Vieux-Port, avec Norman Foster, nous avons proposé un espace public constitué d’un dallage très solide, sans aucun dessin, aucun objet; à Almere, aux Pays-Bas, où nous avons fabriqué, devant le lac, une immense place en stabilisé, une sorte de plage en ville, presque vide si ce n’est quelques petits lieux d’intensité, des jardins donnant accès à des parkings souterrains ; à Luxembourg, où nous avons mis en œuvre un aménagement absolument invisible : un jeu de maîtrise des pentes qui met en scène la vieille ville avec les murs de la forteresse de Vauban.|1|1
145|Il n’y a pas là le désir volontaire d’une architettura povera, mais le choix d’une rusticité.|0|0
54|La ville est banalisée par son étalement récent et sa géographie n’est plus lisible.|1|0
347|Dans le processus de transformation des territoires, le temps est un facteur déterminant, si bien que les sites en mutation peuvent rapidement se transformer en chantier permanent.|1|1
404|Le plateau ne pouvant infiltrer l’eau, celle-ci serait retenue dans de grands bassins avant de se jeter dans les vallons.|0|0
181|Ces préalables parfois réputés temporaires, souvent exécutés dans l’urgence électorale, sont conçus avec une sorte de détachement.|1|0
20|Je réalise des séries de maquettes permettant l’expérimentation physique des dispositifs.|0|1
269|Situation pour laquelle il n’y a pas grand sens à reconduire des modèles.|0|0
13|J’imagine de petits dispositifs mettant en œuvre les mécanismes pour créer des formes : ombrières faisant varier la croissance des végétaux, pièges à alluvions constituant des îlots, couloirs à vent pour déplacer les dunes...|1|0
35|Et pourtant, il s’agit bien de vastes territoires que la mise en situation de ces architectures révèle et amplifie.|0|0
105|Nous cartographions les espaces à l’abandon, sans usage, sans affectation.|1|1
74|Douze mille arbres plantés sur vingt-cinq hectares font surgir un paysage forestier qui évoluera vers une sorte de naturalité.|1|0
52|Dix ans séparent les deux projets d’Issoudun.|1|0
443|Or ceux-ci ne présentent pas une échelle d’intervention en rapport avec les exigences du développement durable, et concernent le plus souvent des créations neuves conformes au credo durable, densité, localisation proche des villes, etc., et non la gestion de l’existant ni de l’étalement urbain qui se poursuit inexorablement.|1|0
610|Et en tant que concepteurs, nous avons besoin de la représentation, d’abord pour comprendre la réalité, trop complexe pour constituer la base d’une réflexion.|0|0
465|Les bénéfices ainsi réalisés correspondent à l’esprit du développement durable, loin des incantations ou des culpabilisations dont celui-ci est trop souvent entouré.|0|0
408|Cluster Paris-Saclay, plateau de Saclay, Essonne, 2010-2016... [plan de développement urbain et paysager]|0|0
310|Ils le sont en effet, aux antipodes de ces grands terrains en mutation aménagés avec l’idée d’une ville finie, tel le Carré Sénart, pourtant réussi, dont les équipements trop sophistiqués semblent incongrus dans cette ville encore improbable.|1|0
56|En périphérie nous repérons des lambeaux de parcelles agricoles, parmi et au-delà des lotissements, constituant des sortes de « coulisses » autour de la ville.|0|0
538|Maître d’ouvrage : Fonds Belval Paysagistes : Michel Desvigne, Ana Marti-Baron, Enrico Ferraris, Karolina Samborska, Alessandro Conti, Francesca d’Apuzzo Architecte : Inessa Hansch Superficie : 13 ha|0|0
329|Maître d’ouvrage : Dallas Center for the Performing Arts Foundation Paysagistes : M.|0|0
455|Il faudrait imaginer une « loi Lisière » qui s’appuierait sur la loi de 2005 visant à la protection des espaces agricoles et naturels, et qui prenne modèle sur la loi Littoral.|1|0
137|Simultanément, nous contribuons à l’établissement d’une sorte de plan directeur du paysage et à un plan guide pour les rives de la Garonne.|0|0
602|Maître d’ouvrage : Ville de Montpellier Paysagistes : Michel Desvigne, Christine Dalnoky, François Neveux Superficie : 1 500 ha sur 3,5 km|0|0
99|1998-2000. Enseignement à Harvard — Les délaissés urbains de Boston|1|0
369|Jardin de préfiguration de l’île Seguin, Boulogne-Billancourt, Hauts-de-Seine, 2009-2010 [Maîtrise d’œuvre d’espace public]|0|0
39|Tout reste en place mais tout se transforme.|1|1
42|La commune d’Issoudun a préempté un ensemble de petites parcelles inondables le long de la Théols en centre-ville.|0|1
571|À cet égard, le changement de regard qui s’est opéré depuis une vingtaine d’années sur le patrimoine industriel est une leçon.|0|0
16|Je suis admis comme pensionnaire à la Villa Médicis à Rome, puis j’obtiens une aide du ministère de la Culture pour développer ces travaux.|0|0
469|Ce milieu doit à la fois faire appel aux pratiques et aux techniques empruntées au monde de l’agriculture, et pallier les déficits en espaces publics de la périphérie urbaine.|0|0
594|Maître d’ouvrage : AGSOB (AG Stadsontwikklelingsbedrijf Gent) Paysagistes : Michel Desvigne, Enrico Ferraris, Gerwin Gruber, Giacomo Casentini Architectes : OMA Rem Koolhaas, Floris Alkemade, urbanistes Superficie : 4 ha|0|0
70|Sans trace repérable, sans programme porteur, il reste possible de se référer à l’échelle géographique, à une cohérence géologique et écologique.|0|0
345|Ce «champ» a le statut d’une large ramification finale, sorte de tête du dispositif.|0|0
322|Dallas Center for the Performing Arts, Dallas, États-Unis, 2004-2009 [maîtrise d’œuvre des espaces publics]|0|0
140|Nous définissons les dimensions nécessaires à ce paysage comme préalable aux modifications des règles de constructibilité.|0|0
108|En l’absence de volonté publique, ils restent à l’abandon vingt à trente ans.|1|0
327|Celui-ci accueille divers objets présents et à venir : jardins rectangulaires, miroirs d’eau, rampes, terrasses apparaissent comme des éléments mobiles, disposés au gré des opportunités financières et culturelles.|1|1
567|À Montpellier, à l’entrée de la ville où nous avons planté une multitude de pins parasols, l’artifice consiste à donner de l’ampleur au paysage par un système de coulisses paysagères ; à Burgos, il est présent dans la création de petits boisements qui viennent ponctuer l’espace public.|1|1
130|Les élus de Bordeaux souhaitent se doter d’une « vision » pour la transformation de ce paysage et d’outils — une charte — pour sa construction cohérente.|1|0
523|Cette place, très inspirée de la piazza Beaubourg est, aux Pays-Bas, le premier espace public conçu presque uniquement à partir d’une surface en stabilisé.|0|1
175|Ces projets anticipent l’avenir et dépassent toutes les limites administratives pour souvent rejoindre celles de la géographie naturelle.|1|1
620|En redimensionnant le réel, il oblige à penser en termes de réalités physiques.|0|0
8|Invention de formes de paysage produites par des mécanismes naturels transposés.|0|0
224|Il est essentiel de bien regarder les dimensions de ces systèmes de parcs et de s’interroger sur leur application sur nos territoires.|0|0
350|Suite à une demande de la collectivité qui souhaitait une réalisation rapide — chose impossible —, nous avons proposé d’utiliser le chantier pour ouvrir le site aux usagers et anticiper le futur aménagement.|1|0
617|L’analyse du site est un socle, à partir duquel on peut commencer à réaliser des croquis.|0|0
614|L’informatique aurait facilité l’exercice, mais cela aurait été, justement, trop facile.|0|0
211|Étaient alors dessinés de fantastiques projets d’amplification de la géographie : une vallée existait, son petit vallon était encore sous forme d’égout, et les paysagistes, Olmsted et son fils, amplifiaient la présence de cette nature.|1|0
551|Implanter, comme on veut le faire à Saclay, les grandes voies de circulation dans les vallons, c’est assurer une adéquation entre les continuités de parcs, la géographie naturelle et les infrastructures, et donc un mode de viabilisation particulier qui épouse la géographie naturelle.|1|1
209|Ils exploraient le territoire assez finement, de sorte qu’ils voyaient tous les vallons, les affluents des vallées principales qui souvent, à ce moment-là, n’étaient plus que des résidus, des égouts à ciel ouvert.|0|0
584|Leurs lits sableux incompressibles sont ainsi rehaussés, accentuant l’inversion observée et constituant des territoires hors d’eau.|1|0
84|On se perd dans les banlieues françaises parce qu’on y lit d’abord l’abondance et la confusion des institutions : une autoroute concédée, une route nationale, une route départementale, des rues municipales, qui fonctionnent selon leur propre logique avec chacune un langage particulier : signalétique, trottoirs, clôtures.|0|0
193|Une géographie inversée, l’expansion de Rotterdam à l’échelle d’un delta et de ses inondations.|1|1
227|Nous avons fait des recherches pour voir ces correspondances à partir des traces du travail du fils d’Olmsted : documents, photos, dessins, coupes et gestion dans le temps de 1901 à 1950.|0|0
624|Nous devons pouvoir nous projeter physiquement et même nous déplacer parmi ces organismes riches que nos maquettes miniaturisent, là où les images de synthèse apparaissent comme de pénibles fantômes.|0|0
592|Il s’agit de tirer parti de cette disposition pour en faire un élément clé du projet : la création de trois parcs au niveau de l’eau, en contrebas des voies de circulation.|1|0
418|Cette structure paysagère accueillera des «parcs-campus».|1|0
339|Lyon Confluence 2, Lyon, Rhône, 2009-2012 [plan de développement urbain et paysager]|0|0
528|La clairière, située au cœur du dispositif historique, a retrouvé une visibilité à grande échelle.|0|1
59|Il s’agit là encore de mécanismes de substitution, la «composition» de ce paysage est déterminée esthétiquement.|1|0
575|La proposition a acquis une qualité liée à la géographie «artificielle» du site et à ses caractéristiques.|0|0
511|Le sujet de l’espace public est toujours l’espace, jamais un décor : comment donner les meilleures qualités aux espaces constitués par les bâtiments et les îlots avec une grande économie de moyens ?|1|0
569|Elle est bien davantage de jouer avec, de s’en accommoder pour la réparer.|1|0
541|Ce lieu singulier a été conçu comme la superposition d’un jardin calme et d’une place minérale intégrant les différentes fonctions urbaines.|0|0
143|Mon travail fait appel à peu d’objets, et idéalement à aucun, à des matériaux ordinaires.|0|0
583|Les matériaux des digues démantelées seront ensuite déposés sur l’empreinte des anciennes rivières.|1|1
85|Quand je me déplace dans ce territoire, je dois passer de l’A ?|0|0
210|On retrouve encore des photos de la fin du XIX e siècle et de 1900, à Washington, de ces sortes d’égouts qui étaient de véritables talwegs, les parties amont des vallées où les rivières étaient installées.|0|0
321|Maître d’ouvrage : Communauté urbaine de Bordeaux (CUB) Paysagistes : Michel Desvigne, Sophie Mourthé, Luc Chignier, Nam Le Toan, Ana Marti-Baron Architecte : Bruno Fortier, urbaniste Superficie : 49 km²|0|0
534|Le projet d’espace public se fonde sur la définition d’un socle unitaire, une grille orthonormée et pavée de briques sombres intégrant les vestiges industriels et de nouveaux développements.|1|0
570|Il faut pouvoir regarder les paysages artificiels traversés par les infrastructures comme une autre forme de naturalité avec laquelle composer.|0|0
89|Extrait d’un entretien avec Michel Desvigne, par Gilles Davoine, Amc, no 101, octobre 1999.|0|0
195|À Skolkovo en Russie, à Doha au Qatar, on ne redoute pas une certaine grandeur.|0|0
15|J’expérimente le dialogue physique fondamental qui existe à de multiples échelles entre phénomène naturel et construction.|0|0
402|Le système d’acheminement était fondé sur des fossés alimentant des bassins de rétention, lesquels se déversaient dans un aqueduc qui transportait l’eau jusqu’à Versailles.|0|0
46|Des haies remplacent les clôtures, des parterres de fleurs succèdent aux planches des potagers abandonnés, des vergers ornementaux et des prairies fleuries remplacent les friches.|1|1
589|S’écartant du modèle d’étalement urbain diffus si caractéristique en Flandre, l’agence OMA propose un plan de développement à l’intérieur de la ville de Gand, fondé sur la transformation d’une ancienne zone portuaire.|1|1
311|L’idée d’inachèvement souvent associée à mon travail relève d’une volonté de cohérence, la volonté de transformer les territoires en phase avec ce qui s’y construit, avec les pratiques qui s’y déroulent.|1|0
151|Détourner les techniques et les usages agraires rend soudain un espace lisible.|0|1
346|Maître d’ouvrage : SPLA Lyon Confluence Paysagistes : Michel Desvigne, Ana Marti-Baron, Guillaume Leuregans, Fabrizio Calosci, Albert Castejon, Valeria Pagani, Thierry Dalcant, Antoine Meinnel, Giorgio Marafioti, Martin Basdevant Architectes : Herzog & De Meuron, Christine Binswanger, Tomislav Dushanov, Christoph Röttinger, Alexa Nürnberger Superficie : 37 ha|0|0
364|Ainsi, dans ce grand univers de chantier, avons-nous installé quelques chemins, une pelouse, une végétation temporaire.|1|0
191|Adriaan Geuze m’avait invité à la Biennale internationale d’architecture de Rotterdam et attendait de moi la «French grandeur».|0|0
111|Au lieu de chercher à structurer les vides en y superposant un ordre de composition, les projets élaborent une nouvelle géographie par des moyens modestes : redonner une fertilité au sol, le décontaminer sur place, y détourner les eaux d’orage, proposer un mode de gestion sur une longue durée.|1|1
325|Ces deux derniers bâtiments sont situés de part et d’autre d’un délaissé de terre dont le commanditaire veut faire la «place centrale», l’imaginant sur le modèle des places historiques européennes.|1|0
340|En 2010, la seconde phase du projet Lyon Confluence étend l’imbrication étroite entre paysage et bâti sur deux nouveaux secteurs, mais de façon clairement distincte.|1|1
363|Cette préfiguration est une sorte de fondation, de première strate, qui donne corps au quartier en devenir tout en évoluant au fur et à mesure des aménagements.|1|1
134|Chaque mois nous nous livrons à un exercice collectif in situ : pour chaque lieu nous identifions strate par strate les problématiques (unités spatiales, limites, typologie, nivellement, sols, structures végétales...).|0|0
414|Nous préférons affirmer nettement son identité périphérique, en respectant les vides dédiés à l’agriculture, en qualifiant ses limites boisées et en intensifiant ses noyaux existants.|1|0
100|Si les systèmes de parcs américains du XIXe siècle ont servi parfois de structure à la croissance des villes, leur typologie est transposable, à rebours, pour constituer une structure aux étalements urbains contemporains.|1|0
557|La Suisse fourmille de routes dessinées avec grande intelligence, ancrées dans leur géographie.|1|0
231|Il n’est pas illusoire de proposer des gestions d’une cinquantaine d’années pour la constitution d’un paysage, d’une géographie amplifiée pour la ville de demain.|1|0
153|Ne pas encombrer inutilement, ne pas donner prématurément une « finition » illusoire, par manque de confiance envers les « paysages en gestation ».|1|0
