Unnamed: 0|sentence|dynamic|annotation
14|La consultation internationale sur « Le grand pari de l'agglomération parisienne » n'est pas un processus traditionnel de mise en concurrence de professionnels de la maîtrise d'œuvre pour l'obtention d'un marché, mais un dispositif de recherche collective, mobilisatrice d'une dizaine de démarches pluridisciplinaires.|1|0
35|Mais depuis 10 ans, de nouvelles connaissances et de nouvelles prises de conscience conduisent à souligner le rôle majeur du développement des métropoles dans l'équilibre environnemental de la planète.|1|1
19|C'est un contexte spatial car Paris est une des capitales mondiales qui ne peut pas entièrement revendiquer le statut, l'identité et la cohérence d'une métropole.|0|0
41|Elles interrogent notamment les disciplines de l'aménagement de l'espace sur la pertinence des échelles de perception, de conception et de transformation des territoires métropolitains.|1|0
43|Mais face aux mutations de plus en plus rapides et incontrôlées de la ville territoriale, comment faut-il repenser la fonction du modèle spatial dans les procédures de négociation entre ces multiples acteurs ? Quelles stratégies faut-il imaginer pour pouvoir maîtriser le développement de ce qu'on pourrait appeler une « métropole négociée» ? Comment un monde abstrait façonné par les flux, les énergies et les informations peut-il participer aux représentations collectives d'une métropole humaine à l'échelle territoriale ? Et puis, faut-il raisonner en termes de stratégie programmatique, d'armature territoriale, de logique énergétique ou d'équilibre écologique ?|1|1
16|Les objectifs de cette consultation affichent clairement la nécessité d'obtenir à l'issue d'une période de sept mois et demi de travail un ensemble cohérent de productions à la fois théoriques et pratiques, à la fois conceptuelles et opérationnelles.|0|0
21|Ainsi faut-il considérer que les objectifs de cette consultation visent à fournir des orientations théoriques et des propositions pratiques capables de nourrir les réflexions relatives au processus de croissance métropolitaine de l'agglomération parisienne.|1|1
46|Car c'est à partir de cette méthode (atlas, scénarios, fictions, récits...) que la vertu didactique des productions de recherche sera garantie.|0|0
53|Il est sans doute vrai que, dans le contexte de la concurrence internationale des métropoles, l'échelle de la « région urbaine » paraît être la plus appropriée pour une approche globale des problématiques urbaines de Paris.|0|0
9|Ce programme permet aujourd'hui de financer les travaux de recherche scientifique de huit équipes par an pendant quatre ans.|0|0
38|Depuis, elles subissent une pression économique et démographique sans précédent qui remet en question cette échelle, cette cohérence, cette identité politique et culturelle héritée de la modernité.|0|0
