Unnamed: 0|sentence|dynamic|annotation
140|Une conscience, contextuelle, se forge dans les échanges modestes que tout projet ou toute difficulté réglementaire suscitent.|0|0
511|Cessons de construire des rues inutiles, en dépit des résistances !|1|1
166|Les objets architecturaux sont mis en scène à travers un paysage qui, bien qu’aménagé, évoque les étendues naturelles du reste du pays.|1|0
285|Nous parlons par exemple d’un développement « durable » depuis près de vingt sans que les transformations effectives n’infléchissent vraiment le cours des choses.|1|0
27|Avec des Macintosh rudimentaires, nous finissions, en 1990, par tout tracer en détournant le logiciel de graphisme Illustrator.|0|0
29|J’eus à cette fin la chance d’interviewer Cedric Price, Peter Smithson, Àlvaro Siza et Elissa Aalto et de réaliser plusieurs dessins mêlant édifices et paysages.|0|0
598|Nous allons pour cela, en amont, au-devant des entreprises, des gens, des usines, des métiers : la matière et l’économie ne doivent plus être l’ultime ligne des consultations de maîtrise d’œuvre, mais venir en première page de la vision politique.|0|0
288|Comment favoriser une diversité des tissus urbains, tout en usant de règles urbaines et d’une trame d’infrastructures cohérentes ?|0|0
442|La commande est aussi responsable de la question posée à l’architecte et se cantonne trop souvent à l’objet.|0|0
157|Outre la volonté politique, cette reconquête des friches est due à deux autres raisons : la propriété publique des sols, qui offre des moyens d’action considérables à la Ville ; la structure urbaine depuis toujours calée sur les atouts préservés de sa géographie.|1|0
622|L’horizon des quais, le paysage portuaire, la présence du ciel et l’air du fleuve et de l’estuaire, l’usure des sols des quais avaient une force considérable — force que avons cherché à garder dans le dessin.|0|0
629|Pour concevoir la place de la Mairie, la place Dorian et les rues adjacentes du cœur de ville, nous avons visité plusieurs dizaines d’entreprises autour de Saint-Étienne, ceci avant même de dessiner la place.|1|0
562|Au nord, l’agriculture est renforcée, les champs sont protégés par des haies bordant des chemins publics apportant au quartier un grand parc public et de nouvelles traversées.|1|0
729|Mais les aides publiques y sont vitales. Que se passera-t-il si ces appuis disparaissent ?|0|0
