Unnamed: 0|sentence|dynamic|annotation
77|C’est une distinction importante qui permet de resituer le débat comme une composante du projet, considéré au sens large, et qui contribue à donner un cadre aux arbitrages politiques, qui ne soit pas centré seulement sur le mode comparatif généré par les concours.|0|1
113|L’obsolescence rapide des grands ensembles devrait nous inciter à un peu de modestie devant la tentation de la permanence d’un cadre physique quand il ne répond pas à une situation socio-économique stabilisée.|1|1
3|Si je cite cet exemple, c’est pour situer d’emblée mon propos entre un principe de réalité – un urbanisme des modes de vie – et une nécessité – un urbanisme matriciel : une équation dont les règles sont à réinventer à chaque époque et qui exprime, selon moi, la capacité de l’urbanisme à équilibrer les territoires urbains.|1|1
117|C’est même la situation la plus courante, mais tout repose alors sur la qualité d’une chaîne d’actions et à cet égard, le travail réalisé par l’IBA[1] dans la Ruhr reste pour moi une expérience fondatrice.|0|1
96|C’est une démarche qui doit être considérée dès l’origine d’un projet et que j’ai mieux comprise, en Allemagne, dans le concours pour le centre de Gelsenkirchen, organisé autour de la problématique de la « ville des petits investissements » – un thème peu exploité dans nos procédures d’aménagement conçues le plus souvent autour du bilan d’équilibre des ZAC.|0|1
75|J’ai ainsi appris un nouveau métier, celui d’architecte de l’espace public, en naviguant entre deux écueils qui sont une forme de maladie de notre système de production des infrastructures : – l’« esprit routier », développé dans les années 1970 à partir d’un jugement faussé par l’obsession de la vitesse jusqu’à oublier les règles élémentaires du rapport à la ville ; – le goût de la surformalisation qui, sous couvert de modernisation ou d’embellissement, a dénaturé un grand nombre de lieux simples qui ne demandaient qu’un peu d’intelligence.|1|0
230|Un mode de production de l’espace urbain devenu commun est celui de l’exposition d’architecture inspiré du modèle allemand qui se développe dans l’univers égocentré des ZAC.|1|1
26|Cette spécialité étiquetée était aussi à l’époque une forme d’enfermement dans un univers professionnel peu enclin à la transversalité.|0|1
221|Elle parle de fragmentation, de « tension » ou de nature avec une liberté de ton parfaitement stimulante.|0|1
92|Dans ce cas, la place de l’automobile qui est reconsidérée sous la forme d’un boulevard épais intégrant tout le stationnement et les services à la voiture.|0|1
47|Comment exprimer les bases d’un principe de valorisation urbaine ?|1|1
176|Cela montre pour moi deux choses : la confiance dans leur propre projet d’agglomération et le fait qu’une limite pertinente ne soit pas la conséquence d’un découpage administratif mais bien d’une ambition et d’un projet collectifs.|1|1
70|Cette réalité vécue n’est pas pour autant directement exploitable, car pour avancer dans la réflexion il faut avoir accès, par le projet, à un monde des transports dont nous étions exclus, du moins tant que la vitesse est restée au centre des problématiques.|0|1
39|C’est aussi un territoire contradictoire dans lequel les objectifs d’un pôle d’excellence croisent ceux d’une zone franche, et c’est cette dualité qu’il fallait traduire dans un concept spatial.|0|1
103|Cela ne résout pas pour autant certaines pathologies spatiales, mais quand elle est nécessaire, cela permet de situer la démolition dans un contexte plus large que la simple remise en cause d’une forme urbaine.|1|1
56|Ensuite, j’ai remarqué l’importance d’un point focal, une idée, un lieu, une forme ou même une formulation autour de quoi vont s’agréger les composantes diverses d’un projet.|0|1
101|Avec un peu de recul, on peut considérer ces quartiers comme le premier acte d’une ville hors les murs et non comme une dégénérescence de la ville-centre.|1|1
227|C’est celui des « packages urbains » prenant la forme du « régionalisme international » promu par le New Urbanism ou celle des espaces « hypermodernes » que l’on voit s’installer dans de nombreuses villes.|1|1
159|Un nouveau cadre de gouvernance, une nouvelle chaîne de documents d’urbanisme et une procédure adaptée (mais aussi exceptionnelle à ce jour), celle d’une étude de définition: voilà le cadre idéal proposé par l’agglomération montpelliéraine.|0|1
7|De retour en France, j’ai continué mon éducation auprès de Jean-Claude Bernard dans l’aventure de « l’or blanc » : Tignes et ensuite Val-Thorens, villes extrêmes à imaginer avec conviction, mais sans l’arsenal conceptuel et environnemental qui aurait permis de maîtriser un tel sujet.|0|1
209|Entre les préoccupations de la planification et celles des projets urbains, il y a dans nos modes de pensée et d’action un « chaînon manquant ».|1|1
69|La ville de la proximité, profondément ancrée dans notre vécu, et la ville de la distance, qui n’était pas celle du quotidien, en dehors des habitudes programmées des déplacements pendulaires, se confondent de plus en plus.|0|1
134|Une vision dynamique où s’assemblent un signal territorial, un parcours commercial et une architecture signalétique lisible dans le mouvement du tramway.|0|1
150|Après un workshop[2], devenu la commande d’un plan directeur, puis la commande de la réalisation, ce projet, contre toute attente, a pris corps.|0|1
148|La Ville n’avait aucun besoin de ce site pour les Jeux olympiques, le site de l’aéroport Hellenikon aurait suffi, mais les Jeux étaient placés sous le signe de la mer, et le fait qu’Athènes retrouve son lien, interrompu dans les années 1970, avec le golfe Saronique sur le lieu du premier port de l’Antiquité était un acte symbolique.|1|0
79|Qu’un investissement aussi important qu’un tramway soit conçu comme un projet déclencheur semble aller de soi.|0|1
80|Mais le monde des transports a pour objectif premier de déplacer des personnes.|0|1
198|C’est une situation inédite dans l’histoire des villes car, peut-être pour la première fois, les mutations que nous vivons n’ont pas une résonance immédiate dans la façon de concevoir l’espace comme cela a été le cas pour la ville industrielle ou la ville moderne.|1|0
185|Il ne suffit plus de donner à savoir, il faut aussi donner à voir et cela à toutes les échelles d’un projet de territoire.|1|1
235|Insertion urbaine ou installation artistique?|1|1
112|Le temps de la valorisation conçu comme une démarche urbaine implique parfois des procédures de jachères ou d’occupation temporaire des sols en résistant à l’envie de finir la ville.|1|1
52|Cette démarche procède par effets de seuils et non seulement par effets d’échelles.|0|1
171|Autre enjeu: construire un SCOT « projet » et pas un SCOT règlement.|0|1
73|N’ayant ni compétence spécifique et moins encore une position dominante dans le processus, je me suis situé de façon empirique dans le statut du dessinateur public, utilisant avant tout le dessin sensible comme langage susceptible de compenser le caractère impératif et non négociable du dessin technique.|0|1
29|La question s’est aussi déplacée du domaine de l’architecture vers celui de l’urbanisme.|0|1
149|Soixante projets avaient été établis sur ce site depuis 1970, mais l’enjeu olympique et un climat d’extrême urgence ont levé les tabous liés à sa transformation.|1|1
121|Le projet du Centre des technologies de l’environnement d’Oberhausen, que nous avons eu à concevoir dans ce cadre, était l’une des façons de synthétiser ces objectifs : un programme innovant et volontariste, une prise en compte du patrimoine industriel et une demande de modernité affirmée mise au service d’une politique environnementale.|1|1
140|Les limites de compétence sont une sorte de barrière des espèces : elle ne peut être passée impunément, même si nombre de maires ont mis en place des structures et des méthodologies adaptées.|0|1
233|D’un côté, l’exploration des nouvelles formes de la modernité, de l’autre, une culture de l’espace qui fait le succès mondial de l’architecture suisse.|0|1
5|Une responsabilité sûrement usurpée, due aux hasards de la coopération technique, mais une expérience unique au contact d’un autre plan exemplaire conçu, celui là, par l’urbaniste Normand en 1949.|0|0
11|Force est de constater que j’ai échappé à l’ère des grands ensembles, que j’ai à peine effleuré celle des villes nouvelles et que, à défaut d’Amérique, c’est l’Afrique qui a été mon terrain d’expérience.|0|0
104|Faire de la démolition un acte de projet est le premier enjeu dans un cadre d’action construit comme un plan Marshall, et cette notion a un sens fort différent si on la place dans le cadre plus large d’une politique territoriale.|1|1
106|Il ne s’agit plus pour moi d’un grand ensemble isolé mais d’une pièce d’un puzzle urbain formant un ensemble cohérent même très contrasté.|0|1
120|Pour la première fois, les valeurs environnementales, mises au cœur du projet, étaient pensées comme un outil de développement et non comme un principe de précaution.|0|1
25|C’était un immense terrain d’expérimentation par la diversité des programmes abordés et la large gamme de solutions que l’on peut tirer d’une vision dialectique entre espace et fonction ou entre histoire et modernité.|0|1
116|La question territoriale peut aussi être abordée par le projet urbain localisé ou par l’architecture.|1|1
141|Nous avons vécu, depuis quelques décennies, dans une culture de la dotation qui était la marque de l’investissement public.|0|0
74|Le monde des transports étant peu préparé à la concertation, nous avons été amenés à jouer le rôle de médiateurs du projet.|0|1
135|Ce type de projet montre aussi l’évolution du rapport public /privé qui va fortement changer la façon de produire la ville.|1|1
