Unnamed: 0|sentence|dynamic|annotation
107|Cela rappelle, au-delà de la conjoncture économique qui donne plus ou moins de poids aux aménageurs dans la négociation avec les opérateurs, l’importance des équipes techniques qui portent au jour le jour ces prescriptions ouvertes.|0|1
381|Elle constitue l’opportunité d’une vision stratégique partagée de résilience et de durabilité.|1|1
762|En effet, les outils paramétriques ont permis de mener des optimisations de l’accès au soleil lumière et aux vues sur la mer.|0|1
330|En 2007, je participe, à l’initiative de Paul Koch, directeur de ING Real Estate Development France, avec Philippe Uzzan, à la création d’un think tank pour faire réfléchir les acteurs de la ville et de la construction à l’avenir de nos professions au regard des nouveaux enjeux du développement durable.|0|1
564|Le Maroc n’ayant à l’époque ni stratégie de développement durable ni référentiel environnemental, l’Auda, l’aménageur de l’opération, demande d’appliquer le référentiel hqe sur le territoire.|0|1
341|À la différence des architectes-urbanistes qui ont intégré progressivement ces enjeux émergents et rendu environnementale leur pratique de l’urbanisme, nous avons, nous, rendu urbaine et territoriale notre pratique de la conception et de l’ingénierie environnementale.|0|1
166|À l’échelle des îlots, l’étude de l’organisation des pleins et des vides, et notamment la très forte mitoyenneté entre bâtiments nous a intéressés, présentant une balance étonnante entre densité et confort de vie, le tout dans une ville qui a su garder une hauteur globale modérée.|1|1
467|Le Grenelle de l’environnement a commencé à faire bouger les lignes dans les institutions publiques, les collectivités sont en attente de traductions concrètes dans les territoires, tandis que les aménageurs héritent de la transcription tangible des enjeux identifiés dans les opérations d’aménagement.|1|1
227|Dans le cas d’un document réglementaire, il faut faire un minimum confiance aux acteurs privés et exiger d’eux en retour une intelligence dans leurs choix.|0|1
130|Ce qui vous demande de vous tenir à jour des innovations dans un champ professionnel qui évolue très vite. Comment restez-vous à la page de la recherche en tant qu’agence ayant les « mains dans le cambouis » ?|0|1
364|Réaliser des chartes de durabilité à Bordeaux et à Nantes a ouvert aux acteurs des territoires la perspective de nouvelles méthodes de co-construction et de transmission des objectifs développés à l’échelle urbaine.|0|1
270|Quelques personnalités rencontrées dans l’enceinte de l’école éveillent ma curiosité et mon inspiration : Antoine Picon analyse brillamment les difficiles rapports entre ingénieurs et architectes, révélant que les deux cultures complémentaires forment deux facettes d’une même réalité ; Christian Queffelec tente de distiller une culture architecturale aux élèves ingénieurs ; enfin, en deuxième année, j’ai la chance de pouvoir suivre le dernier cours dispensé à l’école par Paul Chemetov, avec Marc Mimram.|0|0
20|L’impensé des impacts des labels sur la qualité urbaine, qui n’est pas une mince question, est également une question en soi.|1|1
425|Cinq trajectoires se dégagent pour guider la transition écologique des territoires.|1|1
204|Parmi d’autres, les arcades, lieux d’usages privés et publics qui tempèrent la lumière et sont rafraîchissantes, en sont l’un des archétypes.|0|1
121|Nous n’avons bien entendu jamais le dernier mot sur une conception architecturale, mais l’agence est écoutée car nous n’agissons pas en censeur mais en partenaire.|1|0
445|L’empreinte carbone moyenne d’un habitant en France est de l’ordre de 10 tonnes de CO2/an, les scénarios du Giec visant la limitation du réchauffement climatique à +1,5°C d’ici 2050 conduisent à un budget carbone à 2 tonnes de CO2/an par habitant : une division par 5, c’est colossal !|0|0
726|Une méthodologie capable de guider les choix conceptuels sur l’ensemble des paramètres qui génèrent la performance de l’espace urbain : les morphologies, la matérialité et les usages.|0|1
68|Chaque projet appelle une conscience aiguë du fait que l’on succède à une pensée et à des actes multiples, et réciproquement que notre intervention aura nécessairement des conséquences sur le futur.|1|1
225|Les porteurs de projet sont tenus de respecter les minimas requis, mais peuvent prioriser un ou plusieurs aspects de cette surface végétalisée, en fonction de la spécificité de l’opération et de son positionnement urbain.|1|1
344|À propos de complexité et d’approche systémique, j’ai l’occasion en 2012, lors d’une intervention auprès des architectes du ministère de la Défense, de découvrir Le Macroscope, Vers une vision globale de Joël de Rosnay, père de la systémique en France, écrit en 1975, grâce à l’interpellation inattendue de Christophe Achte, du Centre d’expertises des techniques de l’infrastructure de la défense.|0|0
49|Au-delà d’une vision de territoire qui pose les bases du projet spatial, la charte est prescriptive, mais sans tomber dans un excès de dirigisme comme c’est trop souvent le cas dans les projets urbains où les mots d’ordre se superposent dans une métrique d’indicateurs pléthoriques, parfois antagonistes, et finalement inapplicables.|1|1
