Unnamed: 0|sentence|dynamic|annotation
1355|La plupart des industriels qui se déplacent et en particulier ceux qui s’installent dans des locaux neufs désirent — et ceci est particulièrement légitime et opportun — améliorer les conditions de travail et moderniser leurs installations ; ils souhaitent en général développer leurs surfaces de travail et de stockage sur un ou deux niveaux au maximum, ce qui a pour conséquence d’augmenter les surfaces nécessaires au sol.|1|1
1031|Pour la mise en place des grands noyaux urbains, principaux ou secondaires, des zones à urbaniser et des opérations importantes de rénovation, le financement unique par l’intermédiaire d’un organisme approprié est la condition d’une conduite saine et rapide des travaux ; c’est la voie dans laquelle on s’est engagé, mais d’une manière encore insuffisante.|1|1
668|Enfin, pour faire face aux besoins croissants du stationnement, les trottoirs des grandes voies ou avenues de PARIS, sont progressivement transformés en parkings, au détriment de la circulation des piétons.|1|1
1293|Les industries extractives sont moins importantes par le chiffre de la main-d’œuvre qu’elles emploient que par l’utilité et la qualité des matériaux de toute nature qu’elles représentent.|0|0
1016|De tels travaux apparaissaient de surcroît quelque peu inutiles à certains, eu égard à la faiblesse des sommes affectées à leur réalisation qui, dans la conjoncture des dernières années, interdisait toute action d’ensemble et aboutissait à une dilution des crédits en de multiples opérations.|0|0
460|Un effort correspondant d’aménagement et d’équipement de ces localités, un apport d’éléments indispensables à leur vie administrative, sociale, intellectuelle, sportive, une organisation des transports appropriés, un équipement en eau potable et un assainissement adaptés à l’importance des agglomérations sont d’autres éléments également indispensables.|1|1
531|(1) Le nombre de logements construits en maisons individuelles dans la Région Parisienne a été :|0|0
665|Aucune transformation importante, à l’exception de l’aménagement des Boulevards des Maréchaux, de quelques ouvrages souterrains, des voies sur berge et l’amorce d’un boulevard périphérique, n’a été apportée au réseau de circulation parisien depuis les grandes opérations de voirie réalisée par HAUSSMANN ou ses successeurs.|1|1
200|Par ailleurs, les quartiers historiques au milieu desquels la Seine développe son cours majestueux, ressortissent d’un urbanisme de protection et de mise en valeur, interdisant des expansions administratives inconsidérées qui en troubleraient le charme et la quiétude.|1|1
1077|Déjà, nos architectes et nos ingénieurs, nos ouvriers et nos techniciens ont conçu et réalisé le Centre National des Industries et des Techniques, le Palais de l’UNESCO, le Palais de l’OTAN, la Maison de la Radio.|1|1
1082|Coordonnées entre elles, — mais la complexité de tels problèmes est d’autant plus grande qu’ils interfèrent tous les uns avec les autres — elles veulent avant tout ne pas ignorer le réel, tenir compte du souhaitable et du possible.|0|0
808|Cet effluent est certes dilué mais est néanmoins très préjudiciable aux intérêts des riverains en aval de PARIS.|0|0
