Unnamed: 0|sentence|dynamic|annotation
43|Le concours remporté en 2010 pour la transformation de la place de la République à Paris a prolongé notre recherche initiée avec les territoires du Périphérique sur le potentiel de la notion d’infrastructure.|1|1
58|Un autre moment significatif de notre travail urbain et territorial s’est joué lors de notre participation au conseil scientifique de l’Atelier international du Grand Paris à partir de 2012.|1|1
1|Antoine, normand et alsacien, Viger et Kohler, enfant puis adolescent dans la ville nouvelle de Val-de-Reuil, étudiant à Paris, voulait faire de la musique, vrai cycliste et père de trois enfants.|1|1
84|Ce projet s’ancre dans les débats contemporains sur les questions terrestres et part d’un constat : les humains sont, plus que d’autres, des animaux fragiles qui ont besoin de transformer la matière terrestre pour la rendre habitable.|1|1
2|Chacun de nous a trois initiales, avec un prénom ou un nom double et, sans hasard ni stratégie, notre duo aussi en a trois.|0|0
75|Elle a été publiée sous la forme d’un guide à destination des maîtres d’ouvrage et des maîtres d’œuvre, structuré par des principes engageant la négociation entre les acteurs, les échelles, les temporalités contrariées, les usages humains et les milieux naturels qui fabriquent le projet d’espace public.|1|1
54|Il fallait impérativement réussir la mise à plat et la discrétion du sol urbain, dans une configuration chahutée, pour disposer de ce grand plateau, offrir une épure appropriable et évolutive qui forme aujourd’hui une scène favorisant tous les usages.|1|1
34|Le projet urbain devient une recherche d’appartenance territoriale, d’adhésion à la surface terrestre et de prolongement de ce qui existe par transformation et non par effacement.|1|1
62|On peut sans doute admettre qu’un concepteur ne peut plus raisonnablement penser prévoir ni déterminer le futur, même armé d’un excellent plan.|1|0
98|Cette vision étend le domaine de l’architecture et de l’urbanisme pour intégrer la question du sol, de l’étendue, du vivant ou de l’énergie.|0|1
108|Pour agir sur le monde, TVK cherche à prendre acte de la complexité du monde et à faire durer ce qui a déjà été transformé en le rendant plus terrestre.|1|1
6|Le Périphérique a marqué nos débuts d’architectes-urbanistes et ne nous a jamais quittés.|0|1
68|Le concours pour l’aménagement de la friche Saint-Sauveur à Lille puis le réaménagement de l’autoroute E40 à Bruxelles nous ont servi d’expérimentations pour élaborer cette méthodologie et en déployer les outils et les représentations.|1|1
20|Cette exploration s’est poursuivie dans le cadre d’une étude lancée en 2006 de concert par la Ville de Paris et la Région (une première).|0|0
103|Antoine, après avoir exercé pendant longtemps à l’École d’architecture de Normandie, est désormais professeur à l’École d’architecture de Paris-Val de Seine.|0|0
0|Pierre Alain, parisien et haut-alpin, autant citadin que montagnard, quelques origines italiennes mais Trévelo, un nom breton, voulait faire du cinéma, étudiant à Paris puis Harvard, vrai skieur et père de deux filles.|0|0
14|Cette expérience, qui nous a donné le goût du travail collectif et a été notre premier « terrain », comme disent les anthropologues, s’est avérée déterminante et fondatrice pour la suite de notre carrière.|0|0
70|Chaque « saison » du projet est une fin en soi, un moment de vie qui ouvre des possibles.|1|0
16|Le Périphérique nous a ainsi appris que nous héritions de situations urbaines à fort potentiel de projet pour peu qu’on prenne le temps de s’y intéresser dans toute leur complexité et de les arpenter.|0|1
72|Ici, l’énonciation de fondamentaux, que les scénaristes de séries appellent la « bible », a servi de support à un projet de développement du territoire dont l’événement olympique ne constitue qu’un moment particulier.|1|1
65|Elle part d’un constat : le rapport au temps est problématique en matière de projet urbain, marqué par une planification qui « part » toujours du point final, selon l’idée que le futur est nécessairement mieux que le présent et que les conditions de vie d’un moment ne comptent finalement pas par rapport à un futur idéal figé.|1|0
61|Et il a fallu s’attaquer à la déconstruction du grand récit prophétique de l’infrastructure métropolitaine construite autour « d’un grand dessin d’aménagement », incapable à nos yeux de prendre en compte l’imprévisibilité du monde.|1|1
37|Ce projet représente un laboratoire des différentes pratiques que nous avons cherché à développer par la suite autour de l’infrastructure, dont les leçons principales résident dans l’inachèvement de l’infrastructure, sa capacité à perdurer en se transformant.|1|1
101|Ce glissement inaugure bel et bien des temps nouveaux pour nos métiers.|0|1
81|En 2015, à l’invitation de la Cité de l’architecture à Paris, nous avons décidé de nous confronter à l’échelle de la Terre lors d’une première exposition que nous avons organisée, intitulée « La Terre est une architecture ».|0|0
39|Nos récents projets urbains prennent la forme de projets de sol qui construisent des continuités à partir de ce qui est là, installent des chaînes d’espaces publics étagés, et valorisent les sols construits tout en recherchant la pleine terre : à Val de Fontenay, de part et d’autre d’une énorme autoroute dont les deux sens enferment une station de RER, à Montpellier où se rencontrent la ville historique et le quartier Antigone, ou encore à La Défense où la dalle rejoint le sol naturel dans le quartier Michelet.|1|1
23|Nous y avons sélectionné des situations urbaines témoignant de relations variées, et à différentes échelles, avec l’infrastructure, comme autant de supports à projets prospectifs, mais qui toutes partagent plusieurs conditions essentielles : le Périphérique est l’armature d’un grand espace ouvert métropolitain, à l’instar de la Seine ; le territoire du Périphérique n’est pas périphérique mais central ; la notoriété de ses nœuds en fait de possibles lieux de réunion de deux rives aux destins urbains similaires.|0|1
55|Le contrôle absolu des pentes, des emmarchements ou des seuils rend à la place son unité, maximise les plantations et magnifie la composition paysagère du xixe siècle.|0|1
66|D’autant que l’obsession du point d’atterrissage est contre-productive : elle place les habitants en situation d’attente peu stimulante et peut conduire à une inertie, voire à des erreurs, face aux imprévus inhérents aux projets longs.|1|0
15|Nous vivons à la fin des années quatre-vingt-dix un changement d’époque : l’attention au contexte redevenait un point de départ pour le projet.|0|0
78|Ce sol partagé est dépositaire tant de l’histoire passée que des enjeux civilisationnels à venir.|0|0
7|Nous sommes nés en 1973, l’année de naissance du Périphérique.|1|0
100|Que ce soit pour abriter un individu ou nourrir une société, les projets de transformation de la Terre doivent prendre en compte les mouvements de la foule des vivants, comme ceux des matières terrestres, les craquements du sol, les écoulements des eaux et les remous du ciel, tout en ayant conscience de l’imprévisibilité du monde.|1|1
31|Il ouvre le champ à des espaces publics inédits à ses abords immédiats, voire juste en dessous.|0|1
25|Notre compréhension de ce paysage métropolitain guide aujourd’hui notre projet de transformation de la porte de Montreuil en vaste place-jardin étendue dans la ceinture verte.|1|1
56|La place a depuis vu se succéder les soubresauts de moments clés de l’histoire parisienne et française en alternance avec la poésie de la vie quotidienne, et a largement été médiatisée.|0|1
5|Amis depuis la fin de nos études d’architecture, entre les écoles de Paris-Belleville et de Paris-Tolbiac, nous fondons ensemble en 1998 l’association Tomato et réunissons un groupe de treize amis étudiants autour de l’idée de travailler sur le territoire du boulevard périphérique de Paris pour notre diplôme d’architecte.|1|1
71|À Dugny-La Courneuve et au Bourget, pour la réalisation du village des médias des Jeux olympiques de 2024, la scénarisation nous a permis d’envisager la question de l’héritage que représenteront les installations liées à un événement si éphémère.|1|1
17|Des exemples asiatiques ou américains illustraient déjà la possibilité d’y inventer des situations urbaines stimulantes et remplies d’usages.|1|0
