Unnamed: 0|sentence|dynamic|annotation
322|La décision d’installer à Masséna l’Université Paris VII renforcera cette logique.|1|1
317|Ici, la relecture de la rue est fondée sur l’idée d’accueillir des bâtiments autonomes, et de l’ouvrir sur l’intérieur des îlots.|1|1
380|Même si certains projets se déploient sur de plus grands territoires, le champs dans lequel je travaille est à l’échelle du quartier, de tout ce qui se tisse entre voiries, rues, routes, groupes de bâtiments et espaces publics.|1|1
20|Vers 1970, j’ai participé aux recherches du groupe de psychosociologie réuni par Jacqueline Palmade et Françoise Lugassy sur le vécu des habitants des quartiers nouveaux.|1|0
326|L’objectif de densité est élevé, afin que la SEMAPA puisse équilibrer son bilan.|0|0
94|Or, je ne voulais pas que ce retour du travail au cas par cas devienne une régression passéiste.|0|0
368|Quand les architectes ont eu à traiter deux angles et trois rues, sous la forme d’une combinaison de plusieurs bâtiments, ils avaient beaucoup de marge et, visiblement, cela les amusait, de donner forme à des logements qui ont des vues un peu dans tous les sens.|1|1
245|On ne peut plus dire : « Tous les chemins mènent à Rome ».|0|0
204|Et cela, précisément, aucun modèle historique ne nous aide à le regarder.|0|0
283|J’ai pris conscience de l’ampleur du phénomène en Chine fin 2003, à l’occasion d’un concours où nous sommes retenus pour un très grand quartier de Pékin.|0|0
335|Mais alors que, seule, la règle de l’îlot ouvert suffisait aux futurs architectes pour faire leur projet d’îlot entier, j’ai dû pré-organiser les îlots pour permettre à plusieurs opérations d’y entrer sans conflits.|1|1
224|Plus loin, nous sommes coordinateurs d’autres îles, divisées en plusieurs opérations privées.|1|1
241|Dans la logique nouvelle des grandes acquisitions foncières et la spécialisation fonctionnelle et commerciale de grands territoires privés, on assiste, dans beaucoup de pays, au phénomène d’une ville qui se construit par poches.|1|1
261|Je pars de la trame urbaine existante pour la continuer en essayant de trouver un moyen économique de créer des rues, tout en laissant une grande liberté d’occupation des îlots privés.|1|1
249|On parle beaucoup d’aménagements durables.|1|0
264|Le projet vise à créer un grand ensemble exemplaire, aux usages multiples, où espaces publics ou privés, ouverts ou fermés, cohabiteraient autour d’une esplanade publique dominant la rivière.|1|1
175|Je choisis de démolir une petite barre, de bâtir deux immeubles-villa qui rétablissent la lecture de l’alignement sur rue, de créer un nouveau cœur d’îlot privatisé, de redonner une dignité d’habitation aux barres en apportant des loggias et des halls d’entrée.|1|1
227|J’ai renoncé à construire ces îlots vu les délais que demandaient les promoteurs.|1|1
67|Mais je me méfiais par-dessus tout de faire un projet générique, de proposer la clé qui ouvre tout, le nouveau modèle, comme Le Corbusier l’avait fait.|1|1
265|Plutôt qu’un énorme projet fixé, je propose là un plan d’urbanisme vertical, dans une démarche semblable à celle des « parcellaires tridimensionnels » de Masséna, c’est-à-dire que je montre que différentes architectures verticales pourraient se construire là, en poursuivant la trame des îlots et des rues de Manhattan, mais en l’ouvrant de transparences.|1|1
104|Le principe est de ne pas prédéfinir les volumes et les implantations ou, du moins, de laisser une bonne marge d’interprétation à leur conception.|0|0
18|Mais j’étais sans cesse ému par l’espèce de force urbanistique de la ville.|0|0
231|Dans la ZAC de la Porte d’Asnières, je reprends le thème de l’espace central que j’avais mis en jeu à la Roquette et que l’on retrouve aussi dans un projet pour le secteur IV de Marne-la-Vallée (1989) : le vide central, qui peut être une nature pré-existante ou un jardin constitué, forme la base du plan stratégique suivant lequel va s’organiser l’architecture.|1|1
22|Il y avait une approche pluridisciplinaire avec des sociologues, des épistémologues, des psychanalystes, des économistes.|0|0
208|Et je crois à la vertu relative de l’expérimentation et de la pluralité.|0|0
50|Et comment elle peut transformer positivement cette ville.|1|1
72|Par exemple un concours pour un foyer de personnes âgées rue du Montparnasse (La Maison des Artistes, 1982), un autre rue Singer à Paris (1982), la ZAC Saussure (1983), toujours à Paris.|0|1
341|Pour les bureaux, la transparence centrale devient atrium ou hall traversant.|0|1
279|Pékin (Chine), Beijing logistic port Commande directe d’un groupe de promoteurs locaux pour 1 million de m2.|0|1
