Unnamed: 0|sentence|dynamic|annotation
42|L’évidente relation entre la spatialité intérieure et extérieure était prioritaire et n’a pas été entièrement considérée.|0|0
220|De la même façon, je trouve tout aussi systématique et stérile l’attitude quasi paranoïaque qui consiste à vouloir tout préserver.|1|0
58|À Macao, en revanche, la plus haute colline ne dépasse pas 200 mètres.|0|0
166|Ils se sont développés entre le désir de préserver l’identité particulière de Schilderswick, en tant que secteur fortement consolidé, et l’ouverture à une transformation irréversible, du fait de la modification de la population mais également des exigences « nouvelles » d’utilisation de l’espace et de confort ; la compréhension des conflits a été une source d’enrichissement pour le projet.|1|1
75|Le dessin des espaces publics et de l’architecture a été influencé par l’étude de la ville et des petites maisons chinoises à deux niveaux, avec leur composition parfaite malgré les juxtapositions occidentales (déco, moderniste…).|1|0
89|En cas de nouveau tremblement de terre, les occupants resteraient dans les cages tandis que les façades tomberaient sans abîmer les bâtiments opposés, la largeur de la rue étant calculée à cet effet.|1|1
119|L’architecte urbaniste Nuño Portas, secrétaire pour l’Habitat et l’Urbanisme du gouvernement provisoire, a décidé de suspendre la construction et a défini de nouveaux principes.|1|1
3|La plupart des éléments des projets que j’ai faits étaient présents dès la première esquisse.|0|0
110|Aujourd’hui n’importe quelle intervention, même petite et fragmentée, s’obstine à avoir une image finale: ainsi s’explique la difficulté d’interpénétration entre les différentes parties de la ville.|1|1
104|Je préfère la coexistence des piétons et des voitures, si vivante à Rome ou à Naples dans la multiplicité de dialogues et même de conflits qu’elle induit.|0|1
94|La grille du XVIIe siècle s’interrompt brutalement quand elle rencontre les collines du Bairro Alto et d’Alfama, laissant la relation avec la particularité du site non résolue.|0|0
31|Notre intérêt était le même : construire de la façon la plus pratique et la plus rationnelle – au Parthénon, à Chartres ou à la Casa Milà.|1|0
223|Il y a quelques œuvres récentes qui le démontent.|1|0
98|Dans un plan de la ville, avec les bâtiments en perspective, est représentée l’église de Carmo avec un escalier qui arrive au Chiado.|0|0
213|L’étude du caractère de Montreuil et sa restitution passent par un travail sur les proportions.|0|0
197|Ils fonctionnent un peu comme la trame espagnole ou philippine des villes d’Amérique du Sud.|0|0
51|Mais la principale préoccupation, pendant l’élaboration des études typologiques, consistait à éviter que la nouvelle extension entre en conflit avec le paysage et le profil de la ville.|1|1
238|Il arrive que l’on reproche cela aux architectes étrangers qui ont travaillé avec moi.|0|0
235|Naples, indescriptible, le bord de mer désert des dimanches matin, quand arrive le bateau en provenance de Palerme.|0|0
56|À Hong Kong, les gratte-ciel ont le relief comme fond et la monumentalité du paysage absorbe tout, domine et réunit, comme à Rio de Janeiro.|0|0
66|En Amérique du Sud, j’ai eu l’opportunité de vérifier sa remarquable flexibilité.|0|0
59|De toute manière, la relation avec le paysage n’était pas le seul problème à considérer, étant donné que Macao possède un centre historique très intéressant et unique en Extrême-Orient.|0|0
175|Une meilleure articulation et une plus grande complémentarité entre les activités de planification et de projet sont nécessaires, en supprimant les inconvénients d’une trop rigide et actuellement peu claire délimitation des territoires disciplinaires ; ce qui exige structures et méthodes de travail plus flexibles, devant modifier ainsi la formation des architectes et des planificateurs urbains.|0|1
112|Au cours de vingt années, le travail a pourtant failli s’interrompre brusquement, considéré sans structure et dispersif ; incapable donc d’offrir une urbanité.|0|1
136|Successivement, pour favoriser ces mouvements « invisibles » entre le terrain et la voie vers Lisbonne, j’ai décidé de tracer aussi l’axe nord-sud, qui se prolonge par un parcours piéton.|1|1
186|De cette façon-là, une partie très significative du centre-ville a été totalement bouleversée.|1|1
151|[…] Entre les îlots et l’aqueduc, j’ai laissé quelques espaces mesurés, ils seront occupés successivement par des activités commerciales.|1|1
209|À savoir, trouver le juste équilibre entre construit et espace libre, entre vides et pleins.|0|0
127|La présence du domaine de Malagueirinha est fondamentale, avec son orangeraie adjacente.|0|1
18|Je suis conservateur et traditionaliste – cela signifie que je vais à travers les conflits, les compromis, l’hybridation, la transformation.|0|0
161|Plus récemment, des propositions d’intervention nouvelles dans la ville sont apparues un peu partout en Europe, caractérisées principalement par : – la participation des habitants, exigée parfois sous la forme d’une sorte de lutte urbaine, face aux décisions qui touchent des secteurs de significative représentativité ; – la réflexion sur la transformation de la ville existante, plus que sur le processus de destruction-construction; réflexion qui procède d’une plus grande attention au contexte, à la structure de la ville historique et à son développement aux XVIIIe et XIXe siècles, à la relation typologique, à l’approfondissement des techniques et des bases théoriques de réhabilitation.|1|1
202|J’ai vu qu’il y avait des rues commerçantes proches de là qui fonctionnent encore bien, malgré tout.|0|0
32|J’ai toujours eu une difficulté à définir la frontière entre plan et projet.|0|0
230|S’il ignorait cela ou si sa méthode analytique sur le développement des villes, sur l’énergie qui les anime était défaillante, alors il participerait au désordre, au dérèglement des logiques, des transformations en cours ou des persistances.|1|1
190|Il s’agissait pour moi de faire le diagnostic de cette situation et de proposer des changements afin d’arrêter et d’inverser ce processus de dégradation et de perte de caractère du centre historique.|1|1
80|Le Chiado en fait partie et constitue une des limites de ce vaste dessin qui rencontre, dans les collines qui le délimitent, le noyau ancien, avec sa typique topographie accidentée.|0|1
55|L’ex-colonie anglaise a constitué un modèle de référence pour l’extension de la ville.|1|0
6|On dit de moi que je dessine dans les cafés, que je suis l’architecte des petites œuvres.|0|0
142|Les premiers problèmes par rapport au choix de la typologie se sont manifestés pendant la discussion avec les habitants et se sont transformés ensuite en une question politique.|0|0
99|Ces points difficiles du tracé ont été une extraordinaire stimulation pour le projet.|0|0
