Unnamed: 0|sentence|dynamic|annotation
158|Abordons maintenant un dernier domaine qui m’est cher : celui du projet territorial.|1|1
147|Dans un article paru dans la Süddeutsche Zeitung le 7 mai 2014, dédié aux évolutions de la rue à travers le XX e siècle, le journaliste Gerhard Matzig écrit que dans la période d’après-guerre, l’urbanisme a capitulé face aux planificateurs des infrastructures de transport.|1|1
18|L’influence de mes premiers maîtres a été d’autant plus forte que j’étais sur un terrain inconnu.|0|0
186|Donner de l’ampleur aux espaces de l’alternatif et augmenter leur confort, c’est aussi renverser des “traditions” : réaliser en enrobé des trottoirs piétons tandis que les vélos s’accommodent d’un pavage frôle le contresens mais résulte d’une écoute attentive des besoins de chaque mode de mobilité.|1|1
156|C’est un bouleversement énorme dans nos villes, mais cela ne doit pas se faire sur le mode de la revanche.|1|0
3|C’est, j’en suis convaincu, en passant par cette échelle, avec une approche nouvelle, que va se concrétiser la ville compacte et intense que toutes les agglomérations cherchent et souhaitent.|1|1
182|« On aura beau tenter d’affiner les dimensions, le marcheur ne sera au rendez-vous que si l’espace est suffisamment tentant.|0|0
6|Labourer, herser, semer, traiter, faucher, moissonner n’avaient aucun secret pour moi.|0|0
59|L’épisode du devenir de la tour Utrillo dans le quartier des Bosquets à Clichy-Montfermeil, promise à la démolition, m’a profondément marqué.|1|0
144|La progression impressionnante et constante du « vivre en ville » ne peut dans les deux décennies à venir qu’accentuer cet état de fait (New York + 17 %, Bombay + 25 %, Pékin + 40 %...).|0|1
13|Mais en repensant à cette période de mon enfance que j’ai toujours plus ou moins occultée, j’ai l’impression qu’elle fut peut-être plus déterminante que je ne pensais.|0|0
10|Luther, Bach, Albert Schweitzer furent les premiers contacts avec le monde de la pensée et des arts.|0|0
54|Le changement d’échelle avec les projets croisant mobilité et aménagement m’a amené naturellement à l’urbanisme.|1|0
27|Le littoral de Cagnes-sur-Mer, avant (à gauche) et après (à droite) réhabilitation du site.|1|1
113|En rendant visite récemment à mon fils Jean-Baptiste, jeune architecte, installé à Hyderabad, j’ai pu observer comment travaillent les architectes et urbanistes indiens.|0|0
123|et ce lieu non aménagé prend des airs de Cité idéale.|1|1
146|La réponse classique « plus de mobilité = plus d’infrastructures » est une fuite en avant de plus en plus coûteuse et engendre des dégâts parfois irréversibles sur les tissus urbains et la qualité de la vie.|1|1
122|Tempelhof est devenu un espace de liberté où tous les âges et toutes les catégories sociales cohabitent...|1|0
83|De grands projets, soit de restructuration, soit de développement urbain, sont totalement imbriqués avec les extensions du réseau.|1|1
68|Le philosophe Jean-Luc Nancy, avec qui j’ai eu le privilège de dialoguer en voisin, me donne des clés de compréhension du monde.|0|0
165|Ne pourrait-on pas, avant une réforme d’envergure comme celle qui se prépare avec la fusion de régions, la création de métropoles et la disparition des départements, prendre du temps pour faire de vrais projets de territoires ?|1|1
24|Michel Rocard avait déjà rejoint le parti socialiste en laissant ce petit parti sans héritier, mais je me souviens des conférences brillantes d’intellectuels, particulièrement Henri Lefebvre (Le Droit à la ville, 1968...).|0|0
108|Pour Johanna Rolland à Nantes, la Loire est au cœur du projet urbain de l’agglomération, avec en particulier la création de logements flottants.|1|1
21|J’étais fasciné par sa générosité et je garde précieusement dans ma bibliothèque le volume de La Pléiade des œuvres complètes d’Arthur Rimbaud qu’il m’a offert quand je suis parti au service militaire à Charleville-Mézières.|0|0
44|Il faut que je rende hommage aux organismes publics, comme certains CAUE, ou services de la DDE, qui m’ont soutenu dans ces années difficiles.|0|0
35|Ce projet représente parfaitement le style de l’atelier qu’on peut résumer en trois mots : simplicité, authenticité, sobriété.|0|0
140|Dans un monde qui bouge, être assigné à résidence est la pire des frustrations.|0|0
107|Anne Hidalgo, maire de Paris, s’est engagée à végétaliser 100 ha de toiture et à planter 20 000 arbres.|1|1
78|Ce travail dans la durée a profondément transformé la ville et son agglomération. On peut avec cette expérience discerner trois phrases dans l’évolution de la pensée urbanistique autour de l’infrastructure :|1|1
105|Un grand nombre de projets structurant est abandonné (le retraitement de l’autoroute A4 à Reims, le projet Oz à Montpellier).|1|0
34|Avec le bureau d’études Ingerop et grâce à la ténacité du maire de Cagnes-sur-Mer, Louis Nègre, s’est réalisé un miracle sur la Côte d’Azur.|0|0
46|Cette proximité rassurante et la collaboration épisodique avec certains professeurs, comme Diwi Dreysse, René Tabouret, Diego Peverelli, m’ont permis de faire mes premières incursions dans le monde de l’urbanisme à la grande époque de la composition urbaine.|0|1
85|D’un projet de mobilités en ville, le projet a glissé progressivement vers la ville des mobilités.|0|1
41|Cette association de l’image de la profession au monde des parcs et jardins m’agaçait : trop restrictive, trop mondaine, pas assez sociétale.|0|0
98|Le développement durable se pose comme un contre courant à cette course dans le néant, mais peut-il devenir un référentiel offert à l’humanité entière comme le furent l’universalisme des Lumières puis le capitalisme triomphant ?|0|0
183|Ce n’est pas le 1,50 m réglementaire de largeur de trottoir qui va rendre désirable un trajet, mais une terrasse accueillante, un bel arbre, une exception architecturale mise en valeur ; tout ce qui fait la richesse et la beauté de nos environnements urbains.|0|1
64|J’ai été très surpris récemment de constater que trois de mes projets illustraient un livre de géographie de Première : la remise en eau de la baie du mont Saint-Michel, le tramway de Strasbourg et le Lido de Sète.|1|1
80|Le commencement a davantage porté sur la légitimité du projet que sur la manière de le construire ; ce qui nous a laissé une grande liberté.|1|0
121|Un lieu ouvert en 2010 et après de longues discussions (planification horizontale), la ville a décidé de mettre cet espace à disposition des habitants.|1|1
32|L’espace gagné sur la voirie a été redonné aux commerces et établissements de restauration, côté ville, et pour une promenade cyclable, côté mer.|1|1
104|L’analyse des programmes électoraux des scrutins municipaux du 23 et 30 mars 2014 montre que la tendance générale est de réduire la voilure de l’investissement.|0|0
63|D’autres champs disciplinaires se sont glissés dans mon travail ; en particulier, la géographie pour affiner les projets traitant de questions liées aux territoires.|1|0
169|Cette réalité nous oblige, nous urbanistes, à penser territoire, rechercher la bonne échelle.|0|1
141|Vu sous l’angle social, pouvoir se déplacer facilement est une opportunité pour trouver du travail, se cultiver, agrandir son réseau social.|0|0
0|Trois paysagistes ont reçu le Grand Prix d’urbanisme : Michel Corajoud (mon maître), Alexandre Chemetoff (mon premier patron) et Michel Desvigne (un ami de promotion de l’École nationale supérieure du paysage de Versailles).|0|0
138|Devenir un « dessinateur public » prêtant sa main à cette énergie me tente.|0|0
152|Les villes agréables à vivre sont souvent celles dans lesquelles on a envie de marcher à pied.|0|0
42|Je n’ai d’ailleurs pas réalisé un seul parc ou jardin en trente ans, à part le mien le dimanche.|1|0
163|Malgré la crise, les projets similaires et concurrents se construisent sans aucune concertation.|1|1
7|J’ai un souvenir mitigé de cette première étape de ma vie, celle où trois générations vivaient et travaillaient sous le même toit pour le même but.|0|0
60|Viscéralement opposé aux démolitions, il s’était mis en tête d’en faire un symbole en la transformant en antenne de la Villa Médicis.|1|1
103|Les Agendas 21 donnent davantage des objectifs à atteindre que des méthodes pour y parvenir.|0|0
88|Il est partie prenante du projet ÉcoCité de l’agglomération montpelliéraine, basé sur la déconstruction / reconstruction d’une zone commerciale constituée d’une des plus grandes collections de « boîtes à chaussures » alignées le long d’une route à quatre voies ponctuée de plantureux ronds-points.|1|1
33|Renouvellement des établissements de restauration sur la plage, traitement séquencé, plantations généreuses ont redonné à ce site merveilleux son charme et entraîné une réhabilitation architecturale de nombreux bâtiments sur le front de mer.|1|1
135|Cette manière de concevoir la ville durable signifie que considérer celle-ci comme cadre spatial bien structuré et stable est une vue de l’esprit...|1|0
126|Cela veut dire que la ville se fera désormais avec des coûts de transaction sociale élevée.|1|0
94|Ces nouvelles formes urbaines d’une ville éclatée en de multiples polarités denses et différenciées permettent une autre manière de vivre avec les avantages de la ville (proximité des services et des commerces) et de la campagne (pratique des loisirs, se sentir en vacances chez soi...).|1|1
111|À Lyon, Gérard Collomb va mettre l’accent sur la qualité de vie en réalisant la « ville jardinée » pensée par Michel Desvigne...|1|1
37|Bien entendu, le seul endroit au monde pour ouvrir mon atelier était l’Alsace, terre de mes racines.|0|0
155|L’hégémonie de celle-ci a déjà été sérieusement écornée par le come-back des tramways ; une seconde salve est en préparation avec les moyens moins lourds pour rétablir un équilibre des usages des voies.|1|1
124|Ce lieu démontre de manière festive que la ville durable ne se fera pas contre les habitants, ne leur sera pas imposée, mais se fera avec eux.|1|1
40|Les premières années n’ont pas été faciles, car à cette époque, à part pour quelques architectes éclairés comme Guy Clapot ou Christian Plisson qui me faisaient travailler, le paysagiste restait le spécialiste des jardins.|0|0
20|Il m’a appris à travailler dans ce métier en m’obligeant à être rigoureux, précis et à aller droit à l’essentiel.|0|0
69|Il y a cinq ans, j’ai ouvert un deuxième atelier à Lyon ; j’ai donc maintenant un pied dans le Rhin et l’autre dans le Rhône.|0|1
133|Cela nourrit, comme le dit Marie-Christine Jaillet, chercheuse au CNRS, une très forte demande de réassurance.|0|0
71|Elle m’apporte une nouvelle fraîcheur, une dose d’insouciance et me prouve chaque jour qu’on peut avoir de fortes responsabilités sans être rongé par les ambitions.|0|0
52|Philippe Gasser, avec qui je rédige actuellement un livre sur les gares, et Samuel Maillot, ingénieur transport et mobilité urbaine, furent mes premiers grands partenaires « transversaux ».|0|0
157|Toute action pour moi doit être guidée par le principe du plaisir et du bon sens.|0|0
29|Le tronçon de Cagnes-sur-Mer d’une longueur de 3 km concentrait tous les ingrédients de la disqualification : architecture médiocre, voie rapide créant une forte coupure entre ville et mer, promenade inconfortable, plantations sporadiques...|0|0
177|Le slogan de l’équipe Descartes dans le Grand Paris a été : « Ce qui serait extraordinaire serait d’améliorer l’ordinaire ».|0|0
61|J’ai vécu un moment exceptionnel pendant la consultation sur le Grand Paris avec lui.|1|0
180|Avec la nomination au Grand Prix de l’urbanisme, je sens que la grande famille des urbanistes m’accepte en son sein.|0|0
73|Grâce à cela, à 57 ans, j’ai l’impression que tout devient possible et cela me met en joie.|0|0
139|Il va falloir trouver de nouveaux cadres pour rendre cela possible...|0|1
116|Voici comment je ressens le contexte actuel : nous sommes dans un début de cycle extrêmement stimulant.|0|0
48|En 1990, j’ai embauché ma première salariée Sylvie Debœuf (qui est toujours à l’atelier), car les projets commençaient à changer d’échelle avec l’incursion de mon travail dans les projets d’infrastructures de transport.|1|1
31|La contribution de l’ingénieur suisse de la mobilité, Philippe Gasser, a été déterminante pour régler un système circulatoire complexe dans un espace limité.|0|0
134|Je souscris à son affirmation que la ville de demain, c’est la capacité de répondre à deux aspirations contradictoires : besoin d’individuation et organisation d’un cadre permettant de réassurer l’individu.|1|1
67|Florence, ma fille philosophe, m’a ouvert cet univers à travers des échanges passionnants (deviens qui tu es...|0|0
17|L’école, alors dirigée par Roger Bellec, un personnage ressemblant physiquement à Karl Marx et intellectuellement à Daniel Cohn-Bendit fut le cadre de quatre années charnières qui m’ont profondément marqué, moi et toute une génération de futurs paysagistes qui n’ont pas trop mal réussi.|0|0
