Unnamed: 0|sentence|dynamic|annotation
99|Pour pouvoir utiliser le mobiliser, il faut donc des « traducteurs » et des « médiateurs » avec les « mondes de l’action ».|0|1
205|Pour ma part, entre recherche et médiation, je me considère comme un métis.|0|1
513|Certes les équipes qui ont répondu à la consultation étaient des équipes pluridisciplinaires, mais en réalité, le travail des chercheurs n’a pas été très développé.|0|1
187|C’est rendre service au capitalisme lui-même que de développer ces régulations pour lui éviter des crises permanentes.|0|0
277|C’est que j’ai le goût de la provocation et un petit narcissisme.|0|0
517|Tel est l’intérêt de la démarche de Nicolas Sarkozy qui a donné un coup de pouce sérieux à la question.|0|1
132|À l’Institut pour la ville en mouvement, je lance une commission d’audition qui interrogera les praticiens sur les cleantechs (clean technologies) aux États-Unis, l’importance qu’elles prennent et leur impact sur la ville.|0|1
242|Or, il y a un besoin de développer des actions qui engendrent des interventions à une échelle vaste.|1|1
283|Le maire m’a montré le terrain pour imaginer les futures activités qui pourraient y prendre place avant de lancer le projet dont le responsable était son neveu.|1|1
451|Les transports sont un des outils de l’urbanisme, pas une finalité en soi et doivent être faits en fonction de l’organisation de la région.|0|1
483|Mais j’attire l’attention sur la nécessité de penser ces développements, y compris en première couronne, en liaison avec la deuxième couronne.|1|1
110|Un deuxième type de dispositif devrait permettre de structurer la recherche sur les villes, sur l’urbanisme et pour l’urbanisme.|0|1
25|Aujourd’hui, l’urbanisme est fait de multiples itérations qui bouleversent partiellement certains découpages professionnels.|0|1
487|L’attractivité d’un territoire, c’est aussi sa lisibilité, l’image que l’on s’en fait.|0|1
382|Je crains donc qu’il soit malaisé de compter sur le fait qu’on arrivera à convaincre le plus grand nombre d’abandonner sa voiture pour les trajets courts — pour acheter son pain, par exemple — , sauf à réglementer drastiquement l’usage de la voiture.|0|1
347|Construire des scénarios de projet urbain pour la ville peu dense|1|1
219|Ce qui a donné naissance au Puca (Plan urbanisme construction architecture).|0|1
304|L’Assemblée nationale et le Sénat n’engageront sans doute pas une telle révolution.|0|0
485|Que s’y passera-t-il si l’on concentre le développement sur la partie la plus proche de Paris ?|1|1
367|Il faut inventer autre chose : développer des transports de qualité à la demande, des navettes confortables.|0|1
515|Il faut avoir une vision de l’avenir — une vision qui ne soit pas strictement formelle.|1|1
276|L’article était un rien provocateur — ce qui n’est pas coutumier dans le monde de la recherche.|0|1
216|Et avec Georges Mercadal, qui a présidé le Plan construction et architecture, nous avons inventé Eurorex pour réaliser des expériences innovantes à l’échelle européenne.|1|1
148|Le plus difficile avec la paralysie, c’est qu’on ne maîtrise pas grand-chose.|0|1
39|La maîtrise du développement urbain, l’urbanisme à grande échelle, mais également les choix urbains de proximité nécessitent donc la prise en compte du fonctionnement des villes à cette nouvelle échelle métropolitaine élargie.|1|1
98|Mais le monde de la recherche est un « monde » avec ses paradigmes, ses temporalités, son vocabulaire, ses règles.|0|1
62|Le développement d’une ville dépend pour une bonne part du dynamisme des acteurs.|1|1
419|En effet, l’avenir de la partie centrale de Paris est indissociable de l’avenir de la région tout entière.|1|1
181|La vie des appareils politiques est très pesante et peu compatible avec les intérêts des intellectuels.|0|0
49|Les arbitrages qu’ils font entre espace appropriable et intensité urbaine, entre vitesse et densité, entre intimité et urbanité, dépendent donc de la diversité de leurs activités, de leurs aspirations et de leurs imaginaires.|0|1
351|Si, aujourd’hui, une bonne part se fait de manière erratique, demain, le lotissement écologique va « prendre » et sera une règle de l’urbanisme pavillonnaire.|1|1
188|(Les hommes politiques m’appellent « Monsieur le professeur ».) Un professeur d’université est forcément un chercheur.|0|0
94|Il faut donc les ramener sur le terrain de l’urbanisme, en les valorisant.|0|1
321|Un plan stratégique doit donc intégrer d’autres données que le dessin de la ville.|0|1
106|Pour cela, il faudrait créer des organismes comme le Plan construction et architecture ancienne manière, avec les ministères, les collectivités locales (une coopérative des communautés urbaines par exemple, un style de DIFU allemand [Deutsches Institut für Urbanistik]), des acteurs professionnels innovants, voire des organisations professionnelles, des universitaires et des chercheurs.|0|1
46|L’urbanisme métapolitain est donc nécessairement varié et non doctrinal, car il doit faire la ville dans des contextes diversifiés, utiliser un vocabulaire riche et répondre à des demandes sociales disparates.|1|1
284|J’ai proposé d’être très précautionneux, de bien préparer la consultation, de mener des démarches en amont, de verrouiller le foncier, de planifier de manière spatiale et stratégique, de prévoir la temporalité.|1|1
301|Tant qu’il n’y aura pas d’élus au suffrage universel, à la bonne échelle territoriale, l’aménagement stratégique sera en panne.|1|1
526|Celui de la région parisienne ne prend pas en compte les grands enjeux métropolitains.|0|1
111|Il faut faire face en effet à une double exigence : l’ancrage disciplinaire des équipes (leur excellence et leur reconnaissance dans leur propre discipline) et la pluridisciplinarité (qui s’organise sur des thèmes : logement, transport, etc.).|0|1
191|Les étudiants ne s’ennuyaient pas, mais mes cours n’étaient pas suffisamment structurés.|0|0
161|Et puis, j’ai dû faire de la prospective pour diriger stratégiquement l’Institut français d’urbanisme.|0|1
222|Le club a malgré tout fonctionné même si peu de chercheurs ont été mobilisés, car son président, Jean-Paul Baïetto, n’aimait pas beaucoup le monde de la recherche.|0|1
175|Patrick Braouezec devrait mettre en valeur la nouvelle image de Saint-Denis et cesser de jouer du patriotisme local et protéger l’image ouvrière du territoire.|0|1
471|Cette catégorie de la population est primordiale pour le développement économique régional.|0|0
337|Il n’est pas encore plein, ni tout à fait habité ni tout à fait occupé, mais, déjà, il fonctionne.|0|1
480|En moyenne, 10 % de gens relèvent vraiment de la ruralité, 40 % habitent dans les parties denses ou aimeraient y habiter, 40 % de gens s’accommodent du compromis pavillonnaire et 10 % vivent dans les grands ensembles et aimeraient en sortir autant que possible.|0|1
296|Il est donc indispensable d’offrir des conditions de réalisations de logements de qualité car connectés aux transports en commun, en profitant de la desserte des zones d’emplois qu’il faut regrouper et non disséminer.|1|1
89|Mais les expérimentations sont souvent assez difficiles dans le domaine de l’urbanisme, vu l’ampleur des opérations, leur complexité et leur durée. Il est en partie possible de pallier cette difficulté en associant des chercheurs au suivi d’opérations innovantes et en développant des évaluations concomitantes et a posteriori […]|1|1
449|Faut-il faire un métro ou un tramway périphérique ?|1|1
146|Je n’ai pas eu de chance et j’essaie de m’en tirer avec une galipette et un peu d’esbroufe.|0|1
137|Ma mère m’a toujours dit que j’étais le plus intelligent et le plus paresseux de ses enfants.|0|0
18|Le second est de parvenir à faire travailler les divers spécialistes ensemble dans une dynamique commune.|0|1
44|Les métropoles se développent par croissance interne, en se densifiant, en s’étendant à leur immédiate périphérie et en se recomposant, et par croissance externe, en absorbant dans leur aire de fonctionnement des villes et des bourgs, des villages et des zones rurales.|1|1
