Unnamed: 0|sentence|dynamic|annotation
468|L’espace public et le paysage s’y rencontrent et agissent, l’un et l’autre, comme de véritables infrastructures sociales.|0|1
255|Les technologies elles-mêmes posent un problème : en raison de l’échelle à laquelle elles doivent être appliquées, de leurs coûts, évolutions et besoins d’innovation.|0|1
587|Mais un grand espace public, même s’il est disproportionné, ne doit pas être nécessairement rempli et bâti; il doit être correctement interprété, dans ses mesures visibles et invisibles, qui sont habituellement le produit de la dimension temporelle et des différents choix.|1|1
669|Cela ne considère pas seulement la partie matérielle de la ville, mais également les dimensions sociales et politiques.|0|1
396|Coupe conceptuelle : rendre à la mer les terrains assainis; reforestation dans la zone des résurgences, stockage d’eau dans les anciennes gravières.|1|1
557|Ce scénario reprend une longue histoire territoriale, précédant les travaux d’aménagement de la Durance et la construction du bassin de Serre-Ponçon, lorsque la plaine n’était arpentée que de manière limitée et que les parcours en altitude, de crête, transversaux et le long des vallées secondaires structuraient, quant à eux, les relations au sein du territoire.|1|1
273|C’est là le sens de l’« hypothèse de la coupe territoriale » élaborée pour la région métropolitaine de Venise.|0|1
333|Mostafavi ed., Ecological Urbanism, Harvard School of Design, GSD, Lars Müller Publishers, 2010.|0|1
165|Dans les parties les plus pauvres de la région de Bruxelles, dans le bassin minier où les populations immigrées, attirées autrefois par la forte demande de main-d’œuvre, survivent désormais depuis des décennies à la conclusion d’un cycle économique et d’exploitation des ressources.|0|1
264|Comprendre l’histoire environnementale d’un lieu implique de récolter et de représenter des informations portant sur de longs processus de transformation, de les relier à la construction urbaine et des infrastructures, d’associer différentes logiques et leurs conséquences sur l’environnement, l’économie et la société.|1|1
20|Nous avions fondé Studio en 1990, la période d’élaboration des plans régulateurs en Italie.|0|1
670|Cartographier la justice environnementale et spatiale (les risques environnementaux et la distribution du bien-être social, depuis l’école jusqu’à la répartition territoriale des soins de santé et de nourriture saine, puis à l’accessibilité et aux connexions avec le transport public) fournit des représentations très utiles à intégrer à l’évaluation de l’énergie grise et des cycles de vie.|0|1
105|Parmi eux, Bernardo Secchi qui m’a beaucoup appris et qui, avec sa générosité, révèle le meilleur de chacun.|0|1
294|Il ne faut pas non plus oublier ceux, de plus en plus nombreux, qui font l’hypothèse que les stratégies d’atténuation ne suffiront pas à garantir la sécurité des habitats et leur support infrastructurel.|0|1
513|Ensemble, ces fragments peuvent constituer le point de départ d’une investigation plus complète des territoires longeant l’Escaut au sein d’une nouvelle forme de mégalopole dispersée.|0|1
204|Les grandes transformations en cours, les nouveaux cycles de vie qui s’ouvrent et qui se forment dans la métropole, sont l’occasion de redéfinir l’«habitabilité» du Grand Paris : reconstruire des continuités, renforcer les relations horizontales dans toute la métropole, conformer les lieux en espaces de vie, stables comme temporaires, réduire les risques actuels, redécouvrir la forme du territoire.|1|1
399|Requalification du quartier des Ardoines : un parc paysager à proximité du barrage et aménagement du passe à poisson.|1|1
230|Extrait de l’intervention de Paola Viganò à l’occasion de la conférence internationale Med Net.|0|1
224|Le parc s’inscrit en continuité avec l’un des «doigts» verts du plan de 1935, c’est un élément symbolique important qui établit une nouvelle relation entre espaces ouverts et espaces construits; — une stratégie de centralité continue connectera le «square» au centre existant de Moscou.|1|1
63|J’ai longuement réfléchi sur ce territoire, élaborant le plan territorial de la région du Salento et de la province de Lecce au sud de Bari.|1|0
167|L’horizontalité se réfère à une région métropolitaine non dominée par la présence d’un seul centre et non plus à la ville des institutions européennes.|0|1
23|Au cours de ces expériences, j’ai pu comprendre la construction du projet comme élaboration de procédures et non seulement comme composition d’éléments suivant des grammaires et des syntaxes.|0|1
499|Au cœur de ce vaste sujet, nous avons défini quelques questions plus précises.|0|1
193|La vision que nous proposons alors est celle de la «Métropole Horizontale», une métropole aux limites vagues et incertaines, un territoire à l’habitabilité élargie, qui dans cette étude, concerne les trois vallées de la Dendre, de la Senne et de la Dyle.|0|1
606|Les quais de l’Escaut, Anvers : réduire l’incertitude [projet sélectionné pour la deuxième phase du concours]|0|1
385|Chaque rationalisation a produit son propre paysage, mais aujourd’hui, le réseau de l’eau et le réseau viaire, ne sont plus considérés adéquats à l’image et aux besoins contemporains.|1|1
121|Penser l’avenir mobilise le passé profond, l’histoire environnementale des lieux, les mouvements lents et les grands bouleversements qui, dans le temps, ont modifié le fonctionnement écologique du territoire.|1|1
6|Pendant les trois ans au cours desquels je l’ai suivi, j’ai eu le temps d’élaborer une position critique envers ses théories, mais aussi d’en apprécier la rigueur et j’ai compris que l’élaboration de théories faisait partie du métier de l’architecte.|0|1
291|Il ne faut pas oublier la profonde incertitude et variabilité des prévisions scientifiques relatives au changement climatique dans les différentes régions du globe.|0|1
252|Pourtant, le long terme est l’horizon du projet et guide toute intervention présente, même limitée.|0|1
417|La seconde hypothèse, «les raisons de la ville» va investiguer deux scénarios volontairement opposés.|0|1
70|[9] Paola Viganò, ed., Territori di una nuova Modernità/Territories of a new Modernity, Naples, Electa, 2001; Bernardo Secchi, Paola Viganò, Antwerp – Territory of a New Modernity, Amsterdam, SUN, 2009; Bernardo Secchi, Paola Viganò, La Ville poreuse – Un projet pour le Grand Paris et la métropole de l’après-Kyoto, Genève, MetisPresses, 2011.|0|1
