Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	Type
2005-Siza_CE_Oct23.xml	65	opérations de restructuration de logements sociaux	habitants	pers_coll
2005-Siza_CE_Oct23.xml	65	opérations de restructuration de logements sociaux	architectes urbanistes	pers_coll
2005-Siza_CE_Oct23.xml	100	villes fondées	les Espagnols	pers_coll
2005-Siza_CE_Oct23.xml	151	construire sa propre maison	cette population organisée, composée de cent familles	pers_coll
2005-Siza_CE_Oct23.xml	153	suspendre la construction	L’architecte urbaniste Nuño Portas, secrétaire pour l’Habitat et l’Urbanisme du gouvernement provisoire	pers_ind
2005-Siza_CE_Oct23.xml	172	ai décidé de tracer aussi l’axe nord-sud	j	pers_ind
2005-Siza_CE_Oct23.xml	187	ai laissé quelques espaces mesurés	j	pers_ind
2003-Corajoud_CE_Oct23.xml	9	transformait des appartements	il	pers_ind
2003-Corajoud_CE_Oct23.xml	9	en ne gardant que l’enveloppe des murs et les structures porteuses	il	pers_ind
2003-Corajoud_CE_Oct23.xml	34	les projets d’aménagement de nombreux espaces extérieurs	j	pers_ind
2003-Corajoud_CE_Oct23.xml	48	cette opération	Georges Loiseau et Jean Tribel, architectes à l’AUA	pers_coll
2003-Corajoud_CE_Oct23.xml	49	devions en étudier la « rue » et le parc au centre du quartier	Nous	pers_coll
2003-Corajoud_CE_Oct23.xml	139	voulions, en effet, réintroduire ce grand axe	Nous	pers_coll
2003-Corajoud_CE_Oct23.xml	150	pourrait, à nouveau, transposer et singulariser sa forme urbaine	la ville de Montreuil	pers_coll
2003-Corajoud_CE_Oct23.xml	156	protection pour la meilleure partie des murs	la Ministre de l’Environnement	pers_ind
2003-Corajoud_CE_Oct23.xml	159	l’aménagement de la Cité internationale	Renzo Piano	pers_ind
2003-Corajoud_CE_Oct23.xml	161	dessiner, avec lui, les espaces publics	notre équipe	pers_coll
2003-Corajoud_CE_Oct23.xml	161	dessiner, avec lui, les espaces publics	avec lui	pers_ind
2003-Corajoud_CE_Oct23.xml	164	devait, à son tour, restaurer et gérer un maillage d’« allées-jardins »	la collectivité publique	pers_coll
2003-Corajoud_CE_Oct23.xml	174	fut dessiné	les frères Bühler	pers_coll
2003-Corajoud_CE_Oct23.xml	180	avons ajouté, sur notre propre emprise, un nouveau parc	nous	pers_coll
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	le GIE « Hippodamos 93 »	pers_coll
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	Yves Lion	pers_ind
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	Pierre Riboulet	pers_ind
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	Philippe Robert	pers_ind
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	moi-même	pers_ind
2003-Corajoud_CE_Oct23.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes	certains constructeurs	pers_coll
2003-Corajoud_CE_Oct23.xml	225	aménageaient	ils	pers_coll
2003-Corajoud_CE_Oct23.xml	228	l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé	un collectif d’architectes	pers_ind
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	l’État	pers_coll
2003-Corajoud_CE_Oct23.xml	246	avaient plaqué des plans masse absurdes	certains constructeurs	pers_coll
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	Nous	pers_coll
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	Claire Corajoud	pers_ind
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	Gabriel Chauvel	pers_ind
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin	Nous	pers_coll
2003-Corajoud_CE_Oct23.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	Nous	pers_coll
2003-Corajoud_CE_Oct23.xml	274	apportons les ombres et les lumières d’un espace « jardiné »	nous	pers_coll
2022-Boutté_CE_Oct23.xml	43	la transition des territoires	les promoteurs	pers_coll
2022-Boutté_CE_Oct23.xml	45	avons fait émerger le premier projet en structure bois	nous	pers_coll
2022-Boutté_CE_Oct23.xml	45	avons fait émerger le premier projet en structure bois	le promoteur Pichet	pers_coll
2022-Boutté_CE_Oct23.xml	57	leur projet	les opérateurs	pers_coll
2022-Boutté_CE_Oct23.xml	131	pouvaient largement intervenir dans la qualité spatiale de leurs projets	les ingénieurs structure	pers_coll
2022-Boutté_CE_Oct23.xml	234	augmenter la compacité des bâtiments	Les opérateurs	pers_coll
2022-Boutté_CE_Oct23.xml	238	avons isolé les bâtiments	nous	pers_coll
2022-Boutté_CE_Oct23.xml	267	leurs travaux de réhabilitation	les habitants	pers_coll
2022-Boutté_CE_Oct23.xml	374	façonner	L’agence	pers_coll
2022-Boutté_CE_Oct23.xml	386	tentons de mettre en œuvre des stratégies territoriales	nous	pers_coll
2022-Boutté_CE_Oct23.xml	407	s’adapter à leur milieu	des anciens	pers_coll
2022-Boutté_CE_Oct23.xml	428	mettre en œuvre les dynamiques territoriales	collectivités	pers_coll
2022-Boutté_CE_Oct23.xml	437	un projet collectif et responsable de construction d’un territoire	l’ensemble des acteurs	pers_coll
2022-Boutté_CE_Oct23.xml	445	L’exercice mené sur la « rue commune »	l’Ademe	pers_coll
2022-Boutté_CE_Oct23.xml	467	doivent devenir prospectivistes, anticiper et construire des scénarios sur le futur	les acteurs de la ville	pers_coll
2022-Boutté_CE_Oct23.xml	514	intervenant sur les propriétés physiques des tissus urbains	acteurs de la ville	pers_coll
2022-Boutté_CE_Oct23.xml	526	les opérations	Les aménageurs	pers_coll
2022-Boutté_CE_Oct23.xml	528	le projet Avenir Gambetta	Franck Boutté Consultants	pers_coll
2022-Boutté_CE_Oct23.xml	558	une vision stratégique pour l’ensemble du site	La Ville	pers_coll
2022-Boutté_CE_Oct23.xml	574	la transformation du quartier	les acteurs publics et privés	pers_coll
2022-Boutté_CE_Oct23.xml	593	le projet	l’agence	pers_coll
2022-Boutté_CE_Oct23.xml	608	travailler sur des territoires du Sud de la Méditerranée, d’Afrique du Nord et du Moyen-Orient	L’agence	pers_coll
2022-Boutté_CE_Oct23.xml	609	initie le processus d’un quartier façonné par la géométrie solaire, l’ombre et la brise	Anfa	pers_coll
2022-Boutté_CE_Oct23.xml	614	villes nouvelles décidées	le Royaume du Maroc	pers_coll
2022-Boutté_CE_Oct23.xml	621	dessine >la ville comme un « climatiseur territorial naturel »	Bernard Reichen	pers_ind
2022-Boutté_CE_Oct23.xml	621	dessine >la ville comme un « climatiseur territorial naturel »	l'agence	pers_coll
2022-Boutté_CE_Oct23.xml	702	lutter contre la banalisation morphologique et architecturale à l’œuvre	l’agence	pers_coll
2022-Boutté_CE_Oct23.xml	733	n’édifier désormais pour ses installations que des bâtiments à énergie positive	La Ville de Bordeaux	pers_coll
2022-Boutté_CE_Oct23.xml	743	ne construit pas un bâtiment Bepos mais le premier bâtiment à énergie positive partagée	la Ville	pers_coll
