Nom_fichier	Numero_Phrase	Dynamique	Segment_Annoté
2005-Siza_CE_Oct23.xml	62	rénovation du Chiado	le plan
2005-Siza_CE_Oct23.xml	93	conserver cette ligne de côte si pleine de détails	La proposition
2005-Siza_CE_Oct23.xml	152	la construction de bâtiments hauts	un plan
2005-Siza_CE_Oct23.xml	164	les bâtiments de sept niveaux construits	l’ancien plan
2005-Siza_CE_Oct23.xml	258	démolitions : tout le centre commercial, la station d’autobus, le théâtre	Le programme
2005-Siza_CE_Oct23.xml	258	la démolition	Le programme
2005-Siza_CE_Oct23.xml	258	démolitions : tout le centre commercial, la station d’autobus, le théâtre	Ce programme
2005-Siza_CE_Oct23.xml	258	la démolition	Ce programme
2003-Corajoud_CE_Oct23.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes	des plans masse absurdes
2003-Corajoud_CE_Oct23.xml	246	avaient plaqué des plans masse absurdes	des plans masse absurdes
2022-Boutté_CE_Oct23.xml	172	ont eu pour conséquence d’impacter la morphologie bâtie	ces référentiels
2022-Boutté_CE_Oct23.xml	238	avons isolé les bâtiments	strict minimum de la réglementation
1965-SDAURP_CE_Oct23_GP.xml	30	l'aménagement et l'équipement de la région de Paris	études générales
1965-SDAURP_CE_Oct23_GP.xml	40	l'avenirl'avenir de la région parisienne	les premières études
1965-SDAURP_CE_Oct23_GP.xml	46	"Devenir de Paris"	une politique
1965-SDAURP_CE_Oct23_GP.xml	66	inscrire sur le sol cette carte de son devenir	cette carte de son devenir
1965-SDAURP_CE_Oct23_GP.xml	348	expansion des autres régions	la politique
1965-SDAURP_CE_Oct23_GP.xml	407	l'aménagement	Il
1965-SDAURP_CE_Oct23_GP.xml	410	zones construites	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	410	zones construites	une carte géographique à l'échelle du 100.000e
1965-SDAURP_CE_Oct23_GP.xml	410	zones construites	les orientations majeures
1965-SDAURP_CE_Oct23_GP.xml	438	implanteront les équipements	les grandes orientations
1965-SDAURP_CE_Oct23_GP.xml	448	La réalisation effective d'une région urbaine	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	479	la croissance d'une ville	idées directrices
1965-SDAURP_CE_Oct23_GP.xml	479	la croissance d'une ville	des principes
1965-SDAURP_CE_Oct23_GP.xml	485	l'organisation de la région de Paris dans son ensemble	les principes d'aménagement
1965-SDAURP_CE_Oct23_GP.xml	485	la croissance de l'agglomération	les principes d'aménagement
1965-SDAURP_CE_Oct23_GP.xml	647	50.000 logements à détruire	le 4e Plan
1965-SDAURP_CE_Oct23_GP.xml	686	l'extension	des orientations précises
1965-SDAURP_CE_Oct23_GP.xml	686	des réserves de terrains	des orientations précises
1965-SDAURP_CE_Oct23_GP.xml	710	est interdit d'étendre la zone urbaine	un plan d'urbanisme régional
1965-SDAURP_CE_Oct23_GP.xml	713	les construction urbaines (1) ne sont pas autorisées	Une des dispositions essentielles du P.A.D.O.G.
