Nom_fichier	Numero_Phrase	Segment_Annoté	Accompli	Nature	Temps	Proces
2005-Siza_CE_Oct23.xml	24	Certains de mes projets	non			
2005-Siza_CE_Oct23.xml	45	construire de mes propres mains		crea		
2005-Siza_CE_Oct23.xml	50	Mes bâtiments inachevés, interrompus, altérés	non			
2005-Siza_CE_Oct23.xml	50	l’inachevé	non			
2005-Siza_CE_Oct23.xml	51	mener à bien	oui			
2005-Siza_CE_Oct23.xml	57	construire		crea		
2005-Siza_CE_Oct23.xml	62	rénovation du Chiado		repr		iter
2005-Siza_CE_Oct23.xml	63	construire en continuité		crea		
2005-Siza_CE_Oct23.xml	65	opérations de restructuration de logements sociaux		repr		iter
2005-Siza_CE_Oct23.xml	73	sa relative décadence				
2005-Siza_CE_Oct23.xml	75	construire des surfaces à conquérir		crea		
2005-Siza_CE_Oct23.xml	75	des surfaces à conquérir		crea		
2005-Siza_CE_Oct23.xml	78	la construction		crea		
2005-Siza_CE_Oct23.xml	80	la conquête de terrain		crea		
2005-Siza_CE_Oct23.xml	81	s’est agrandie successivement	non	crea		iter
2005-Siza_CE_Oct23.xml	82	la nouvelle extension		crea		
2005-Siza_CE_Oct23.xml	83	la réalisation	non	crea		dur
2005-Siza_CE_Oct23.xml	84	a été multipliée par deux par rapport à ce qui était prévu				
2005-Siza_CE_Oct23.xml	85	développement de cette région		crea		
2005-Siza_CE_Oct23.xml	86	l’extension de la ville		crea		
2005-Siza_CE_Oct23.xml	88	créent le paysage comme un tout		crea		
2005-Siza_CE_Oct23.xml	91	les nouveaux espaces à construire	non	crea		
2005-Siza_CE_Oct23.xml	93	conserver cette ligne de côte si pleine de détails		maint		
2005-Siza_CE_Oct23.xml	93	construire deux grandes plates-formes	non	crea		
2005-Siza_CE_Oct23.xml	96	seront insérées				
2005-Siza_CE_Oct23.xml	100	villes fondées	oui	crea		
2005-Siza_CE_Oct23.xml	102	L’implantation espagnole		crea		
2005-Siza_CE_Oct23.xml	103	multiples transformations		modif		iter
2005-Siza_CE_Oct23.xml	103	nouveaux développements		crea		
2005-Siza_CE_Oct23.xml	104	la construction		crea		
2005-Siza_CE_Oct23.xml	105	le tracé	non	crea		
2005-Siza_CE_Oct23.xml	105	doit s’adapter à la topographie				
2005-Siza_CE_Oct23.xml	106	le tracé espagnol	non	crea		
2005-Siza_CE_Oct23.xml	106	s’adapte mieux au site				
2005-Siza_CE_Oct23.xml	107	Le dessin des espaces publics et de l’architecture	non	crea		
2005-Siza_CE_Oct23.xml	108	la nouvelle architecture de la ville				
2005-Siza_CE_Oct23.xml	110	a été dessinée une allée plantée d’arbres de grandes dimensions	non	crea		
2005-Siza_CE_Oct23.xml	111	la Baixa de Lisbonne, entièrement reconstruite	oui	repr+crea		iter
2005-Siza_CE_Oct23.xml	119	L’intervention au Chiado				
2005-Siza_CE_Oct23.xml	119	la reconstruction de certaines parties de ce grand édifice préfabriqué qu’est la Baixa		repr+crea		iter
2005-Siza_CE_Oct23.xml	120	l’intervention du XVIIIe siècle				
2005-Siza_CE_Oct23.xml	121	mal construites		crea		
2005-Siza_CE_Oct23.xml	122	les façades tomberaient		destr		
2005-Siza_CE_Oct23.xml	124	ont été reconstruits et restitués à leur fonction d’origine	oui	repr+crea		iter
2005-Siza_CE_Oct23.xml	129	relier la plate-forme du Chiado		crea		
2005-Siza_CE_Oct23.xml	130	ce parcours, disparu	oui	destr		
2005-Siza_CE_Oct23.xml	133	relie deux quartiers importants de la ville: le Bairro Alto et la Baixa				
2005-Siza_CE_Oct23.xml	134	risque d’être rendu exclusivement aux piétons		modif		
2005-Siza_CE_Oct23.xml	142	l’empressement avec lequel on veut tout porter à l’achèvement				
2005-Siza_CE_Oct23.xml	144	n’importe quelle intervention				
2005-Siza_CE_Oct23.xml	147	délimiter le territoire				
2005-Siza_CE_Oct23.xml	147	interventions disséminées				
2005-Siza_CE_Oct23.xml	148	la mise en œuvre du projet urbain				
2005-Siza_CE_Oct23.xml	149	les interventions innovantes				
2005-Siza_CE_Oct23.xml	149	l’agonie du processus	non			dur
2005-Siza_CE_Oct23.xml	149	la conviction de l’absence d’un futur	non	abs	fut	
2005-Siza_CE_Oct23.xml	151	construire sa propre maison	non	crea		
2005-Siza_CE_Oct23.xml	152	la construction de bâtiments hauts	non	crea		
2005-Siza_CE_Oct23.xml	152	quelques-uns d’ailleurs réalisés	oui	crea		
2005-Siza_CE_Oct23.xml	153	suspendre la construction		crea		
2005-Siza_CE_Oct23.xml	154	la préservation de la bande verte qui accompagne la ligne d’eau		maint		
2005-Siza_CE_Oct23.xml	154	la construction d’habitations basses très denses		crea		
2005-Siza_CE_Oct23.xml	155	préserver le territoire	non	maint		
2005-Siza_CE_Oct23.xml	155	expérimenter des nouvelles solutions pour l’habitat	non			
2005-Siza_CE_Oct23.xml	156	le projet des maisons	non	crea		
2005-Siza_CE_Oct23.xml	164	les bâtiments de sept niveaux construits	oui	crea		
2005-Siza_CE_Oct23.xml	168	ont laissé sur le terrain le dessin du parcours le plus adapté	oui	crea		
2005-Siza_CE_Oct23.xml	169	les possibilités de transformation et de relations				
2005-Siza_CE_Oct23.xml	171	reliant le nouveau lieu à la ville ancienne				
2005-Siza_CE_Oct23.xml	172	ai décidé de tracer aussi l’axe nord-sud	non	crea		
2005-Siza_CE_Oct23.xml	173	l’intervention				
2005-Siza_CE_Oct23.xml	174	de nombreuses constructions	non	crea		
2005-Siza_CE_Oct23.xml	176	les constructions nouvelles		crea		
2005-Siza_CE_Oct23.xml	176	la régénération des espaces ouverts des maisons préexistantes		repr		iter
2005-Siza_CE_Oct23.xml	179	construire uniquement des maisons à patio		crea		
2005-Siza_CE_Oct23.xml	182	proposer le réseau d’infrastructures	non	crea		
2005-Siza_CE_Oct23.xml	184	la construction des logements		crea		
2005-Siza_CE_Oct23.xml	187	ai laissé quelques espaces mesurés				
2005-Siza_CE_Oct23.xml	187	seront occupés	non	crea		
2005-Siza_CE_Oct23.xml	188	la localisation		crea		
2005-Siza_CE_Oct23.xml	189	la création d’une série d’espaces interstitiels		crea		
2005-Siza_CE_Oct23.xml	189	les possibilités de projets	non			
