Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	Type
2005-Siza_CE_Oct23.xml	50	Mes bâtiments inachevés, interrompus, altérés	Mes bâtiments	obj
2005-Siza_CE_Oct23.xml	62	rénovation du Chiado	Chiado	obj
2005-Siza_CE_Oct23.xml	62	rénovation du Chiado	à Lisbonne	loc
2005-Siza_CE_Oct23.xml	65	opérations de restructuration de logements sociaux	logements sociaux	obj
2005-Siza_CE_Oct23.xml	73	sa relative décadence	le centre de Lisbonne	obj
2005-Siza_CE_Oct23.xml	75	construire des surfaces à conquérir	des surfaces à conquérir	obj
2005-Siza_CE_Oct23.xml	75	des surfaces à conquérir	sur la mer	loc
2005-Siza_CE_Oct23.xml	78	la construction	sur l’eau	loc
2005-Siza_CE_Oct23.xml	80	la conquête de terrain	terrain	obj
2005-Siza_CE_Oct23.xml	80	la conquête de terrain	sur la mer	loc
2005-Siza_CE_Oct23.xml	81	s’est agrandie successivement	La péninsule	obj
2005-Siza_CE_Oct23.xml	84	a été multipliée par deux par rapport à ce qui était prévu	La hauteur des bâtiments	obj
2005-Siza_CE_Oct23.xml	85	développement de cette région	cette région	obj
2005-Siza_CE_Oct23.xml	86	l’extension de la ville	la ville	obj
2005-Siza_CE_Oct23.xml	88	créent le paysage comme un tout	le paysage comme un tout	obj
2005-Siza_CE_Oct23.xml	91	les nouveaux espaces à construire	les nouveaux espaces	obj
2005-Siza_CE_Oct23.xml	93	conserver cette ligne de côte si pleine de détails	cette ligne de côte si pleine de détails	obj
2005-Siza_CE_Oct23.xml	93	construire deux grandes plates-formes	deux grandes plates-formes	obj
2005-Siza_CE_Oct23.xml	96	seront insérées	les voies existantes	obj
2005-Siza_CE_Oct23.xml	96	seront insérées	dans le nouveau tracé	loc
2005-Siza_CE_Oct23.xml	100	villes fondées	villes	obj
2005-Siza_CE_Oct23.xml	103	nouveaux développements	dans la périphérie des villes	loc
2005-Siza_CE_Oct23.xml	105	doit s’adapter à la topographie	la topographie	obj
2005-Siza_CE_Oct23.xml	106	s’adapte mieux au site	site	obj
2005-Siza_CE_Oct23.xml	107	Le dessin des espaces publics et de l’architecture	espaces publics	obj
2005-Siza_CE_Oct23.xml	108	la nouvelle architecture de la ville	la ville	obj
2005-Siza_CE_Oct23.xml	110	a été dessinée une allée plantée d’arbres de grandes dimensions	Sur une de ces plates-formes	loc
2005-Siza_CE_Oct23.xml	110	a été dessinée une allée plantée d’arbres de grandes dimensions	une allée plantée d’arbres de grandes dimensions	obj
2005-Siza_CE_Oct23.xml	111	la Baixa de Lisbonne, entièrement reconstruite	la Baixa de Lisbonne	obj
2005-Siza_CE_Oct23.xml	119	L’intervention au Chiado	au Chiado	obj
2005-Siza_CE_Oct23.xml	119	la reconstruction de certaines parties de ce grand édifice préfabriqué qu’est la Baixa	certaines parties de ce grand édifice préfabriqué qu’est la Baixa	obj
2005-Siza_CE_Oct23.xml	122	les façades tomberaient	les façades	obj
2005-Siza_CE_Oct23.xml	124	ont été reconstruits et restitués à leur fonction d’origine	Les cadrages des portes, modénatures et corniches	obj
2005-Siza_CE_Oct23.xml	129	relier la plate-forme du Chiado	la plate-forme du Chiado	obj
2005-Siza_CE_Oct23.xml	130	ce parcours, disparu	ce parcours	obj
2005-Siza_CE_Oct23.xml	133	relie deux quartiers importants de la ville: le Bairro Alto et la Baixa	deux quartiers importants de la ville	obj
2005-Siza_CE_Oct23.xml	133	relie deux quartiers importants de la ville: le Bairro Alto et la Baixa	le Bairro Alto	obj
2005-Siza_CE_Oct23.xml	133	relie deux quartiers importants de la ville: le Bairro Alto et la Baixa	la Baixa	obj
2005-Siza_CE_Oct23.xml	134	risque d’être rendu exclusivement aux piétons	le Chiado	obj
2005-Siza_CE_Oct23.xml	147	délimiter le territoire	le territoire	obj
2005-Siza_CE_Oct23.xml	151	construire sa propre maison	sa propre maison	obj
2005-Siza_CE_Oct23.xml	152	la construction de bâtiments hauts	Sur ce secteur	loc
2005-Siza_CE_Oct23.xml	152	la construction de bâtiments hauts	bâtiments hauts	obj
2005-Siza_CE_Oct23.xml	152	quelques-uns d’ailleurs réalisés	quelques-uns	
2005-Siza_CE_Oct23.xml	154	la préservation de la bande verte qui accompagne la ligne d’eau	la bande verte qui accompagne la ligne d’eau	obj
2005-Siza_CE_Oct23.xml	154	la construction d’habitations basses très denses	habitations basses très denses	obj
2005-Siza_CE_Oct23.xml	155	préserver le territoire	le territoire	obj
2005-Siza_CE_Oct23.xml	155	expérimenter des nouvelles solutions pour l’habitat	des nouvelles solutions pour l’habitat	obj
2005-Siza_CE_Oct23.xml	156	le projet des maisons	maisons	obj
2005-Siza_CE_Oct23.xml	164	les bâtiments de sept niveaux construits	les bâtiments de sept niveaux	obj
2005-Siza_CE_Oct23.xml	168	ont laissé sur le terrain le dessin du parcours le plus adapté	sur le terrain	loc
2005-Siza_CE_Oct23.xml	168	ont laissé sur le terrain le dessin du parcours le plus adapté	parcours le plus adapté	obj
2005-Siza_CE_Oct23.xml	171	reliant le nouveau lieu à la ville ancienne	le nouveau lieu	obj
2005-Siza_CE_Oct23.xml	171	reliant le nouveau lieu à la ville ancienne	à la ville ancienne	loc
2005-Siza_CE_Oct23.xml	172	ai décidé de tracer aussi l’axe nord-sud	l’axe nord-sud	obj
2005-Siza_CE_Oct23.xml	174	de nombreuses constructions	Le long de l’axe est-ouest	loc
2005-Siza_CE_Oct23.xml	174	de nombreuses constructions	se rapprochant du quartier de Santa Maria	loc
2005-Siza_CE_Oct23.xml	176	la régénération des espaces ouverts des maisons préexistantes	espaces ouverts des maisons préexistantes	obj
2005-Siza_CE_Oct23.xml	179	construire uniquement des maisons à patio	des maisons à patio	obj
2005-Siza_CE_Oct23.xml	179	construire uniquement des maisons à patio	dans un secteur de la ville	loc
2005-Siza_CE_Oct23.xml	182	proposer le réseau d’infrastructures	le réseau d’infrastructures	obj
2005-Siza_CE_Oct23.xml	182	proposer le réseau d’infrastructures	à la hauteur des toitures	loc
2005-Siza_CE_Oct23.xml	184	la construction des logements	logements	obj
2005-Siza_CE_Oct23.xml	187	ai laissé quelques espaces mesurés	Entre les îlots et l’aqueduc	loc
2005-Siza_CE_Oct23.xml	187	ai laissé quelques espaces mesurés	quelques espaces mesurés	obj
2005-Siza_CE_Oct23.xml	187	seront occupés	quelques espaces mesurés	obj
2005-Siza_CE_Oct23.xml	189	la création d’une série d’espaces interstitiels	une série d’espaces interstitiels	obj
2005-Siza_CE_Oct23.xml	190	lieux non finis	lieux	obj
2005-Siza_CE_Oct23.xml	191	ces lieux commencent à être remplis	ces lieux	obj
2005-Siza_CE_Oct23.xml	193	La reconstruction des villes détruites	villes détruites	obj
2005-Siza_CE_Oct23.xml	194	La construction de villes nouvelles ou de quartiers de ville	villes nouvelles	obj
2005-Siza_CE_Oct23.xml	194	La construction de villes nouvelles ou de quartiers de ville	de quartiers de ville	obj
2005-Siza_CE_Oct23.xml	200	des propositions d’intervention nouvelles	dans la ville	loc
2005-Siza_CE_Oct23.xml	200	des propositions d’intervention nouvelles	un peu partout en Europe	loc
2005-Siza_CE_Oct23.xml	200	la transformation de la ville existante	la ville existante	obj
2005-Siza_CE_Oct23.xml	200	le processus de destruction-construction	la ville historique	obj
2005-Siza_CE_Oct23.xml	200	son développement aux XVIIIe et XIXe siècles	la ville historique	obj
2005-Siza_CE_Oct23.xml	202	la rénovation urbaine du quartier de Schilderswick	quartier de Schilderswick	obj
2005-Siza_CE_Oct23.xml	202	la rénovation urbaine du quartier de Schilderswick	à La Haye	loc
2005-Siza_CE_Oct23.xml	205	préserver l’identité particulière de Schilderswick	Schilderswick	obj
2005-Siza_CE_Oct23.xml	208	la planification urbaine et architecturale de La Haye	La Haye	obj
2005-Siza_CE_Oct23.xml	209	la transformation urbaine de Schilderswick	Schilderswick	obj
2005-Siza_CE_Oct23.xml	210	les profondes modifications de la structure urbaine	la structure urbaine	obj
2005-Siza_CE_Oct23.xml	210	la concentration systématique des zones commerciales	zones commerciales	obj
2005-Siza_CE_Oct23.xml	217	la transformation de la ville	la ville	obj
2005-Siza_CE_Oct23.xml	220	le grand effort de construction et de transformation	les villes européennes d’après-guerre	obj
2005-Siza_CE_Oct23.xml	222	cette transformation	Montreuil	loc
2005-Siza_CE_Oct23.xml	225	a été totalement bouleversée	une partie très significative du centre-ville	obj
