Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	axe_temp	absolu	Type
2005-Siza_CE_Oct23.xml	111	la Baixa de Lisbonne, entièrement reconstruite	après le tremblement de terre de 1755	pas	oui	dur
2005-Siza_CE_Oct23.xml	119	L’intervention au Chiado	après l’incendie de 1988	pas	oui	dur
2005-Siza_CE_Oct23.xml	120	l’intervention du XVIIIe siècle	du XVIIIe siècle	pas		
2005-Siza_CE_Oct23.xml	121	mal construites	souvent			
2005-Siza_CE_Oct23.xml	144	n’importe quelle intervention	Aujourd’hui	pres		
2005-Siza_CE_Oct23.xml	187	seront occupés	successivement	fut		
2005-Siza_CE_Oct23.xml	200	son développement aux XVIIIe et XIXe siècles	aux XVIIIe et XIXe siècles	pas		dur
2005-Siza_CE_Oct23.xml	222	cette transformation	dans les années 1970	pas	oui	dur
2005-Siza_CE_Oct23.xml	260	la transformation antérieure	antérieure	pas		
2005-Siza_CE_Oct23.xml	278	des transformations en cours	en cours			
2003-Corajoud_CE_Oct23.xml	82	Réalisé	dans les mêmes années	pas		dur
2003-Corajoud_CE_Oct23.xml	99	Les travaux du parc ont commencé	en 1982	pas	oui	
2003-Corajoud_CE_Oct23.xml	100	ne sont toujours pas terminés	Après vingt ans	pres		
2003-Corajoud_CE_Oct23.xml	109	travaux réalisés en plusieurs tranches	à partir de 1983	pas	oui	dur
2003-Corajoud_CE_Oct23.xml	109	neuf tranches actuellement réalisées	actuellement	pres		
2003-Corajoud_CE_Oct23.xml	112	donner leur forme effective aux différents espaces	à terme			
2003-Corajoud_CE_Oct23.xml	133	se développent	à terme			
2003-Corajoud_CE_Oct23.xml	149	s’est organisée	Jusqu’à la dernière guerre	pas		dur
2003-Corajoud_CE_Oct23.xml	155	des configurations urbaines futures	futures	fut		
2003-Corajoud_CE_Oct23.xml	157	l’avenir des murs	l’avenir	fut		
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	En 1993	pas	oui	
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	pour six ans	pas		dur
2003-Corajoud_CE_Oct23.xml	193	Urbaniser la Plaine	au XIXe siècle	pas		dur
2003-Corajoud_CE_Oct23.xml	202	a, depuis toujours, composé les villes	depuis toujours	pas		dur
2003-Corajoud_CE_Oct23.xml	209	un avenir pour la Plaine	avenir	fut		
2003-Corajoud_CE_Oct23.xml	225	produisait sans cesse des culs-de-sac bornés	sans cesse	pas		iter
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	en 1960	pas	oui	
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	En 1987	pas	oui	
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin	depuis longtemps	pas		dur
