dynamique_text|dynamique_type|annotation
se sont édifiés|crea|destr
l’embellissement de Paris|modif|repr
n’ont ajouté à « la plus belle ville du monde » qu’une banlieue indifférenciée, sans style et sans âme|crea|modif
se prépara puis s’accomplit le renouveau de la France|repr|repr
un immense effort de construction|crea|crea
ont surgi|crea|repr
doit évoluer le Paris futur|modif|repr
Le développement extraordinaire de Paris et de sa Région|crea|modif
devenir au cours des 80 dernières années cette agglomération géante |modif|modif
a grandi lentement|crea|modif
son embellissement et à son équipement|modif|repr
la croissance de PARIS|crea|modif
en bâtissant les enceintes successives de Paris|crea|destr
se sons basties|crea|destr
se bastissent|crea|destr
de nombreux espaces libres pour bâtir|crea|crea
élargir l’enceinte|modif|crea
la création de nouveaux quartiers|crea|crea
l’opération d’extension|crea|crea
devront être matérialisées|crea|repr
L’extension|crea|crea
les changements qui pourraient y être faits|modif|repr
l’embellissement de cette ville|modif|repr
l’accroissement continuel et de l’augmentation de « la grande ville|crea|modif
fut donc commencée|crea|repr
l’embellissement et aux commodités de la ville|modif|repr
création de places|crea|crea
percements de rues|destr|destr
a construit|crea|crea
nouvel accroissement|crea|crea
Un nouveau bornage|crea|repr
l’extension des limites à l’intérieur desquelles on percevait l’impôt|crea|destr
accroît à son tour la superficie de Paris|crea|modif
ont été tracés|crea|destr
transforme|modif|modif
un développement considérable de l’agglomération parisienne|crea|modif
réalisés|crea|destr
un développement aussi anarchique qu’inesthétique et ruineux|crea|destr
grands travaux à effectuer|crea|maint
les zones réservées à l’habitation|crea|repr
avoir sauvegardé des espaces libres ou boisés|maint|maint
La démolition des anciennes fortifications de la Capitale|destr|destr
la construction d’importants programmes de logements|crea|crea
ont définitivement effacé les traces de la dernière enceinte|destr|destr
s’agrandit|crea|modif
problèmes d’aménagement urbain|crea|destr
des problèmes d’aménagement du territoire|crea|destr
Les tâches multiples de construction et d’équipement|crea|crea
être conçues et réalisées|crea|destr
Les transformations à apporter|modif|modif
devront être concentrés, groupés ou créés les différents services publics|crea|repr
Les zones à protéger|maint|repr
l’urbanisation peut être poursuivie ou entreprise|crea|repr
seront implantées les activités|crea|crea
le maintien|maint|maint
l’extension|crea|crea
la création|crea|crea
n’ayant nullement l’ambition de dessiner le PARIS de l’AN 2.000|crea|repr
toutes les réalisations nouvelles, tant en matière de construction que d’équipement|crea|crea
n’ont pu être étudiées et matérialisées|crea|destr
puissent ainsi être réalisées|crea|repr
n’a pu être réalisé|crea|destr
son accroissement particulièrement rapide|crea|modif
nouveaux groupes d'habitation|crea|crea
se soit développé|crea|modif
en débordant les enceintes successives qui lui avaient été tracées|crea|modif
de très belles réalisations urbaines|crea|repr
Des tracés importants apparus|crea|destr
s’y sont développées|crea|modif
les récents groupes de grands immeubles implantés|crea|modif
toute amélioration s’y réalise non par adjonctions, mais par une sorte de « curetage »|modif|destr
Cet assainissement des quartiers nobles|modif|modif
la création de nombreux services et commerces|crea|crea
leur permettent de se moderniser|modif|repr
leur densification|crea|modif
l’installation des services publics indispensables|crea|crea
Une rénovation complète de ces quartiers|repr|modif
la création d’espaces verts|crea|crea
l’implantation des services publics|crea|crea
renouvellement progressif de l’habitat|repr|repr
Leur rénovation progressive|repr|modif
ont grossi progressivement|crea|modif
former une énorme agglomération|crea|modif
réalisations|crea|destr
des réalisations de qualité|crea|maint
construit|crea|crea
un développement harmonieux|crea|maint
se développer|crea|modif
une réalisation normale des équipements|crea|maint
un projet de réorganisation|repr|repr
doivent être rénovés|repr|modif
en créant ou aménageant des noyaux fortement urbanisés et équipés|crea|crea
en restructurant l’agglomération|repr|modif
reconquérir et rénover les noyaux anciens de la banlieue|repr|repr
créer des noyaux nouveaux|crea|crea
faut les équiper|crea|destr
son maintien|maint|maint
le développement|crea|modif
toute construction d'immeuble privé|crea|crea
un développement considérable des nouvelles activités à caractère scientifique, principalement centres de recherches et laboratoires d’études de toute nature|crea|modif
sans être installés|crea|destr
De telles créations ne pourraient-elles pas trouver place|crea|crea
contribueraient à développer|crea|modif
peuvent être plus opportunément placés|crea|repr
prévoir les nouveaux établissements universitaires indispensables|crea|repr
pourraient être avantageusement localisées|crea|repr
la poussée vers l’Ouest des grandes agglomérations|crea|modif
supprimer cette activité industrielle intense|destr|destr
ont été progressivement entourés de quartiers d’habitations|crea|modif
leur transformation|modif|modif
leur développement|crea|modif
une réinstallation|repr|repr
la création d’établissements ou d’organismes nouveaux|crea|crea
peut raisonnablement être implanté|crea|repr
le développement de ce qui n’ajouterait rien à son rôle de Capitale|crea|destr
une rénovation et une restructuration de l'agglomération parisienne|repr|modif
cette restructuration|repr|repr
la rénovation des centres urbains existants de la plupart des communes de banlieue|repr|modif
cette rénovation|repr|modif
pouvait être menée rapidement|repr|repr
la création de nouveaux noyaux urbains|crea|crea
seront groupés habitations, emplois et tous les services indispensables à une vie urbaine organisée rationnellement|crea|modif
Ces nouveaux noyaux|crea|repr
devront être spécialement étudiés|crea|repr
constituer des « pôles d’attraction » importants, des centres « d’approvisionnement » en biens de toute nature, de culture, de services et d’emplois|crea|modif
ces créations|crea|crea
doivent être réalisés|crea|destr
l’installation et le développement d’éléments du secteur privé|crea|modif
