dynamique_text|dynamique_type|annotation
percées|destr|destr
sans cesse grandissantes|crea|modif
les trouées des routes nationales|destr|destr
tombaient les fortifications de Thiers|destr|destr
les zones d'extension de l'agglomération|crea|crea
cette expansion|crea|crea
avaient triplé|crea|destr
ce triplement parisien|crea|repr
poursuite de la croissance urbaine générale|crea|modif
un développement accentué des villes de province|crea|modif
un développement moindre de la région de Paris|crea|modif
la croissance de la région de Paris serait de 36 %|crea|modif
s'accroîtraient ensemble de 54 %|crea|modif
cet accroissement de la région de Paris|crea|modif
un doublement en superficie d'un tissu urbain analogue à celui d'aujourd'hui|crea|modif
La croissance de Paris|crea|crea
auraient en moyenne plus que doublé|crea|destr
n'augmenterait que des deux tiers|crea|destr
augmenteraient|crea|destr
n'augmenterait que de 1,5 %|crea|destr
un ralentissement de la croissance de la région de Paris|crea|modif
une accélération de la croissance des autres agglomérations|crea|modif
CROISSANCE DES MÉTROPOLES D’ÉQUILIBRE|crea|crea
double|crea|modif
progresseront plus faiblement|crea|maint
augmentent davantage|crea|destr
triplent|crea|destr
un triplement|crea|repr
CROISSANCE DES AGGLOMÉRATIONS IMPORTANTES DU BASSIN PARISIEN|crea|modif
CROISSANCE DES AGGLOMÉRATIONS MOYENNES	DU BASSIN PARISIEN|crea|modif
la croissance spontanée d'autres villes dynamiques|crea|modif
accroissement de la région de Paris|crea|crea
augmentent de 3% chaque année|crea|maint
auront soutenu un accroissement annuel de l'ordre de 2,5 % en moyenne|crea|modif
voir rapidement grandir les autres villes de France|crea|crea
deviendra plus grand|crea|modif
leur essor|crea|modif
une extension progressive|crea|repr
l'orienter à mesure qu'elle se produira|crea|repr
son extension spatiale|crea|crea
presque doublés|crea|repr
les usines et les bureaux construits|crea|crea
bâtiments construits|crea|crea
existent encore|maint|destr
devraient être systématiquement détruits|destr|destr
une extension en surface|crea|crea
superficie multipliée par 5|crea|destr
cette évolution spontanée|crea|repr
superficie doublée|crea|modif
superficie triplée|crea|modif
seront construits|crea|crea
remplaceront une partie des équipements actuellement existants|repr|modif
la démolition|destr|destr
seraient reconstruits|repr|destr
les installations et les bâtiments de remplacement|repr|repr
surface multipliée par 2|crea|destr
surface multipliée par 3|crea|destr
surface multipliée par 4|crea|destr
densifier abusivement les rares terrains disponibles|crea|destr
garder des réserves|maint|maint
aller construire|crea|crea
leur extension|crea|crea
expansion des autres régions|crea|crea
telle ou telle réalisation|crea|repr
"""construire beau"""|crea|crea
leur implantation|crea|repr
une bonne implantation|crea|repr
"l'implantation des logements, des ateliers, des bureaux, des >services publics, des <lieu type=""obj"" n=2><res n=2>transports</res></lieu></dyn>"|crea|modif
zones construites|crea|modif
un secteur de rénovation|repr|modif
une zone à urbaniser par priorité|crea|crea
la réalisation des grands ouvrages et des programmes d’équipement|crea|crea
implanteront les équipements|crea|crea
réalisation des grands équipements d'infrastructure, particulièrement de voies ferrées et d'autoroutes|crea|crea
peut être réalisé aisément et à coût normal|crea|maint
La réalisation effective d'une région urbaine|crea|repr
les poussées de la ville|crea|repr
les extensions en surface de cette agglomération|crea|modif
cet agrandissement d'une trame urbaine|crea|modif
ont déjà étendue|crea|modif
la croissance d'une ville|crea|crea
successivement franchies|crea|destr
a toujours grandi|crea|modif
faire mourir Paris|destr|destr
la croissance de l'agglomération|crea|modif
l'entretien de ses voies et de ses jardins|maint|maint
les zones construites|crea|destr
a dévoré le petit département de la Seine|crea|destr
a mangé le curieux anneau circulaire de Seine-et-Oise|crea|destr
a même mordu sur la Seine-et-Marne|crea|destr
en formeront huit|modif|destr
sa croissance|crea|modif
la rénovation|repr|modif
la disparition rapide des espaces libres|destr|destr
ont été construits|crea|crea
construits|crea|crea
Les constructions n'ont en effet repris|crea|repr
13.000 logements terminés|crea|modif
750.000 logements terminés|crea|destr
plus de 200.000 logements en cours de construction|crea|crea
aura construit, depuis 1953, plus d'un million de logements|crea|modif
aura bâti un autre Paris|crea|destr
s'étend en doigts de gant|crea|destr
se colmatent|crea|destr
ont été implantés|crea|destr
espaces libres en voie de disparition|destr|destr
quartiers vétustes trop lentement repris par la rénovation|repr|repr
Les constructions réalisées|crea|crea
ont fait disparaître beaucoup des espaces libres qui existaient|destr|destr
L'extension des surfaces bâties|crea|crea
"développement ""en tache d'huile"""|crea|modif
l'agrandissement|crea|crea
la croissance passée de l'agglomération de Paris|crea|modif
des extensions linéaires|crea|crea
la construction des voies ferrées|crea|crea
le comblement des espaces interstitiels|crea|modif
se construisent|crea|crea
s'étend|crea|crea
ces axes nouveaux|crea|repr
demeurent libres|maint|maint
"ces extensions ""linéaires"""|crea|repr
la fin du développement en tache d'huile|crea|destr
les extensions linéaires|crea|repr
veut construire|crea|crea
deux ou trois zones déjà construites|crea|modif
équipées en réseaux d'eau, d'assainissement et d'électricité|crea|destr
le rythme de construction à soutenir|crea|maint
seraient rapidement construits|crea|crea
un nouvel anneau continu de constructions|crea|crea
les espaces libres disparus|destr|destr
ont été presqu'exclusivement édifiés|crea|destr
leur construction|crea|crea
placer|crea|maint
ont été mis|crea|destr
demeurer en l'état|maint|maint
n'est guère possible de conserver longtemps des terres agricoles presqu'enclavées dans la ville|maint|modif
être aménagés|modif|repr
"recevoir des stades, des lycées, des facultés, des hôpitaux</lieu>, <lieu type=""obj"" n=2><res n=2>des zones d'emploi assez vastes</res></lieu></dyn>"|crea|modif
la construction de logements|crea|crea
l'aménagement des 5.000 hectares de Z.U.P.|crea|crea
eut été préférable de bâtir|crea|destr
des zones d'extension|crea|crea
implanter des équipements pleinement satisfaisants|crea|crea
sont demeurés concentrés|maint|maint
la rénovation du tissu urbain existant|repr|modif
l'extension de l'agglomération|crea|modif
cette extension|crea|repr
logements détruits|destr|destr
cette rénovation|repr|modif
50.000 logements à détruire|destr|destr
la destruction de 36.000 logements anciens|destr|destr
à remplacer|repr|destr
55.000 logements nouveaux|crea|crea
sont détruits|destr|destr
sont construits|crea|crea
la rénovation du secteur de la Défense|repr|modif
rénovation|repr|modif
la substitution à quelques maisons particulières de quelques dizaines d'appartements|modif|modif
densification|crea|modif
la réalisation ultérieure de ces équipements|crea|destr
La rénovation|repr|modif
la forme de rénovation|repr|modif
la substitution de logements modernes|modif|modif
"la mise en place des équipements absents - écoles, centres médicaux et sociaux, commerces</lieu>, <lieu type=""obj"" n=1><res n=1>terrains de jeux</res></lieu></dyn>"|crea|modif
la reprise de la trame des rues|repr|repr
les opérations de rénovation|repr|modif
doit être préservée|maint|maint
la réhabilitation|repr|modif
la modernisation d'immeubles anciens|modif|modif
des immeubles réhabilités|repr|modif
une rénovation|repr|modif
la rénovation nécessaire|repr|modif
subsistera la pénurie de logements|maint|maint
la réhabilitation et de la modernisation des vieux quartiers de Paris comme de ses banlieues|repr|modif
dévore les espaces libres|crea|destr
ne se rénovent qu'avec trop de lenteur|repr|modif
allaient transformer les villes|modif|modif
l'extension|crea|crea
implantations d'activités|crea|crea
Les grands ensembles construits|crea|modif
ont été - à raison de 20 logements à l'hectare en moyenne - couverts de pavillons|crea|modif
la zone construite|crea|modif
subsistaient|maint|maint
fallait empêcher de grandir|crea|destr
la réduction progressive des espaces demeurés libres|modif|modif
"un ""bourrage du terrain"|crea|destr
conduire ses réseaux d'eau, d'égouts, d'électricité|crea|crea
GROUPES DE LOGEMENTS CONSTRUITS|crea|crea
la construction|crea|crea
les constructions nouvelles|crea|crea
l'implantation des activités|crea|crea
toute création|crea|crea
toute extension|crea|crea
mètre carré construit|crea|crea
les démolitions de locaux|destr|destr
l'expansion des activités|crea|crea
l'implantation d'activités|crea|crea
l'implantation|crea|repr
ont été créées|crea|crea
leur mise en place|crea|repr
s'implantent|crea|repr
construire des installations modernes|crea|crea
se remplisse la zone industrielle|crea|repr
doivent y demeurer|maint|maint
une stagnation|maint|maint
a fait démarrer de grands travaux d'équipement public|crea|modif
chantiers|crea|destr
les mises en service|crea|repr
allongement des quais|crea|modif
ponts nouveaux|crea|crea
nouveaux grands magasins|crea|crea
refonte des réseaux de distribution d'électricité et de gaz|repr|modif
extension des installations d'épuration|crea|crea
constructions|crea|crea
IMPLANTATION RÉCENTE D'ACTIVITÉS ET DE GRANDS ÉQUIPEMENTS|crea|modif
sont à localiser|crea|repr
plus de 1.200.000 logements en dix ans, soit l'équivalent d'une autre ville de Paris à construire|crea|crea
la croissance inéluctable|crea|crea
une agglomération, demain plus grande|crea|modif
la croissance|crea|crea
