dynamique_text|dynamique_type|annotation
construire la ville|crea|crea
transformait des appartements|modif|modif
en ne gardant que l’enveloppe des murs et les structures porteuses|maint|destr
la transformation|modif|modif
l’invention|crea|repr
la conception|crea|repr
se constituer|crea|crea
se transformer|modif|modif
voulait créer de véritables espaces publics : la rue, le parc|crea|repr
l’arrivée du grand centre commercial|crea|modif
la conception du parc de la Villeneuve|crea|repr
devait requalifier l’Urbain|repr|repr
Réalisé|crea|maint
ce parc, construit|crea|crea
quartier à venir|crea|repr
la création d’un parc forestier|crea|crea
réactualiser l’imaginaire des grandes forêts de Bondy et de Sevran, en partie disparues|repr|modif
fallait concevoir un enchaînement d’espaces « capables »|crea|repr
serait équipée progressivement|crea|maint
la plantation de 400 000 très jeunes arbres|crea|crea
la conception des paysages|crea|repr
poser des objets, mais de s’en abstenir|crea|destr
travaux réalisés en plusieurs tranches|crea|modif
neuf tranches actuellement réalisées|crea|destr
l’amélioration et à la transformation des lieux|modif|modif
perdurent|maint|maint
la sauvegarde des murs|maint|maint
la préservation des espaces « naturels » du quartier|maint|maint
trouveraient aisément leur place|crea|maint
des configurations rurales anciennes sauvées|maint|maint
protection pour la meilleure partie des murs|maint|maint
la sauvegarde|maint|maint
l’aménagement de la Cité internationale|crea|modif
la digue plusieurs fois modifiée|modif|modif
fut dessiné|crea|repr
Les aménagements successifs de la digue|modif|destr
ses diverses constructions|crea|crea
avons ajouté, sur notre propre emprise, un nouveau parc|crea|repr
recompose les berges de la rive gauche|repr|modif
Urbaniser la Plaine|crea|modif
libres tracés des infrastructures|crea|crea
la juxtaposition des emprises et des constructions|crea|modif
a occupé les rives|crea|destr
l’enchevêtrement des constructions et des ouvrages|crea|modif
la renaissance de la Plaine|repr|repr
Ces voies nouvelles|crea|modif
renouveler le principe des arbres en ligne|repr|repr
aménageaient|crea|repr
produisait sans cesse des culs-de-sac bornés|crea|modif
l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé|crea|repr
fut éventrée|destr|destr
veut implanter le Stade de France|crea|destr
soit couverte|crea|repr
Couverte par une dalle|crea|destr
reconstituer le sol de pratique|repr|crea
La requalification de l’avenue|repr|modif
couverture de l’autoroute A1|crea|destr
avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50|crea|modif
réaliser un jardin|crea|crea
les premiers travaux de la transformation des quais de la rive gauche de Bordeaux|modif|modif
la conception d’un logement|crea|crea
créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures|crea|repr
jardiner les quais|modif|maint
aménager cet espace public|modif|modif
restera|maint|maint
l’urbanisation|crea|modif
sauvegarder cette dernière|maint|crea
doit-on le transformer|modif|repr
ont modelé et configuré ce paysage|modif|modif
telle ou telle transformation|modif|modif
la conservation|maint|maint
la tabula rasa|destr|destr
la transformation et l’amélioration des lieux|modif|modif
