dynamique_text|dynamique_type|annotation
se transformer spectaculairement|modif|modif
urbanisé|crea|crea
une ville à refaire|repr|repr
quartiers nouveaux|crea|crea
des aménagements de lieux publics|crea|maint
placer un grand objet|crea|destr
va se constituer|crea|crea
le Château d’eau étant construit|crea|crea
transformation urbaine|modif|modif
un nouvel espace public|crea|repr
construire|crea|crea
faire réellement apparaître les choses|crea|crea
ouvrais des îlots irréguliers, impossibles|crea|destr
la « rénovation » planifiée|repr|repr
ai construit à cette époque un foyer de personnes âgées|crea|destr
retour de la ville classique d’îlots fermés|repr|repr
les rares projets qui ouvraient ce grand îlot vert|crea|repr
transformer la ville|modif|modif
création architecturale intense|crea|crea
la tabula rasa|destr|destr
peuvent devenir des îles dans la verdure|modif|repr
faut transformer la ville|modif|modif
un nouveau centre linéaire|crea|crea
la permanence|maint|maint
des formes immuables|maint|maint
cette permanence|maint|maint
peut donc les tracer plus étroites|crea|crea
les volumes constructibles|crea|crea
installent leurs bâtiments|crea|destr
un projet de technopôle|crea|crea
accueillir quantité de programmes distincts – habitat, recherche, industrie|crea|repr
en constituant des « îles » bâties|crea|repr
mets en place les îlots ouverts auxquels je pensais depuis Cergy|crea|repr
construisent les rues|crea|crea
l’installation de chacun de ces programmes|crea|repr
peut déployer, de l’autre côté de la Place de la Rotonde, un prolongement du Cours Mirabeau|crea|modif
déployer un nouveau territoire|crea|crea
ne pouvais pas concevoir tous les bâtiments|crea|destr
construire un quartier contemporain|crea|crea
L’aménagement|crea|modif
non pas pour le remplir de constructions|crea|destr
en faisant une entrée de ville|crea|repr
la création d’un parc|crea|crea
canal, agrandi|modif|modif
une « île bâtie »|crea|repr
transformer|modif|modif
transformer des immeubles « à vue »|modif|modif
l’urbanisme de barres de l’époque moderne, sans îlot, maladroitement installé|crea|modif
Cette installation|crea|repr
toute implantation|crea|crea
rues rasées|destr|destr
démolir une petite barre|destr|destr
bâtir deux immeubles-villa|crea|crea
créer un nouveau cœur d’îlot privatisé|crea|crea
redonner une dignité d’habitation aux barres|repr|repr
en apportant des loggias et des halls d’entrée|modif|modif
ai construit le musée Bourdelle, la tour de Lille, les logements de Fukuoka, au Japon|crea|crea
sites à réinventer|repr|repr
un retour à la ville classique|repr|repr
revenons à la ville de toujours|repr|repr
l’évolution de la Part-Dieu à Lyon, des villes nouvelles autour de Paris, ou bien encore Montpellier|modif|modif
n’a été mis à l’alignement des rues|crea|destr
sont restées|maint|destr
préserver les vignes, les oliviers, les fermes|maint|maint
l’augmentation toujours croissante des logements|crea|modif
ajouter encore aux routes existantes|crea|maint
couvrir ici la campagne|crea|destr
« îles bâties »|crea|repr
Leur implantation|crea|destr
densifier ponctuellement|crea|modif
en le préservant|maint|maint
l’habitat que l’on installe|crea|crea
aurons tenté d’urbaniser cette campagne|crea|crea
construisons actuellement une partie d’île divisée en deux|crea|modif
plusieurs opérations privées|crea|modif
reprendre dans le secteur Masséna, et dans un tout autre contexte de programme et de site, cette grille de rues et d’îlots|repr|modif
un jardin constitué|crea|repr
L’implantation du bâti|crea|modif
ont inscrit leur projet|crea|repr
créer un quartier linéaire de logements|crea|crea
nouveau Palais de Justice|crea|destr
une ville qui se construit par poches|crea|repr
aménagements durables|crea|maint
le durable|maint|maint
le transformable|modif|modif
le réversible|repr|repr
sont fermées à l’évolution|modif|maint
ne seront pas évolutives|modif|destr
sont donc, dans le temps, divisibles, vendables, commercialisables|modif|destr
morceaux reconstructibles|repr|repr
créer des rues|crea|crea
a installé des bâtiments types existant dans Sao Paulo, des basiques « sans qualité »|crea|destr
créer un grand ensemble exemplaire|crea|crea
pourraient se construire|crea|crea
en poursuivant la trame des îlots et des rues de Manhattan|crea|repr
l’urbanisation lente des bocages périphériques|crea|modif
devenus ville|modif|modif
un processus d’urbanisation plus rapide|crea|modif
Les nouveaux quartiers|crea|modif
l’urbanisation|crea|modif
prévoit d’y construire 500 000 m2 et un parc de 12 hectares|crea|crea
en créant un grand parc « tentaculaire »|crea|crea
est « planté » de plusieurs îles résidentielles|crea|repr
ménagent des jardins et des rues intérieures|crea|maint
une croissance urbaine|crea|modif
les « poches », les camps résidentiels fermés et les condominiums en chantier|crea|repr
une opération|crea|destr
répète|crea|repr
l’avenir potentiel des condominiums réalisés|crea|repr
interdit d’évoluer en souplesse|modif|destr
se fabriquer des grands ensembles|crea|crea
soit ouverte aux modifications|modif|repr
un nouvel îlot|crea|crea
réussir à créer des rues, des îlots, une partition d’espaces privés dans un réseau viaire public|crea|crea
faire des îlots ouverts|crea|repr
réussir à faire des rues Nord-Sud vraiment constituées|crea|repr
une évolution facile|modif|repr
Ce tracé de rues|crea|modif
ai proposé un long parc central|crea|repr
construisons des bâtiments très différents les uns des autres|crea|destr
la répétition obsessionnelle|crea|repr
une rue repensée|repr|modif
accueillir des bâtiments autonomes|crea|repr
constituer la rue|crea|repr
installer à Masséna l’Université Paris VII|crea|repr
alignent des façades continues|crea|modif
génèrent des cours intérieures fermées|crea|repr
bâtir des immeubles mitoyens|crea|crea
propose des rues plus étroites|crea|maint
Les immeubles, conçus et réalisés|crea|crea
l’opération devait être réalisée îlot par îlot|crea|modif
une seule opération de 150 à 250 logements|crea|repr
opérations de 40 à 50 logements|crea|modif
leur projet d’îlot entier|crea|repr
plusieurs opérations|crea|destr
cadre volumétrique constructible|crea|crea
les nouveaux îlots|crea|repr
démolir|destr|destr
construisent les écoles ou les universités|crea|crea
concevoir des volumes entiers|crea|repr
projets bâtis|crea|destr
conçois des îlots ouverts|crea|repr
construit un bâtiment|crea|crea
