dynamique_text|dynamique_type|annotation
leur mutation|modif|modif
naîtrait spontanément|crea|repr
réutiliser un patrimoine|repr|repr
grands territoires en mutation|modif|modif
extension interne de la ville|crea|modif
Transformer une grande filature|modif|modif
réappropriation de l’espace|repr|repr
production de la ville|crea|modif
transformer|modif|modif
la gare de Liège, transformée|modif|modif
mise en œuvre d’infrastructures « égocentrées »|crea|destr
recomposition et de redistribution de l’espace public|repr|modif
projet du tramway de Caen|crea|repr
embellissement|modif|modif
modernisation|modif|modif
a dénaturé un grand nombre de lieux simples|modif|destr
développement urbain|crea|modif
cette ville nouvelle, claire et bien dessinée|crea|repr
donner de l’épaisseur au centre-ville|modif|modif
une transformation mesurée qui est menée|modif|modif
le renouvellement urbain|repr|repr
corridors de développement|crea|modif
La reconquête des boulevards du XVIIIe siècle|repr|repr
la transformation d’une infrastructure|modif|modif
le déclencheur d’un vaste programme de modernisation des équipements collectifs publics ou privés|modif|modif
renouvellement urbain|repr|modif
la réparation|repr|repr
mutation|modif|modif
la démolition|destr|destr
remise en cause d’une forme urbaine|modif|modif
réinstaller une pièce urbaine exemplaire|repr|repr
conçue|crea|repr
Construites|crea|crea
la reconstitution du parc de logements|repr|modif
L’obsolescence rapide des grands ensembles|modif|modif
la permanence d’un cadre physique|maint|maint
reconstruire en dix ans les bases d’un grand paysage|repr|repr
Le projet du Centre des technologies de l’environnement d’Oberhausen|crea|repr
avons eu à concevoir|crea|repr
était transformé|modif|modif
la livraison des bâtiments|crea|crea
D’autres grands développements ont été ensuite réalisés|crea|modif
des projets liés à la reconquête des zones portuaires|repr|repr
la tour – construite|crea|crea
permet de composer un espace inédit|crea|crea
produire la ville|crea|crea
le projet de transformation de la côte du Falaire|modif|modif
retrouve son lien|repr|destr
sa transformation|modif|modif
un processus de transformation|modif|modif
construire une « fondation pour le futur »|crea|crea
ont été installés|crea|destr
relier la côte à la ville|crea|repr
résorption des grandes infrastructures routières|modif|destr
produire un espace « capable »|crea|maint
extension par cercles radioconcentriques|crea|repr
organisant de nouveaux liens entre les communes|crea|modif
les développements futurs|crea|repr
lutte contre l’étalement urbain|crea|modif
projets établissant de nouvelles relations entre ville et nature|crea|repr
a changé|modif|destr
concevoir l’espace|crea|maint
le développement|crea|modif
la table rase|destr|destr
la « sanctuarisation » des valeurs patrimoniales|maint|repr
penser de nouveaux modes de développement|crea|maint
peut se définir l’espace public|crea|repr
une forme urbaine stabilisée et patrimoniale|maint|maint
voit s’installer|crea|repr
formes extrêmes conçues|crea|repr
production de l’espace urbain|crea|crea
