dynamique_text|dynamique_type|annotation
construire de mes propres mains|crea|crea
construire|crea|crea
rénovation du Chiado|repr|modif
construire en continuité|crea|crea
opérations de restructuration de logements sociaux|repr|modif
construire des surfaces à conquérir|crea|crea
la construction|crea|crea
la conquête de terrain|crea|crea
s’est agrandie successivement|crea|modif
la nouvelle extension|crea|crea
la réalisation|crea|repr
développement de cette région|crea|modif
l’extension de la ville|crea|modif
créent le paysage comme un tout|crea|crea
les nouveaux espaces à construire|crea|crea
conserver cette ligne de côte si pleine de détails|maint|maint
construire deux grandes plates-formes|crea|crea
villes fondées|crea|crea
L’implantation espagnole|crea|destr
multiples transformations|modif|modif
nouveaux développements|crea|repr
le tracé|crea|destr
le tracé espagnol|crea|destr
Le dessin des espaces publics et de l’architecture|crea|repr
a été dessinée une allée plantée d’arbres de grandes dimensions|crea|crea
mal construites|crea|destr
les façades tomberaient|destr|destr
ce parcours, disparu|destr|destr
risque d’être rendu exclusivement aux piétons|modif|repr
construire sa propre maison|crea|crea
la construction de bâtiments hauts|crea|crea
quelques-uns d’ailleurs réalisés|crea|destr
suspendre la construction|crea|destr
la préservation de la bande verte qui accompagne la ligne d’eau|maint|maint
la construction d’habitations basses très denses|crea|crea
préserver le territoire|maint|maint
le projet des maisons|crea|repr
les bâtiments de sept niveaux construits|crea|crea
ont laissé sur le terrain le dessin du parcours le plus adapté|crea|destr
ai décidé de tracer aussi l’axe nord-sud|crea|repr
de nombreuses constructions|crea|crea
les constructions nouvelles|crea|crea
la régénération des espaces ouverts des maisons préexistantes|repr|repr
construire uniquement des maisons à patio|crea|crea
proposer le réseau d’infrastructures|crea|crea
la construction des logements|crea|crea
seront occupés|crea|destr
la localisation|crea|maint
la création d’une série d’espaces interstitiels|crea|crea
ces lieux commencent à être remplis|crea|repr
La construction de villes nouvelles ou de quartiers de ville|crea|crea
développement économique et urbain|crea|destr
la tabula rasa|destr|destr
la transformation de la ville existante|modif|modif
son développement aux XVIIIe et XIXe siècles|crea|modif
réhabilitation|repr|modif
Cet effort rénovateur|repr|repr
la rénovation urbaine du quartier de Schilderswick|repr|modif
préserver l’identité particulière de Schilderswick|maint|maint
une transformation irréversible|modif|destr
préserver|maint|maint
changer|modif|repr
la transformation urbaine|modif|modif
la transformation urbaine de Schilderswick|modif|modif
les profondes modifications de la structure urbaine|modif|modif
une « transformation participative »|modif|modif
la dégradation environnante|modif|destr
La rénovation|repr|modif
la transformation de la ville|modif|modif
cette transformation|modif|modif
la table rase|destr|destr
L’implantation au cœur de la ville d’un grand ensemble qui commence au sous-sol|crea|destr
une décadence et une dégradation|modif|destr
ce processus de dégradation et de perte de caractère du centre historique|modif|modif
les transformations|modif|modif
permette de recréer un rapport entre la rue et les tours|repr|destr
doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages|crea|modif
transformation de l’espace|modif|modif
une transformation plus large|modif|modif
urbanisation outrancière|crea|modif
persistance du rural|maint|maint
démolitions : tout le centre commercial, la station d’autobus, le théâtre|destr|destr
la démolition|destr|destr
faille les démolir|destr|destr
faire disparaître les faits de la transformation antérieure|destr|destr
démolitions de structures existantes|destr|destr
détruit|destr|destr
vouloir tout préserver|maint|maint
La perpétuelle transformation des villes|modif|modif
le développement des villes|crea|modif
des transformations en cours|modif|modif
