dynamique_text|dynamique_type|annotation
La production de la ville|crea|repr
L’urbanisation continue|crea|modif
la « métropolisation »|crea|modif
La maîtrise du développement urbain|crea|maint
se développent par croissance interne|crea|maint
en se densifiant|crea|modif
en s’étendant|crea|modif
croissance externe|crea|crea
forment ainsi un nouveau type de ville, les métapoles|crea|destr
doit faire la ville|crea|destr
Le développement d’une ville|crea|modif
les grands aménagements touristiques|crea|repr
la création d’intercommunalités|crea|crea
pourraient y prendre place|crea|repr
la transformation des pôles de développement|modif|modif
réalisations de logements de qualité|crea|maint
les évolutions des villes durables|modif|repr
dessine une ville|crea|crea
permettent de les réaliser|crea|maint
a créé un quartier universitaire parsemé|crea|repr
fabrication urbaine|crea|crea
peut produire de la haute densité|crea|maint
transformation du site|modif|modif
étalement urbain|crea|crea
une évolution sensible des formes de la ville éparse|modif|modif
une multiplication des lotissements écologiques|crea|crea
opérations peu denses|crea|destr
en fabriquant des lotissements écologiques|crea|crea
le développer|crea|crea
le transformer en profondeur|modif|modif
le prolonger|crea|modif
ne fait pas de la villeavec des maisons individuelles entourées de jardins|crea|maint
continuera à utiliser du terrain|crea|repr
continue à se développer|crea|crea
se développera|crea|modif
l’extension urbaine|crea|crea
doivent réorganiser la partie centrale de la ville|repr|modif
développement de la région|crea|crea
développement|crea|modif
un mode de densification|crea|modif
en faisant une sorte de centralité linéaire|crea|destr
un développement périphérique|crea|modif
une centralité périphérique complètement nouvelle|crea|crea
de nouvelles infrastructures routières|crea|crea
le développement et l’avenir de la partie centrale et de la petite couronne|crea|modif
Mieux vaut développer des grands pôles|crea|modif
de nouvelles centralités|crea|modif
dessiner le tracé|crea|destr
nouvelles « villes nouvelles »|crea|crea
créer de nouvelles centralités|crea|crea
de très grandes opérations urbaines|crea|modif
construire 140 000 ou 150 000 logements nécessaires|crea|crea
remplissage de dents creuses|crea|destr
renouvellement urbain|repr|modif
la relance de grandes opérations urbaines|crea|repr
villes nouvelles|crea|crea
de grandes opérations urbaines de qualité|crea|modif
en construisant des lotissements durables|crea|crea
Ces nouvelles opérations d’urbanisme|crea|modif
ces développements|crea|repr
une voie de développement prometteur|crea|repr
le développement|crea|modif
un certain étalement urbain|crea|modif
préserverait les territoires naturels|maint|maint
une raréfaction des sols agricoles en France|destr|destr
le développement d’une ville linéaire et circulaire mais pas radioconcentrique|crea|modif
