dynamique_text|dynamique_type|annotation
n'y a pas de développement raisonné de la métropole contemporaine|crea|destr
l’aménagement et à la gouvernance de l'agglomération parisienne|crea|modif
développement rapide des métropoles|crea|modif
croissance métropolitaine de l'agglomération parisienne|crea|modif
développement des spatialités de l'aire métropolitaine|crea|modif
développement des métropoles|crea|modif
apparaissent|crea|repr
leur métamorphose progressive|modif|modif
le passage d'une ville de la production à une ville de la consommation|modif|modif
cette évolution permanente|modif|modif
mutations de plus en plus rapides et incontrôlées de la ville territoriale|modif|modif
le développement de ce qu'on pourrait appeler une « métropole négociée»|crea|repr
réinventer|repr|repr
concevoir les dispositifs spatiaux|crea|repr
les propositions stratégiques d'aménagement de l'espace|crea|repr
