dynamique_text|dynamique_type|annotation
les tracés des paysages construits|crea|modif
créer des formes : ombrières faisant varier la croissance des végétaux, pièges à alluvions constituant des îlots, couloirs à vent pour déplacer les dunes</lieu></dyn>|crea|crea
la transformation de ces sites|modif|modif
la transformation d’une double baie|modif|modif
doit être transformée|modif|modif
créer une succession de bassins|crea|crea
varie en permanence|modif|repr
la réalisation de petits prototypes|crea|crea
ces petites réalisations|crea|repr
la transformation (souvent lointaine, hypothétique ou aléatoire) des grands sites|modif|modif
des paysages agricoles dévastés|destr|destr
les restaurer|repr|repr
transformer de tels territoires|modif|modif
substituer par d’autres|modif|destr
Tout reste en place|maint|maint
tout se transforme|modif|modif
la requalification d’un vaste territoire|repr|modif
leur transformation|modif|modif
l’extrême dégradation du site|modif|destr
un processus de substitution de ces traces horticoles|modif|repr
tout reste en place|maint|maint
tout change de nature|modif|destr
remplacent les clôtures|modif|destr
succèdent|modif|repr
remplacent les friches|modif|repr
Le sol reste intact|maint|maint
est nouveau|crea|crea
Le processus de substitution|modif|repr
le travail de transformation des traces|modif|repr
modifier le territoire|modif|modif
un processus de transformation|modif|modif
son étalement récent|crea|modif
le traitement des limites entre habitat et agriculture|modif|repr
la transformation des vallées|modif|modif
la plantation progressive de ces parcelles|crea|crea
deviennent ponctuellement l’espace public des lotissements|modif|repr
forment ensemble des promenades|crea|maint
en définissant une nouvelle silhouette|crea|repr
ses futures extensions|crea|crea
mécanismes de substitution|modif|repr
Ni restauration|repr|repr
ni reconquête|repr|repr
qualifie un territoire|modif|modif
construire un quartier|crea|crea
l’aménagement du site de l’exposition du Millenium|crea|repr
l’accueil de futurs quartiers|crea|crea
La dépollution de la péninsule|modif|destr
une véritable table rase|destr|destr
Le quartier futur imaginé|crea|repr
reconstituer une forêt alluviale|repr|crea
Douze mille arbres plantés|crea|crea
font surgir un paysage forestier|crea|repr
évoluera|modif|modif
processus de fabrication de la ville et du territoire|crea|crea
sont fabriqués les rues, les réseaux d’eau et d’énergie, les trottoirs|crea|crea
est explicitement construite|crea|crea
se réparent|repr|repr
se transforment|modif|modif
la construction|crea|crea
leur développement|crea|modif
leur conservation|maint|maint
processus de fabrication contemporains|crea|repr
remembrement parcellaire|repr|maint
développement des friches|crea|modif
prolifération autoroutière|crea|modif
entrées de ville dévastées|destr|destr
est fabriquée de telle façon|crea|repr
son processus de fabrication|crea|destr
censés résorber les friches urbaines|crea|repr
se réalisent ces projets réchauffés|crea|repr
transformation urbaine|modif|modif
se fabrique|crea|crea
la croissance des villes|crea|modif
étalements urbains contemporains|crea|repr
cette reconquête|repr|repr
les lieux de l’industrie en mutation|modif|modif
redonner une fertilité au sol|repr|repr
décontaminer|modif|destr
sa transformation|modif|modif
la transformation du territoire|modif|modif
cette transformation|modif|modif
leurs transformations individuelles|modif|repr
transformations spectaculaires|modif|modif
aménagement des quais|modif|modif
la transformation de ce paysage|modif|modif
sa construction cohérente|crea|repr
transformation envisageables|modif|repr
leur transformation possible|modif|repr
les « paysages en gestation »|modif|repr
leur capacité à transformer|modif|repr
les forêts plantées artificiellement|crea|repr
la mutation agricole|modif|modif
se dessine nécessairement une forme d’archipel aux polarités multiples|crea|repr
une immensité construite|crea|destr
en boisant les vallons qui relient le plateau et les vallées|crea|repr
transformation des paysages et des territoires|modif|modif
Le désir de construction|crea|crea
Ces maigres mais réjouissantes réalisations|crea|repr
des vastes transformations annoncées|modif|modif
la recomposition de nos territoires urbains|repr|modif
la construction des espaces publics|crea|crea
grands étalements urbains|crea|modif
un espace public à inventer|repr|repr
ces transformations|modif|modif
l’expansion de Rotterdam|crea|crea
la mise en situation et la forme de ces villes en construction|crea|destr
les villes nouvelles|crea|repr
le développement de Washington|crea|modif
réalisé|crea|destr
se développaient|crea|modif
s’installaient|crea|destr
plantaient abondamment ces coteaux et vallons|crea|maint
installaient toute la viabilisation et notamment les voies de circulations|crea|modif
fabriquant ainsi le développement de la ville|crea|destr
l’implantation de cette nature|crea|destr
développement ouest de Washington|crea|modif
fabriquer un territoire d’une taille tout à fait comparable à Boston ou Minneapolis|crea|crea
l’urbanisation actuelle|crea|modif
la constitution d’un paysage, d’une géographie amplifiée|crea|modif
un projet de recomposition d’un territoire|repr|modif
fabriquer des morceaux de ville|crea|crea
l’aménagement futur|crea|repr
l’aménagement des territoires|crea|modif
se construisent des premières tranches|crea|crea
la transformation des territoires|modif|modif
se prépare à accueillir une antenne du musée du Louvre|crea|repr
Amorcer le processus de transformation du territoire d’Euralens|modif|modif
la réalisation d’espaces publics|crea|maint
finissent par créer une continuité paysagère en écheveau|crea|repr
situation de renouveau|repr|repr
l’arrivée à Lens d’une annexe du musée du Louvre|crea|repr
Le découpage en concessions du bassin minier|modif|destr
a constitué un territoire en forme d’archipel|crea|modif
les zones bâties|crea|maint
La requalification paysagère du tissage de ces cavaliers|repr|modif
la densification des pièces de l’archipel|crea|modif
Les premières réalisations|crea|repr
La reconversion du port de l’Eilandje|repr|modif
la qualification de ses espaces publics|modif|repr
L’aménagement des premiers quais|modif|modif
la revitalisation du Vieux-Port|repr|repr
un projet urbain|crea|repr
un parc existant de 30 ha appelé à être requalifié|repr|repr
s’y installeront|crea|repr
la transformation de villes et de territoires|modif|modif
déjà très modifiés et artificialisés|modif|modif
l’essentiel de cet environnement construit|crea|modif
a beaucoup construit|crea|crea
bâtissait|crea|destr
urbanisations produites|crea|modif
rééquilibrer la proportion de paysage et de bâti|repr|modif
réparations successives|repr|repr
projets de transformations|modif|repr
créer un nouveau quartier|crea|crea
puisse devenir un parc|modif|repr
se réalise|crea|repr
se construit|crea|crea
permet de fabriquer de vastes territoires|crea|crea
se transforme par strates|modif|modif
réalise vraiment le réseau des chemins|crea|repr
Progressivement, le mobilier urbain est introduit|crea|maint
possibilités, d’adaptations et d’ajustements|modif|destr
ces grands terrains en mutation|modif|modif
transformer les territoires|modif|modif
ce qui s’y construit|crea|crea
évolutions et aux appropriations différenciées|modif|modif
des transformations successives|modif|modif
en transformation|modif|modif
créer un lien majeur pour Bordeaux : un très vaste parc en centre-ville|crea|repr
La transformation de la rive droite|modif|modif
toute mutation urbaine|modif|modif
un processus très pragmatique de substitutions progressives|modif|repr
est immédiatement plantée|crea|crea
les mutations|modif|modif
accueillir les nouveaux quartiers|crea|modif
L’Arts District, quartier en constante mutation|modif|modif
De nouveaux bâtiments|crea|crea
se construisent|crea|crea
achève un musée, Norman Foster un opéra, et Rem Koolhaas un théâtre</lieu></dyn>|crea|repr
veut faire la «place centrale»|crea|repr
jeu de recompositions permanentes|repr|repr
substituer au parc unitaire|modif|destr
la mutation de grandes infrastructures|modif|modif
se développe un quartier dense et aéré|crea|modif
préserve 30% des bâtiments industriels|maint|maint
Ses nouveaux îlots bâtis|crea|modif
le processus de transformation des territoires|modif|modif
les sites en mutation|modif|modif
peuvent rapidement se transformer|modif|repr
la fabrication de la ville|crea|crea
une réalisation rapide|crea|repr
composerait ainsi un « paysage zéro », paysage de préfiguration|crea|repr
fabrication du paysage zéro|crea|destr
Évolutif et flexible|modif|repr
la progression naturelle du développement du quartier|crea|modif
création de chemins|crea|crea
création de fossés|crea|crea
les chantiers de la réalisation des quartiers|crea|modif
mise en place des lieux de stockage de la terre végétale|crea|crea
constitution d’une pépinière|crea|crea
formera l’empreinte des quartiers à venir|crea|crea
Fabriquer un prototype, un jardin achevé et sophistiqué|crea|repr
quartier en devenir|crea|repr
en évoluant au fur et à mesure des aménagements|modif|modif
avons-nous installé quelques chemins, une pelouse, une végétation temporaire|crea|repr
territoire boulonnais en pleine mutation|modif|modif
évoluera au fur et à mesure des aménagements|modif|modif
sera remplacée plus tard|modif|repr
la réalisation rapide d’un bassin de retenue d’eau|crea|crea
en amorçant la transformation progressive du territoire|modif|modif
nouveaux quartiers|crea|crea
recomposer les territoires|repr|repr
la transformation de ses territoires|modif|modif
construire des villes émergentes|crea|crea
Le projet de recomposition territoriale|repr|repr
a été mis en place|crea|maint
plantation abondante des coteaux|crea|crea
installation de la viabilisation, des voies de circulation|crea|modif
Certains systèmes de parcs ainsi conçus|crea|repr
en reconstituer de plus petits|crea|crea
constituer une extraordinaire structure|crea|repr
la mise en œuvre de tuyaux enterrés|crea|modif
l’installation au coup par coup des différents établissements|crea|destr
la constitution d’un paysage|crea|repr
s’est développé en archipel|crea|modif
gagner en densité bâtie|crea|modif
en qualifiant ses limites boisées|modif|destr
prolonger, d’épaissir les coteaux boisés et les vallons qui vont jusqu’au cœur du plateau|modif|modif
accueillera les voies de toute nature, les infrastructures nouvelles, mais aussi les dispositifs de gestion des eaux|crea|modif
accueillera des «parcs-campus»|crea|repr
Ces éléments urbanisés|crea|modif
les vallées construites|crea|crea
la transformation du plateau de Saclay|modif|modif
transformer le territoire en un chantier sans fin|modif|destr
constituer un paysage artificiel évolutif|crea|repr
édification et de confortement des parcs-campus|crea|crea
la transformation du site|modif|modif
la construction du campus|crea|crea
fabrication de sols fertiles|crea|crea
constitution de sols artificiels|crea|crea
la progression naturelle du développement du parc-campus|crea|maint
les nouveaux bâtiments|crea|crea
ne doivent s’installer|crea|destr
Progressivement, des bâtiments se construisent|crea|crea
devient un parc|modif|repr
s’installent|crea|repr
se développent|crea|modif
prennent place|crea|repr
artificialisation des sols à grande échelle|modif|modif
des créations neuves|crea|crea
l’étalement urbain qui se poursuit inexorablement|crea|modif
l’étalement urbain|crea|modif
une campagne remembrée|repr|repr
recomposer ces territoires|repr|repr
Mettre en place ce nouveau paysage, cette bande continue qui se substituerait à la ligne|crea|destr
la protection des espaces agricoles et naturels|maint|maint
s’en trouveraient modifiées|modif|modif
créerait un réseau de chemins, de fossés|crea|crea
autrefois présents, aujourd’hui disparus|destr|destr
constituer peu à peu de vrais espaces communs|crea|repr
la requalification des 800 km de lisières de l’agglomération parisienne|repr|modif
Les remembrements successifs|repr|destr
procéder par substitution|modif|crea
installer des cheminements|crea|modif
permet d’installer boisements, noues, prairies|crea|repr
créent une ossature paysagère ouverte|crea|crea
petit parc public réalisé|crea|maint
installer des fleurs|crea|maint
tout demeure en place|maint|maint
installer ici des structures paysagères|crea|maint
peuvent se constituer|crea|repr
peuvent à terme composer|crea|repr
une formidable transition|modif|repr
le parc-campus du quartier Palaiseau en voie de constitution|crea|repr
l’édification d’un territoire commun|crea|crea
leur permanence|maint|maint
Ces transformations|modif|modif
ces innombrables rustines|modif|destr
la dilatation de ces sols|modif|crea
avons fabriqué, devant le lac, une immense place en stabilisé, une sorte de plage en ville|crea|modif
avons mis en œuvre un aménagement absolument invisible|crea|maint
créons|crea|crea
la rénovation de la ville d’Almere|repr|modif
a créés|crea|crea
La transformation du plateau Dräi Eechelen|modif|modif
la requalification de son parc|repr|modif
une large rampe fortement plantée|crea|repr
va être bâti|crea|crea
venant reconquérir la «vilaine» usine|repr|destr
trois vastes «jardins d’hiver», dessinés|crea|repr
la transformation de la gare de Strasbourg|modif|modif
sont redéfinis|repr|repr
ménageant en son cœur des endroits où flâner, s’asseoir, attendre, regarder la vie de la gare|crea|modif
une redistribution des accès et circuits de dépose|repr|modif
a modifié en profondeur la géographie naturelle|modif|modif
créer une sorte de géographie unitaire, tout au moins cohérente|crea|maint
Implanter, comme on veut le faire à Saclay, les grandes voies de circulation|crea|modif
va recomposer les parcelles|repr|modif
lotir|crea|modif
cette géographie amplifiée ou transformée|modif|modif
une transformation de la géographie|modif|modif
conçoit une bonne route|crea|crea
la dessine|crea|repr
routes dessinées avec grande intelligence|crea|repr
viabilisent les terrains alentour|modif|maint
la construction des infrastructures|crea|crea
la construction de lourdes infrastructures|crea|crea
constructions|crea|crea
développement des lignes à très grande vitesse|crea|crea
le dessin des infrastructures|crea|crea
essayer de retrouver cette géographie|repr|crea
avons planté une multitude de pins parasols|crea|crea
la création de petits boisements|crea|crea
la réparer|repr|repr
remplacer le faisceau de voies ferrées désaffectées|modif|destr
a façonné le territoire|crea|modif
Les espaces publics, conçus|crea|repr
la transformation du fonctionnement hydraulique|modif|modif
ont donné forme au territoire|crea|modif
le drainage des parties cultivées|modif|destr
est resté stable|maint|maint
briser les digues|destr|destr
digues démantelées|destr|destr
sont ainsi rehaussés|modif|repr
constituant des territoires hors d’eau|crea|destr
étalement urbain diffus|crea|modif
la transformation d’une ancienne zone portuaire|modif|modif
La mutation de ce quartier|modif|modif
la création de trois parcs|crea|crea
destiné à être progressivement urbanisé|crea|crea
planter 12 000 pins parasols|crea|crea
devient ainsi un paysage unitaire, à grande échelle, une pinède organisée en coulisses avec des cadrages sur la ville et la campagne|modif|modif
