dynamique_text|dynamique_type|annotation
était en train de se former|crea|repr
l’évolution typologique du tissu urbain de Florence|modif|modif
la construction territoriale|crea|crea
le développement de la nouvelle zone d’activités de Courtrai|crea|crea
les petites entreprises installées|crea|repr
construction de l’espace|crea|crea
dessiner la ville contemporaine avec son espace fragmenté et peu lisible|crea|destr
avons réalisée|crea|repr
avons proposé de commencer par un grand parc qui suivrait les rails|crea|repr
construisions|crea|crea
la flexibilité et la disponibilité au changement de ces territoires|modif|repr
l’étalement urbain|crea|modif
la réalisation de la grand-place, du cimetière|crea|modif
réalisation des rues et places minérales|crea|modif
se modifie et se transforme|modif|modif
ont modifié le fonctionnement écologique du territoire|modif|modif
la construction de biens communs, d’un avenir commun|crea|repr
refonte de l’espace commun|repr|modif
la construction de visions pour plusieurs régions urbaines|crea|crea
un recyclage radical des tissus existants|repr|modif
vastes territoires urbanisés|crea|modif
des transformations spatiales|modif|modif
deviennent progressivement les lieux problématiques qui absorbent la crise|modif|repr
les faibles perspectives d’amélioration|modif|destr
la nouvelle desserte ferrée|crea|destr
la multiplication des équipements collectifs|crea|modif
des tissus urbains renouvelés|repr|modif
peuvent devenir des espaces de relations|modif|destr
Les grandes transformations en cours|modif|modif
reconstruire des continuités|repr|repr
conformer les lieux en espaces de vie|modif|modif
stables comme temporaires|maint|repr
prolongé|crea|repr
en projet|crea|repr
requalifier des grandes parties de tissu|repr|modif
peuvent construire une métropole de continuités urbaines non banales|crea|crea
la nouvelle expansion de la ville de Moscou|crea|crea
le développement de la ville|crea|modif
La nouvelle expansion sud-ouest de Moscou|crea|crea
formant une partie de ville grande comme Paris intramuros|crea|modif
la nouvelle expansion|crea|crea
la réalisation d’un nouveau parc métropolitain|crea|crea
établit une nouvelle relation entre espaces ouverts et espaces construits|crea|repr
territoires urbanisés|crea|modif
des basses terres généralement asséchées|modif|destr
réutiliser le réseau de canaux|repr|repr
raccorder le nouveau système au réseau principal|crea|crea
Une reforestation|repr|crea
réaménager le paysage rural|repr|modif
relier les espaces et les territoires|crea|destr
de longs processus de transformation|modif|modif
la construction urbaine et des infrastructures|crea|crea
frontières devenues floues ou en voie de disparaître|destr|destr
une côte ou des berges de fleuves érodées|modif|destr
sont modifiés par le temps|modif|modif
peuvent être impermanents|modif|repr
la possibilité ou la nécessité d’une modification radicale de notre espace quotidien|modif|modif
de nouvelles forêts|crea|crea
la re-naturalisation des fleuves|repr|repr
la reconstitution du réseau d’évacuation des eaux|repr|repr
la re-modélisation des terres basses immergées|repr|modif
la restructuration du patrimoine bâti|repr|modif
repenser les cycles de vie des différents ouvrages|repr|repr
subiront une plus grande fatigue|modif|destr
le soin requis|modif|maint
