dynamique_text|dynamique_type|annotation
nouveaux espaces publics|crea|modif
la recomposition du tissu urbain|repr|modif
créait des assemblages urbains plus subtils|crea|repr
aménager la colline|crea|modif
réaliser >ce parc|crea|repr
la restauration du centre ancien dégradé|repr|modif
Le travail|repr|destr
concevoir les jardins|crea|maint
mutations d’un site|modif|modif
construire|crea|crea
relier|crea|repr
développer|crea|maint
préserver|maint|maint
transformations du territoire|modif|modif
la construction|crea|crea
édifier|crea|crea
"tout projet territorial : les typologies, la nature de l’espace public, les ressources constructives, l’invention sur le programme y jouent un rôle essentiel. Nombre de textes et de projets témoignent de l’apport de l’architecture dans ces jeux transcalaires : Aalto, Wright, Kahn, Lewerentz, Plecnik, Rossi, Giancarlo di Carlo, les Smithson et des centaines d’autres ont beaucoup à nous apprendre sur le territoire. J’applique les mêmes principes à l’Académie de Mendrisio, dont la fondation menée par les architectes modernes de l’école tessinoise — Aurelio Galfetti, Mario Botta — reposait sur les apports de la discipline au débat territorial. Enfin, la direction du DSA « architecte-urbaniste » à l’école d’architecture de la ville et des territoires de Marne-la-Vallée, me donne la chance d’actualiser cet entrelacement des échelles à l’aune des enjeux contemporains de l’urbanisme pour former les nouvelles générations à cet exercice. 

[8] Ce cours fera l’objet, en 2015, d’une publication éditée par Mendrisio Accademy Press. [9] Diplôme spécialisé d’approfondissement, destiné à des jeunes diplômés voulant devenir urbanistes. Cette formation a été fondée par Yves Lion en 2007. J’en assume la direction depuis septembre 2013, conjointement avec Éric Alonzo. 

Relier la ville par l’infrastructure, étude du « faisceau » à Nanterre, 2009 (Epadesa). 

Cette méthode ouverte insiste sur les relations multiscalaires sans induire de doctrine sur la forme ni porter de jugement sur la diversité des situations auxquelles le concepteur est confronté. Le pavillonnaire, les tissus suburbains, les espaces naturels, les villages ou les quartiers métropolitains ont tous besoin d’évolutions"|modif|crea
développement des villages|crea|modif
les transformations effectives|modif|modif
La consommation des terres agricoles|crea|destr
la construction de routes|crea|crea
la construction de logements|crea|crea
l’étalement et la consommation des sols|crea|modif
un autre modèle de développement|crea|repr
Les nouveaux quartiers|crea|modif
renouvelant principalement les friches portuaires|repr|repr
édifiées|crea|destr
cette reconquête des friches|repr|repr
former peu à peu un « central park »|crea|repr
la constitution de la ville|crea|crea
sont entretenus et réhabilités|repr|maint
a été édifié|crea|crea
préservant la campagne|maint|maint
sa dynamique de développement|crea|repr
mettre en place les réseaux|crea|repr
une possible transformation de la colline|modif|modif
une reconquête collective d’un site|repr|repr
les lignes que l’on trace|crea|destr
change|modif|crea
deviennent épaisseurs, porosités|modif|destr
les différentes étapes possibles d’une transformation|modif|repr
la réappropriation de la colline|repr|repr
avons conçu nos espaces publics|crea|maint
nouveaux quartiers|crea|modif
tissus urbains à régénérer|repr|repr
Des grilles régulières construites d’un bloc|crea|destr
n’y accueillir que des produits immobiliers standardisés|crea|modif
la substitution progressive, parcelle par parcelle|modif|modif
en laissant une grande place à ce qui existe et demeure|maint|maint
remplaçons ainsi progressivement une partie du bâti|modif|modif
adapter|modif|repr
densifiant|crea|modif
chaque modification|modif|modif
évoluera|modif|modif
doivent se déformer|modif|destr
adopter des formes plus polies|modif|maint
créant une césure dans l’alignement de la rue et un jardin traversant tout l’îlot|crea|modif
La densification|crea|modif
une fragmentation des formes bâties|modif|modif
un parc aménagé|crea|maint
le terrain rehaussé|modif|modif
de nouveaux types de bâtiments|crea|crea
De nouveaux types|crea|destr
la réutilisation de voies héritées du plan d’une ancienne cité-jardin|repr|modif
cette hybridation progressive|modif|repr
mettre en retrait du trottoir les rez-de-chaussée habités|crea|modif
construire une place en briques|crea|crea
deux nouvelles gares|crea|crea
s’installent côte à côte|crea|destr
imaginer le nouveau quartier|crea|repr
la transformation de la RD914|modif|modif
accueillir ces équipements et les 300 000 m2 qui les accompagnent|crea|modif
demeurent|maint|maint
un parc, réalisé|crea|repr
comportera à terme 700 nouveaux logements, une école et des activités tertiaires|crea|crea
sont édifiés au fur et à mesure de la disponibilité des parcelles|crea|crea
laisser libres les deux tiers du sol|maint|destr
aménager les 2 ha de sa parcelle|crea|maint
multiplier par trois|crea|repr
vient d’être construit|crea|crea
une grande opération d’aménagement|crea|modif
la « Platine », construite pour la Cité du design|crea|crea
crée un vaste parc et des liens interquartiers|crea|crea
nouvelle halte ferroviaire|crea|crea
nouvelles constructions|crea|crea
nouveaux édifices|crea|crea
situer les équipements métropolitains|crea|repr
construisit le Finlandia Hall|crea|repr
l’implantation de l’opéra, du musée d’art contemporain de Steven Holl et, vingt ans après, celle du philharmonique et de la bibliothèque</lieu></dyn>|crea|modif
une urbanisation par paquets denses et discontinus|crea|modif
la vallée inondable préservée de l’urbanisation|maint|maint
l’étalement urbain|crea|modif
le paysage réservé|maint|maint
une densification peu respectueuse des parcs, des jardins, des rares champs qui restent|crea|modif
peut construire davantage|crea|crea
densification|crea|modif
n’ont pas vocation à devenir compactes et minérales|modif|modif
des aménagements|crea|modif
le tracé des voies|crea|modif
de nouveaux logements|crea|crea
Territoires en mutation|modif|modif
parc agricole préservé|maint|maint
ont cédé la place à une agriculture plus rentable|modif|destr
est ainsi devenue plus vulnérable|modif|destr
la préservation de cette vaste respiration|maint|maint
Le développement urbain|crea|modif
Les nouveaux terrains urbanisés|crea|crea
Les berges de l’Argens aménagées|crea|maint
forment un réseau vert|crea|repr
ses parcelles se densifier|crea|modif
« à urbaniser »|crea|crea
vals trop urbanisés|crea|modif
une densification hiérarchisée selon les séquences|crea|repr
80 ha de zones à urbaniser|crea|modif
aider à constituer le pôle métropolitain|crea|modif
transformations plus courantes du territoire|modif|modif
réinventer un contexte, un espace public|repr|repr
soit disposé|crea|repr
bonifie son voisinage|modif|maint
les constructions nouvelles|crea|crea
avons induit la forme de chaque objet construit|crea|destr
avons dessinés|crea|repr
bâtir à proximité des centres équipés des cités ouvrières|crea|crea
Construire autrement|crea|crea
demeure habitée et très bien équipée|maint|maint
sont encore tous présents|maint|repr
peuvent s’effondrer|destr|destr
le développement urbain|crea|modif
commencent à apparaître|crea|repr
les constructions|crea|crea
peut permettre d’édifier|crea|crea
construit|crea|crea
les bassins de rétention construits|crea|crea
sont implantées|crea|repr
construire plus de 1 000 logements|crea|crea
Le nouveau quartier|crea|modif
inventer un paysage|crea|crea
ces dizaines d’hectares sagement préservés|maint|maint
l’aménagement urbain|crea|maint
le plan pour un quartier de 700 logements proches de la gare, sur un parc boisé, au bord de la Scarpe, prudemment acquis par la Ville, se réalise|crea|modif
Cessons de construire des rues inutiles|crea|destr
la dispendieuse couverture des voies|crea|destr
une voie nouvelle|crea|crea
urbaniser sans nouvelles voies|crea|modif
est bien réalisée|crea|repr
les mutations de ce site|modif|modif
l’arrivée du métro|crea|crea
en préservant le foncier abondant|maint|maint
ont permis de créer des allées nouvelles|crea|crea
le campus, dessiné par l’architecte René Egger en 1969|crea|repr
complété par des logements étudiants|crea|repr
ce sol public ainsi maillé et préservé|maint|maint
la réalisation de 700 m de promenade piétonne dominant les voies d’Éole, dite « balcon des Groues », de la place de la gare|crea|modif
le nouveau quartier|crea|modif
renouvellement urbain d’un quartier|repr|modif
les champs préservés|maint|maint
les Izards renouvelés|repr|repr
les cultures préservées|maint|maint
nouveaux logements|crea|crea
La nouvelle place Micoulaud|crea|repr
Construction progressive de la place Micoulaud|crea|crea
la nouvelle place|crea|repr
les meilleures terres agricoles restant encore|maint|destr
placer|crea|maint
quartier des Izards, ainsi renouvelé|repr|modif
sont protégés|maint|maint
renouvellement des sites de chaque bailleur|repr|repr
démolitions|destr|destr
immeubles nouveaux|crea|crea
La place Micoulaud, réalisée en brique posée sur lit de sable|crea|repr
le premier aménagement réalisé, livré en 2014|crea|repr
accueillera le centre de balnéothérapie de cette ville d’eau|crea|repr
avons situé les nouveaux logements|crea|maint
Cette mutation manifeste mais discrète|modif|modif
réalisons les espaces publics|crea|repr
les places du cœur de Saint-Étienne, réalisées en béton|crea|destr
parc portuaire achevé|crea|repr
des transformations plus patientes|modif|repr
les nouveaux logements|crea|crea
La ville dessinée|crea|repr
La réappropriation de 30 ha de quais|repr|repr
a recréé un lien désormais accessible à tous les habitants|repr|repr
avons ici dessiné les espaces publics|crea|repr
l’implantation des programmes — centre commercial dessiné par Reichen et Robert, Centre aquatique de Jean Nouvel, logements coordonnés par Bruno Fortier, etc|crea|modif
Le maintien des formes de radoub|maint|maint
concevoir la place de la Mairie, la place Dorian et les rues adjacentes du cœur de ville|crea|modif
avaient été réalisées précédemment|crea|destr
déformations du tissu urbain voisin|modif|modif
les territoires en mutations|modif|modif
une ressource refondatrice pour les territoires|repr|repr
sa préservation|maint|maint
l’urbanisation|crea|modif
la « sanctuarisation » des territoires agricoles|maint|repr
peut ménager une grande promenade habitée|crea|maint
le souffle métropolitain que Bordeaux a su reconquérir|repr|repr
un renouvellement considérable|repr|repr
n’était que peu constructible|crea|destr
un aménagement|crea|modif
Restaurer la biodiversité|repr|repr
des transformations à venir|modif|repr
Le parc de la Ereta, conçu avec Marc Bigarnet|crea|repr
la réalisation d’un parc et de ses édicules|crea|crea
réaliser|crea|repr
Le projet transforme un problème urbain|modif|repr
renouveau de la ville constituée|repr|repr
la réhabilitation du centre historique d’Alicante|repr|modif
opérations de logements, équipements et espaces publics|crea|modif
devient promenade et support de formes architecturales adaptées à l’inondation|modif|repr
tend à s’étaler|crea|modif
Les travaux de confortement des digues|modif|destr
l’actualisation de l’infrastructure de l’A10 qui sépare Tours de Saint-Pierre-des-Corps|modif|modif
développement urbain|crea|modif
permettrait de construire davantage|crea|crea
mises en œuvre|crea|modif
deviendrait ainsi un trait d’union|modif|repr
les aménagements|crea|modif
Ce développement|crea|modif
l’étalement périphérique|crea|modif
la métropolisation|crea|modif
la métropolisation de cette région naguère rurale|crea|modif
ménageaient les espaces ouverts|crea|repr
voies nouvelles|crea|repr
positionnaient les nouveaux logements|crea|modif
implanter dix logements abordables|crea|crea
l’urbanisation douce|crea|maint
la croissance contrastée des communes|crea|modif
les nouvelles voiries|crea|modif
