dynamique_text|dynamique_type|annotation
re-territorialiser|repr|modif
la mise en chantier de la grande pelouse horizontale|crea|crea
l’urbanisation d’une partie des coteaux de la boucle de l’Oise|crea|modif
le chantier du parc du Sausset|crea|repr
les processus d’évolution de ses milieux|modif|repr
réoccupés|repr|repr
ces territoires en mouvement|modif|repr
sa transformation|modif|modif
développement de l’Euregio Meuse-Rhin, la Métropole verte|crea|repr
le développement de nombreux projets intercommunaux ciblés|crea|modif
la mutation de l’agriculture|modif|modif
opérations d’aménagement|crea|modif
aménagement de communes rurales, de bourgs ou de petites villes|crea|modif
un déploiement territorial transfrontalier|crea|repr
Réaliser des ouvrages|crea|crea
la réalisation du parc Aqua Magica|crea|repr
la réalisation du jardin des Acacias|crea|repr
sera réalisé|crea|repr
Territoires en mouvement|modif|modif
fabrication de la ville|crea|crea
peut se développer un quartier|crea|modif
la conception relative à de vastes territoires transnationaux|crea|repr
les paysages fluctuants|modif|repr
la fabrication de la ville|crea|crea
créer des espaces publics|crea|crea
l’immense besoin de construction de logements|crea|crea
un projet conçu et écrit|crea|repr
le paysage mouvant|modif|repr
l’invention de morphologies urbaines adaptées au contexte|crea|repr
Formation du territoire de Cayenne|crea|crea
l’implantation des grandes infrastructures de transports franciliens|crea|crea
la future A14|crea|crea
les infrastructures actuelles et futures|crea|destr
une conception par « strates et horizons »|crea|repr
l’infrastructure projetée en viaduc|crea|crea
une canopée générée|crea|crea
la plantation d’un nouveau parc boisé|crea|crea
des jardins partagés et des émergences architecturales existantes et à venir|crea|repr
un nouvel horizon urbain|crea|repr
cet aménagement anticipateur de l’autoroute|crea|repr
cette nouvelle infrastructure|crea|crea
l’aménagement d’un parc|crea|crea
des projets d’aménagement et de développement territorial|crea|repr
le processus de reconversion de sites industriels|repr|modif
l’invention d’un nouveau paysage|crea|repr
inventer de nouveaux paysages urbains|crea|repr
développement de nouvelles natures urbaines|crea|modif
La réalisation du jardin du Pavillon français|crea|repr
construit|crea|crea
réaménagement des berges du Huangpu|repr|modif
la réappropriation des rives du Huangpu|repr|repr
cette ville en densification permanente|crea|modif
au linéaire de quais industriels devenus peu à peu friches|modif|destr
un parc forestier de 250 hectares en cours de réalisation|crea|repr
de nombreux projets de grands sites et d’extensions urbaines|crea|modif
le réaménagement de Pershing Square|repr|modif
un plein essor|crea|modif
s’est totalement paupérisé|modif|destr
est en pleine renaissance|repr|repr
Cette rénovation|repr|modif
cette dynamique de redéveloppement|repr|modif
le désir d’un nouveau modèle urbain|crea|repr
impacter le parking|modif|modif
la création de « l’espace démocratique »|crea|crea
la réalisation de la place|crea|repr
les bureaux en construction|crea|crea
mener à terme la réalisation|crea|repr
espace déjà réaménagé|repr|modif
la revitalisation de l’espace public barcelonais|repr|repr
l’achèvement de la Diagonal|crea|destr
la végétalisation des toitures et façades|modif|repr
Métamorphose des berges industrielles du fleuve Huangpu|modif|modif
un vaste processus de réaménagement de la rive droite du fleuve Huangpu|repr|modif
reconquérir|repr|repr
des berges jusqu’ici peu aménagées|crea|modif
redéfinit l’espace de la berge|repr|modif
une mégalopole en perpétuelle mutation|modif|modif
est ainsi amenée à devenir, dans toute son épaisseur, un espace de la vie quotidienne|modif|modif
quartiers en devenir|crea|repr
aménagement de quatre secteurs de la rive droite du Huangpu|crea|modif
Création d’une place-parc|crea|crea
la création d’un parking souterrain|crea|crea
