dynamique_text|dynamique_type|annotation
l’obsolescence accélérée d’un bâtiment mal conçu|destr|destr
la construction de bâtiments hypercompacts donc épais|crea|crea
chaque bâtiment neuf|crea|crea
réaliser des opérations réussies|crea|maint
la transition des territoires|modif|modif
avons fait émerger le premier projet en structure bois|crea|crea
densifier certains territoires|crea|modif
la construction durable|crea|crea
conception d’un bâtiment|crea|crea
la restauration des continuités et des cycles naturels|repr|repr
les morphologies bâties|crea|repr
la transformation du territoire|modif|modif
une urbanisation|crea|modif
l’extension du réseau de chaleur|crea|crea
la production générique du logement|crea|crea
l’épaisseur réduite des bâtiments|modif|modif
la permanence d’une cohérence globale d’aménagement|maint|maint
une conception architecturale|crea|repr
des ajustements marginaux|modif|modif
concevoir une forme urbaine|crea|crea
la conception urbaine puis architecturale|crea|repr
la construction neuve|crea|crea
les bâtiments neufs|crea|crea
peut continuer à vouloir optimiser le neuf|modif|repr
ont eu pour conséquence d’impacter la morphologie bâtie|crea|modif
la forme urbaine qui pouvait en résulter|crea|repr
le projet de la rue Frémicourt|crea|repr
génère des formes bâties très poreuses|crea|modif
une haute réversibilité|repr|repr
percer un pignon ou un mitoyen|modif|destr
relier deux bâtiments|crea|modif
une réorganisation multiple de l’accessibilité|repr|modif
des facteurs de mutabilité inspirants|modif|repr
la réintervention sur le bâti|repr|repr
en minimisant les déconstructions|destr|repr
l’endurance du « système haussmannien »|maint|repr
perdurera|maint|maint
sa tabula rasa|destr|destr
réinventer en profondeur les bases politiques, culturelles et esthétiques de la société|repr|repr
la fabrique haussmannienne de la ville|crea|modif
les bâtiments récents|crea|destr
réinventer une ville de la non-hostilité|repr|repr
la densification des tissus urbains|crea|modif
nouveaux logements|crea|crea
l’étalement urbain|crea|modif
densifier|crea|modif
l’actuel épaississement des bâtiments|modif|modif
augmenter la compacité des bâtiments|modif|modif
préserver certains échanges entre bâtiments|maint|maint
préservant des surfaces de contact direct|maint|maint
Le nouveau bâtiment|crea|crea
soigner un rapport au sol ou au sous-sol (nappe phréatique)|modif|repr
aller, sur tous les territoires, vers une plus grande qualité de la construction|crea|maint
l’amélioration du logement|modif|modif
travaux réalisés|crea|destr
leurs travaux de réhabilitation|repr|repr
les différentes méthodes de réhabilitation souhaitables|repr|repr
réemploi des bâtiments existants|repr|modif
nouvelles gares tgv|crea|crea
construire plus vite et moins cher|crea|crea
aboutira aux 4 000 logements de La Courneuve|crea|repr
la construction d’alors|crea|crea
les premiers écoquartiers|crea|repr
une Zac en cours|modif|modif
en train de transfigurer|modif|modif
table rase de ce quartier|destr|destr
le maintien du site|maint|maint
les opérations de construction et d’aménagement|crea|crea
logements réhabilités|repr|modif
la construction et de l’aménagement|crea|crea
les Opérations programmées d’amélioration de l’habitat|modif|repr
la requalification de l’habitat privé ancien|repr|modif
Opérations programmées d’amélioration thermique des bâtiments|modif|maint
les opérations de construction|crea|crea
la reconstruction du lycée Gallieni|repr|repr
reconquête de secteurs de friches|repr|repr
la mutation des territoires|modif|modif
la ville nouvelle de Zenata|crea|crea
le réaménagement des abords de Notre-Dame de Paris|repr|modif
des opérations neuves|crea|destr
ses mutations|modif|modif
en préservant sa structure|maint|maint
mutations potentielles en matière d’usage, de connexion|modif|repr
toute perturbation non planifiée|modif|destr
Concevoir la ville « sous contraintes »|crea|maint
l’optimisation des morphologies urbaines de plusieurs projets|modif|modif
un projet collectif et responsable de construction d’un territoire|crea|repr
un réseau de « vides » à sanctuariser|maint|repr
armature à instituer|crea|maint
implantation des constructions et des activités humaines|crea|crea
réaliser des territoires durables|crea|maint
faut penser la ville|crea|repr
perdurer|maint|maint
Durer|maint|maint
se transformer|modif|modif
la transition écologique des territoires|modif|modif
La restauration des écosystèmes naturels|repr|repr
restaurer les cycles écologiques naturels|repr|maint
ont pu être altérés par des décisions malheureuses|modif|destr
en posant des limites et des frontières|crea|destr
en définissant des parcelles|crea|maint
en érigeant des murs|crea|destr
créent de la rupture et de la discontinuité|crea|destr
déconstruire la séparation|destr|repr
créer des non-discontinuités|crea|repr
seraient à restaurer|repr|repr
les projets d’aménagement|crea|repr
la transition du territoire hôte|modif|modif
Les opérations d’aménagement|crea|repr
constructibilités|crea|repr
renaturation|repr|destr
reconquête de ces secteurs en friche|repr|repr
édifier jusqu’à 1 million de m2|crea|crea
les opérations d’aménagement|crea|modif
l’une des plus grosses opérations d’aménagement|crea|modif
le rétablissement d’une continuité urbaine entre Bercy et Charenton|repr|repr
transformer un paysage industriel|modif|modif
reconquérir un territoire contraint par des infrastructures ferroviaires et industrielles|repr|modif
accueillir un programme mixte d’un million de mètres carrés|crea|crea
développer des formes urbaines particulières et des constructions spécifiques|crea|crea
créent leur propre « sol »|crea|crea
la transformation du quartier|modif|modif
l’aménagement|crea|modif
la construction|crea|crea
la conception|crea|repr
le projet d’aménagement de Maine-Montparnasse|crea|repr
transformation du Grand Pari(s)|modif|modif
expansion de Paris|crea|crea
l’hyper-compactification et de l’hyper-densification de la ville-centre de la métropole|crea|modif
Son implantation|crea|repr
la création d’oasis rafraîchissantes|crea|crea
villes nouvelles décidées|crea|repr
fondation de la ville|crea|crea
l’opération|crea|repr
constructions spontanées|crea|crea
dessine >la ville comme un « climatiseur territorial naturel »|crea|repr
ce nouveau quartier|crea|crea
a déjà esquissé une armature générale du quartier|crea|repr
ont été dessinées avec le vent|crea|destr
ont été agencées pour se protéger du soleil|crea|maint
la médina réinterprété de façon contemporaine|repr|repr
dessiner de façon scientifique un quartier-ville|crea|crea
est devenue une écocité du Sud|modif|modif
Le projet pour la ville nouvelle de Foum El Oued|crea|repr
fabriquer la ville de demain|crea|crea
sont considérablement renforcées|crea|maint
créant des épaisseurs ombragées|crea|crea
restauration des écosystèmes naturels|repr|repr
les urbanisations déjà en place|crea|maint
sanctuariser des corridors écologiques, couloirs de fraîcheur|maint|maint
les lieux de densification acceptable|crea|repr
les interfaces bâties|crea|repr
opérations neuves|crea|crea
une des plus vastes opérations d’aménagement de France|crea|modif
projet bâti|crea|repr
moyens d’intervention sur le tissu faubourien|modif|modif
la rénovation énergétique|repr|modif
les projets de bâtiments et de territoires|crea|repr
l’installation d’une chaufferie bois et d’une boucle d’énergie|crea|crea
la réalisation du quartier|crea|modif
les logements neufs|crea|crea
