phrase_id|balise_lieu_obj|balise_lieu_loc|balise_act|balise_doc|balise_perc|balise_tps|balise_dyn|phrase
5.0||||||| Le projet commence lorsque je visite un site ,| Le projet commence lorsque je visite un site , parfois avant , à partir de l' idée que je m'en fais – une description , une photographie , une chose lue ou dont j'ai entendu parler . 
6.0||||||| la première esquisse .|Cela ne veut pas dire que tout sera gardé de  la première esquisse . 
8.0||||||| j'ai faits |La plupart des éléments des projets que  j'ai faits  étaient présents dès la première esquisse . 
10.0||||||| désire être |Un site vaut pour ce qu'il est , ce qu'il peut ou  désire être  – deux choses qui s'opposent peut-être , mais qui ne sont jamais sans rapport . 
11.0||||||| n'y a pas de désert , si l' on est quelque part .|Il  n'y a pas de désert , si l' on est quelque part . 
14.0||||||| l' architecte des petites œuvres .|On dit de moi que je dessine dans les cafés , que je suis  l' architecte des petites œuvres . 
15.0||||de grands programmes||| l' expériencede grands programmes, je ne les trouve pas vraiment plus difficiles.|Ayant fait  l' expériencede grands programmes, je ne les trouve pas vraiment plus difficiles. 
16.0||||||| fais des projets |Oui , c'est vrai , je  fais des projets  dans les cafés , pas comme Toulouse-Lautrec dans les cabarets , ni comme un Prix de Rome dans les ruines antiques . 
18.0||||||| l' un des seuls lieux où l' on peut être anonyme ,|À Porto , c'est  l' un des seuls lieux où l' on peut être anonyme , et se concentrer . 
19.0||||||| l' interdisciplinarité , à la réglementation , aux catalogues de composants préfabriqués ,|Ce n'est pas pour essayer d' échapper aux réunions , à  l' interdisciplinarité , à la réglementation , aux catalogues de composants préfabriqués , aux ordinateurs ou aux réunions d' habitants . 
20.0||||||| pour dépasser ce avec quoi et ce pourquoi on travaille .|Mais  pour dépasser ce avec quoi et ce pourquoi on travaille . 
22.0||||||| mes projets ont provoqué de longs débats avec des groupes organisés de résidents ou de futurs résidents .|Certains de  mes projets ont provoqué de longs débats avec des groupes organisés de résidents ou de futurs résidents . 
23.0||||||| la révolution de 1974 ,|Au Portugal qui émergeait de  la révolution de 1974 , il n'était même pas question de le vouloir ou pas . 
24.0||||||| l' habitat à Porto , à Lisbonne ou dans l' Algarve , une fois les chaînes brisées ,|Le combat pour  l' habitat à Porto , à Lisbonne ou dans l' Algarve , une fois les chaînes brisées , dépassait de loin les limites de la maison , du district ou de la coopérative . 
27.0||||||| un refus de se lancer dans une reformulation nouvelle des désirs – que ce soient ceux des autres ou les nôtres .|Ce qui a été un profond mouvement dégénère en un confortable alibi , un modérateur aliénant ,  un refus de se lancer dans une reformulation nouvelle des désirs – que ce soient ceux des autres ou les nôtres . 
29.0||||||| l' architecture traditionnelle de notre région .|On dit de mon travail , celui d' avant ou d' aujourd'hui , qu'il est fondé sur  l' architecture traditionnelle de notre région . 
30.0||||||| l' obstination d' un artisan ou l' opinion d' un passant , qui regarde et qui juge .|Ce qui est vrai , c'est que les bâtiments m'ont fait découvrir  l' obstination d' un artisan ou l' opinion d' un passant , qui regarde et qui juge . 
