phrase_id|balise_lieu_obj|balise_lieu_loc|balise_act|balise_doc|balise_perc|balise_tps|balise_dyn|phrase
3.0||||||| l' inauguration de la Cité de l' architecture et du patrimoine ,|A l' occasion de  l' inauguration de la Cité de l' architecture et du patrimoine , le 17 septembre 2007 , Monsieur Nicolas Sarkozy , Président de la République a affirmé toute l' importance qu'il convient d' accorder à la qualité architecturale , urbaine et paysagère du cadre de vie des Français . 
4.0|||||||" qu'un ""nouveau projet d' aménagement global du grand Paris"""|"A cette occasion , il a exprimé le souhait  qu'un ""nouveau projet d' aménagement global du grand Paris"" puisse faire l' objet d' une consultation internationale et mobiliser ainsi prochainement les compétences professionnelles d' une dizaine d' agences d' architecture et d' urbanisme . "
5.0||||||| l' inauguration du Satellite n° 3 de l' aéroport de Roissy Charles-de-Gaulle ,|Ont ainsi été précisées les orientations esquissées lors de  l' inauguration du Satellite n° 3 de l' aéroport de Roissy Charles-de-Gaulle , le 26 juin 2007 . 
6.0||||||| l' avenir du Paris métropolitain |"Cette consultation internationale est une consultation de Recherche et Développement ( R&D ) , pour  l' avenir du Paris métropolitain  ,, qui se donne pour ambition de réunir les éléments de connaissance et les propositions stratégiques d' aménagement conduisant effectivement à l' élaboration collective d' un “diagnostic prospectif , urbanistique et paysager , sur le grand Paris à l' horizon de vingt , trente voire quarante ans "". "
7.0||||||| développement raisonné de la métropole contemporaine .|Engagée par l' État , cette consultation internationale est une phase indispensable de mobilisation des compétences susceptibles de procurer la matière de cette , intelligence spatiale du territoire , sans laquelle il n'y a pas de  développement raisonné de la métropole contemporaine . 
8.0||||||| d' expertise fondamentale qui permet au , diagnostic prospectif ,|Elle est une étape  d' expertise fondamentale qui permet au , diagnostic prospectif , d' être au carrefour de la recherche et de l' action , du scientifique et du politique . 
9.0||||||| d' une ambition commune |Elle doit permettre de réunir les savoirs et savoir-faire autour  d' une ambition commune  qui , à ce stade préliminaire , doit être largement partagée . 
10.0||||||| s'effectue en concertation avec l' ensemble des collectivités territoriales concernées .|C'est pourquoi il s'agit d' une démarche conduite par l' État qui  s'effectue en concertation avec l' ensemble des collectivités territoriales concernées . 
12.0||||du Programme interdisciplinaire de recherche sur “||| L'organisation de cette consultation internationale de R&D sur , Le grand pari de l' agglomération parisienne ,|" L'organisation de cette consultation internationale de R&D sur , Le grand pari de l' agglomération parisienne , s'inscrit dans le cadre d' une politique scientifique existante , au seindu Programme interdisciplinaire de recherche sur “L'architecture de la grande échelle"" ( AGE ) conçu et mis en œuvre depuis 2006 par le ministère de la Culture et de la Communication ( MCC ) en partenariat avec le ministère de l' Ecologie , de l' Energie , du Développement durable et de l' Aménagement du territoire ( MEEDDAT ). "
13.0||||Ce programme||| les travaux de recherche scientifique de huit équipes par an pendant quatre ans.|Ce programmepermet aujourd'hui de financer  les travaux de recherche scientifique de huit équipes par an pendant quatre ans. 
