phrase_id|balise_lieu_obj|balise_lieu_loc|balise_act|balise_doc|balise_perc|balise_tps|balise_dyn|phrase
2.0||||||| l' abandon |Quand j'étais enfant et que je vivais dans une vallée des Alpes , j'avais pour habitude d' explorer avec une amie le versant montueux en face de chez moi , où  l' abandon  marquait les champs autrefois cultivés en terrasse , les chemins et les maisons en pierre . 
3.0||||||| une catastrophe avait été annoncée et avait entraîné une fuite rapide et généralisée .|Tout était resté là , comme si l' on s'était absenté pour une courte période , ou comme si  une catastrophe avait été annoncée et avait entraîné une fuite rapide et généralisée . 
4.0||||||| s'étaient consommées |À l' intérieur , des objets , des meubles , des images parlaient des vies qui  s'étaient consommées  dans des conditions souvent très dures . 
5.0||||||| passions des après-midi entiers en exploration |Nous , qui  passions des après-midi entiers en exploration  sans que personne s'en soucie , nous nous racontions des histoires à partir de ces traces et de ces lieux autrefois habités . 
6.0||||||| de plus en plus abandonnée ,|La montagne était  de plus en plus abandonnée , au profit de la plaine où la , ville diffuse , était en train de se former avec la nouvelle richesse qui touchait aussi cette vallée , dans l' Italie du boom économique . 
7.0||||||| la construction territoriale |Plus tard , à l' école d' architecture de Florence , j'ai eu la chance de suivre pendant quelques années les recherches de Gianfranco Caniggia , le meilleur élève de Saverio Muratori , un professeur important , entouré d' assistants , qui donnait des cours fascinants non seulement sur l' évolution typologique du tissu urbain de Florence , mais aussi sur  la construction territoriale  dans le temps long . 
8.0||||||| l' élaboration de théories |Pendant les trois ans au cours desquels je l' ai suivi , j'ai eu le temps d' élaborer une position critique envers ses théories , mais aussi d' en apprécier la rigueur et j'ai compris que  l' élaboration de théories  faisait partie du métier de l' architecte . 
9.0||||||| les autres professeurs de projet |Tous  les autres professeurs de projet  m'ont immédiatement paru en être dépourvus . 
10.0||||||| un détail de construction |Après mon diplôme et quelques expériences de bottega , c'est-à-dire en agences , j'ai renforcé cette conviction : le fait même de dessiner  un détail de construction  nécessite l' élaboration d' une théorie . 
11.0||||||| La Spezia et Val di Magra | La Spezia et Val di Magra  Schéma des typologies : la ,quadra, et son complément , le système en peigne de la colline . 
12.0||||Plan de coordination territoriale de La Spezia et |||Plan de coordination territoriale de La Spezia et Val di Magra ,|Plan de coordination territoriale de La Spezia et Val di Magra , 1993. 
14.0||||||| j'ai commencé à collaborer avec Bernardo Secchi que je lisais étudiante dans les pages de la revue Casabella .|Durant cette période ,  j'ai commencé à collaborer avec Bernardo Secchi que je lisais étudiante dans les pages de la revue Casabella . 
15.0||||||| l' analyse de la plaine entre Florence et Prato ,|C'est par  l' analyse de la plaine entre Florence et Prato , à la fin des années 1980 , que nos discussions ont commencé . 
16.0||||||| les questions de structure territoriale |L'enseignement de Caniggia rendait pour moi cette échelle et  les questions de structure territoriale  très lisibles , et cela l' a surpris . 
17.0||||||| La Spezia( en Ligurie)|Il travaillait alors à  La Spezia( en Ligurie) où il avait constitué une équipe coordonnée par des architectes locaux plus expérimentés , mais distants de son école de pensée . 
18.0||||était un plan territorial||| une équipe de jeunes architectes enthousiastes |Je me suis alors retrouvée à gérer  une équipe de jeunes architectes enthousiastes  sans même savoir alors ce qu'était un plan territorial. 
19.0||||||| la province de La Spezia et du Val di Magra |Celui de  la province de La Spezia et du Val di Magra  a été pour moi une occasion formidable pour le comprendre . 
