|sentence|dynamic
0|Le paysage: une expérience pour construire la ville|1
1|Une part importante de mon travail et de mes réflexions se situe désormais aux limites des territoires de la ville et de la campagne ou, plus largement, du paysage : à la mitoyenneté, aujourd’hui conflictuelle, entre ces deux mondes qui s’ignorent et se repoussent, alors que se formuleront précisément là, demain, les projets de réconciliation que je souhaite.|0
2|J’ai, maintenant, acquis la conviction que la connaissance et la pratique du projet sur le paysage et, notamment, sur la « campagne », peuvent être utiles à la réflexion et aux projets sur le territoire de la ville contemporaine, c’est-à-dire sur la périphérie, sur la « suburbanité ».|1
3|J’ai forgé lentement cette conviction au long d’un parcours fait de rencontres, de projets et de ruptures parfois.|0
4|Elles commencent à l’École des Arts Décoratifs, dont je retiens deux apprentissages déterminants : la pratique et le goût du dessin, la pratique et le goût du « projet ».|0
5|Pour aider au financement de mes études, j’ai travaillé deux ou trois ans chez un architecte d’intérieur, Bernard Rousseau.|0
6|Ancien collaborateur de Le Corbusier et Charlotte Perriand, il transformait des appartements en ne gardant que l’enveloppe des murs et les structures porteuses.|1
7|À partir de dessins et de maquettes, chaque configuration de la cellule, chaque dimension, chaque meuble, chaque objet était « négocié » et retravaillé avec les futurs occupants.|0
8|Avec lui, j’ai développé une exigence sur l’agencement, la mesure, la proportion, sur la référence au corps, car nous étions sous l’emprise formidable et stricte du « modulor ».|0
9|Dans ce travail précis, qui visait à augmenter la capacité d’usage d’une enveloppe bâtie, à expérimenter tout le volume disponible, j’ai élaboré les premiers outils nécessaires à la traversée des échelles qui me seront utiles, plus tard, dans le projet de paysage.|1
10|À ce moment, j’ai compris que notre métier relevait davantage de la transformation que de l’invention, et que la conception à partir du contexte était décisive : « l’architecte n’invente pas, il transforme » dit Alvaro Siza.|1
11|Je suis heureux de constater que la réflexion sur mon parcours incline ma mémoire à mettre au premier plan de mon expérience la question du logement, de l’habiter.|0
12|J’entre ensuite comme salarié dans une équipe pluridisciplinaire, l’AUA , l’Atelier d’Urbanisme et d’Architecture, une société civile coopérative qui réunissait des urbanistes, des architectes, des décorateurs, des ingénieurs.|0
13|Dès les premiers instants, et pour toujours, j’ai acquis la certitude que l’architecture, la ville seraient au centre de mes préoccupations.|0
14|La ville, bien sûr, mais surtout la banlieue, car l’AUA était résolument installé dans, et travaillait pour, la banlieue.|0
15|Peu de temps après mon arrivée, ma rencontre avec le paysagiste Jacques Simon, proche collaborateur de l’AUA , fut si fulgurante que notre association fut immédiate.|0
16|Dans l’urgence, j’entre alors dans une nouvelle dimension que je ne quitterai plus : celle du Paysage.|0
17|Son travail de cette époque l’apparente aux « naturalistes » allemands dont les projets figuraient dans la revue « Garten und Landschaft ».|0
18|Fils de forestier, il acquis très jeune une grande connaissance du milieu vivant, des plantes, des arbres, dont il fait des dessins superbes.|0
19|Photographe et voyageur, il rapporte des témoignages précis sur de très grandes villes et leurs banlieues.|0
20|Avec une santé et une énergie considérable, il édite rédige et bricole lui-même une revue de paysage très éclectique.|0
21|Avec lui, je conforte mon expérience des différentes échelles et des allers et retours nécessaires : de la minutie des objets – meubles ou cloisons – aux très grands espaces ouverts qu’il me fait découvrir.|0
22|J’ai appris vite, et donc confusément d’abord, l’agencement des divers plans qui organisent les proches et les lointains et qui, de porosités en porosités, en fabriquent les horizons.|0
23|Simon connaît la mesure qui le sépare de chaque chose, même la plus lointaine.|0
24|Il tient ce don de son père qui, du sol, savait évaluer avec précision la taille des plus grands arbres.|0
25|Il m’initia encore au passage qui va de l’espace au temps,...|0
26|au temps que prennent les choses du milieu pour se constituer, pour se transformer.|1
27|Je me souviens encore de son excitation au premier débourrement des saules marsault...|0
28|Il y voyait le signe d’un printemps que l’on n’arrêterait plus.|0
29|Puis, je retourne à l’AUA où, comme associé cette fois, j’ai réalisé les projets d’aménagement de nombreux espaces extérieurs.|1
30|À la différence de ceux que nous faisions avec Simon, je ne travaillais plus sur des plans-masses achevés, je collaborais à leur établissement.|0
31|Après Bernard Rousseau, l’AUA et Jacques Simon, le point de vue que j’avais alors était évidemment très différent de celui de mes confrères issus des écoles de paysage et, notamment, de celle de Versailles.|0
32|Je leur reprochais leur manque d’intérêt et de culture pour la ville, où ils introduisaient tous les signes du démenti.|0
33|Ils puisaient leur inspiration et leurs références dans l’idée qu’ils se faisaient de la « Nature » et collaboraient sans se poser de questions à l’idéologie des « espaces verts ».|0
34|Voulant compenser les effets d’une urbanité trop dure, ils y introduisaient une violence supplémentaire.|0
35|Autre élément fondateur pour moi : le numéro 87-88 de la revue Edilizia Moderna, intitulé « La forma del territorio », qui paraît en 1965.|0
36|Un article de Vittorio Gregotti ouvrait les différentes rubriques, où des images d’urbanisme se mêlaient à des photos aériennes de grands territoires, naturels ou urbains, et à d’autres photos de paysage dont, le plus souvent, l’agriculteur était le maître d’œuvre.|0
37|Gregotti disait, me semble-t-il, que « la géographie volontaire », l’agriculture, sont les formes premières de l’architecture et de la ville.|0
38|Il dit, et de cela je suis sûr, que l’origine de l’architecture n’est pas la hutte, la cabane primitive mais la pierre dressée sur un champ.|0
39|Une antichambre de la ville : le parc de la Villeneuve de Grenoble|0
40|Notre amitié fut immédiate, et je lui proposai de me rejoindre à l’AUA, au sein duquel nous formerons un peu plus tard, avec Borja Huidobro, le groupe « CCH, paysagistes urbains ».|0
41|C’est le projet du quartier de l’Arlequin à la Villeneuve de Grenoble qui nous occupe le plus.|1
42|Georges Loiseau et Jean Tribel, architectes à l’AUA, conduisaient cette opération.|1
43|Nous devions en étudier la « rue » et le parc au centre du quartier.|1
44|Ce projet revendiquait une forte densité, une grande continuité formelle du bâti.|0
45|Il voulait créer de véritables espaces publics : la rue, le parc, une distribution qui favorisait la mixité, l’intégration des équipements à partir de la rue.|1
46|Il proposait la mise en place, dans les écoles, de nouvelles pédagogies.|0
47|Cette utopie a, pour partie, fonctionné quelques années, puis s’est progressivement défaite.|0
