|sentence|dynamic
0|Dans un domaine aussi complexe que l’urbanisme, et face à des situations urbaines aux dimensions singulières toujours très fortes, les connaissances ne peuvent se constituer que dans une confrontation régulière à des logiques de projet.|0
1|Celui-ci opère en effet comme un analyseur : il révèle les potentialités d’un site, d’une situation temporelle, d’un milieu d’acteurs, fait s’exprimer les besoins, les demandes, les aspirations, rend visibles et intelligibles les logiques des divers intervenants.|0
2|Une longue implication sur un même sujet peut certes produire une connaissance très fine, mais elle risque aussi de ne plus permettre de percevoir un certain nombre de choses et de bénéficier d’expériences différentes.|0
3|Changer assez régulièrement le point de focalisation de ses recherches et de ses actions peut aider à y remédier.|0
4|S’introduire sur des thèmes et dans des milieux nouveaux permet souvent d’y apporter d’autres regards, d’autres questionnements, et l’expérience d’autres domaines que ceux des spécialistes de longue date.|0
5|Cet éclectisme, dans le sens de « qui ne se limite pas à une catégorie d'objets », est une méthode particulièrement utile dans un domaine comme l’urbanisme qui, nécessairement, confronte à des problèmes et à des acteurs variés.|0
6|Mais l’éclectisme présente également le risque de l’éparpillement et de la superficialité.|0
7|Il importe non seulement d’y être légitime mais de s’y confronter à la critique.|0
8|4. Convictions, passage à l’acte, confrontation au réel et prise de risque|0
9|S’engager dans des projets, changer de thématique, voguer dans des milieux professionnels et scientifiques divers expose nécessairement à l’erreur et à la critique.|0
10|L’alliance du statut de professeur d’université, qui donne une très grande liberté, et de celui de consultant, qui responsabilise vis-à-vis des milieux avec lesquels on travaille, permet de gérer cette nécessaire prise de risque.|0
11|L’urbanisme est un champ de pratiques professionnelles et sociales hétérogènes qui mobilise simultanément des connaissances scientifiques disciplinaires, de l’ingénierie, de la conception, de l’organisation, des savoir-faire, de l’imagination, de la créativité, et qui passe par toutes sortes d’interactions, de conflits, de compromis, de prises de risque.|0
12|De plus, l’urbanisme s’exerce sur des réalités urbaines toujours singulières, chargées d’une histoire spécifique, et dans des contextes temporels différents.|0
13|L’urbanisme ne peut donc prétendre constituer en tant que tel, ni une discipline scientifique, ni un seul métier.|0
14|Mais l’urbanisme doit être en mesure de mobiliser sans cesse de nouvelles spécialités scientifiques et techniques.|0
15|Il fut un temps où des professionnels très expérimentés pouvaient assurer un grand nombre de tâches de natures différentes.|0
16|Aujourd’hui, l’exercice de l’urbanisme nécessite la mobilisation dans la durée de savoirs très spécialisés, d’acteurs et d’expériences multiples.|0
17|Le premier enjeu est de parvenir à mobiliser l’ensemble des compétences nécessaires.|0
18|Le second est de parvenir à faire travailler les divers spécialistes ensemble dans une dynamique commune.|0
19|L’urbanisme contemporain passe donc à la fois par des projets, car ils peuvent agréger des compétences, par des dispositifs organisationnels, qui prennent d’ailleurs une importance croissante, et par des professionnels et des décideurs capables de les initier et de les faire fonctionner.|0
20|Les actions urbaines s’inscrivent généralement dans des durées longues.|1
