dynamique_text|dynamique_type
se sont édifiés|crea
l’embellissement de Paris|modif
n’ont ajouté à « la plus belle ville du monde » qu’une banlieue indifférenciée, sans style et sans âme|crea
se prépara puis s’accomplit le renouveau de la France|repr
un immense effort de construction|crea
ont surgi|crea
doit évoluer le Paris futur|modif
Le développement extraordinaire de Paris et de sa Région|crea
devenir au cours des 80 dernières années cette agglomération géante |modif
a grandi lentement|crea
son embellissement et à son équipement|modif
la croissance de PARIS|crea
en bâtissant les enceintes successives de Paris|crea
se sons basties|crea
se bastissent|crea
de nombreux espaces libres pour bâtir|crea
élargir l’enceinte|modif
la création de nouveaux quartiers|crea
l’opération d’extension|crea
devront être matérialisées|crea
L’extension|crea
les changements qui pourraient y être faits|modif
l’embellissement de cette ville|modif
l’accroissement continuel et de l’augmentation de « la grande ville|crea
fut donc commencée|crea
l’embellissement et aux commodités de la ville|modif
création de places|crea
percements de rues|destr
a construit|crea
nouvel accroissement|crea
Un nouveau bornage|crea
l’extension des limites à l’intérieur desquelles on percevait l’impôt|crea
accroît à son tour la superficie de Paris|crea
ont été tracés|crea
transforme|modif
un développement considérable de l’agglomération parisienne|crea
réalisés|crea
un développement aussi anarchique qu’inesthétique et ruineux|crea
grands travaux à effectuer|crea
les zones réservées à l’habitation|crea
avoir sauvegardé des espaces libres ou boisés|maint
La démolition des anciennes fortifications de la Capitale|destr
la construction d’importants programmes de logements|crea
ont définitivement effacé les traces de la dernière enceinte|destr
s’agrandit|crea
problèmes d’aménagement urbain|crea
des problèmes d’aménagement du territoire|crea
Les tâches multiples de construction et d’équipement|crea
être conçues et réalisées|crea
Les transformations à apporter|modif
devront être concentrés, groupés ou créés les différents services publics|crea
Les zones à protéger|maint
l’urbanisation peut être poursuivie ou entreprise|crea
seront implantées les activités|crea
le maintien|maint
l’extension|crea
la création|crea
n’ayant nullement l’ambition de dessiner le PARIS de l’AN 2.000|crea
toutes les réalisations nouvelles, tant en matière de construction que d’équipement|crea
n’ont pu être étudiées et matérialisées|crea
puissent ainsi être réalisées|crea
n’a pu être réalisé|crea
son accroissement particulièrement rapide|crea
nouveaux groupes d'habitation|crea
faut donc multiplier et aménager les diverses installations|crea
se soit développé|crea
en débordant les enceintes successives qui lui avaient été tracées|crea
de très belles réalisations urbaines|crea
Des tracés importants apparus|crea
s’y sont développées|crea
les récents groupes de grands immeubles implantés|crea
toute amélioration s’y réalise non par adjonctions, mais par une sorte de « curetage »|modif
Cet assainissement des quartiers nobles|modif
la création de nombreux services et commerces|crea
leur permettent de se moderniser|modif
leur densification|crea
l’installation des services publics indispensables|crea
Une rénovation complète de ces quartiers|repr
la création d’espaces verts|crea
l’implantation des services publics|crea
renouvellement progressif de l’habitat|repr
Leur rénovation progressive|repr
ont grossi progressivement|crea
former une énorme agglomération|crea
réalisations|crea
des réalisations de qualité|crea
construit|crea
un développement harmonieux|crea
se développer|crea
une réalisation normale des équipements|crea
un projet de réorganisation|repr
doivent être rénovés|repr
en créant ou aménageant des noyaux fortement urbanisés et équipés|crea
en restructurant l’agglomération|repr
reconquérir et rénover les noyaux anciens de la banlieue|repr
créer des noyaux nouveaux|crea
faut les équiper|crea
son maintien|maint
le développement|crea
toute construction d'immeuble privé|crea
un développement considérable des nouvelles activités à caractère scientifique, principalement centres de recherches et laboratoires d’études de toute nature|crea
sans être installés|crea
De telles créations ne pourraient-elles pas trouver place|crea
contribueraient à développer|crea
peuvent être plus opportunément placés|crea
prévoir les nouveaux établissements universitaires indispensables|crea
pourraient être avantageusement localisées|crea
la poussée vers l’Ouest des grandes agglomérations|crea
supprimer cette activité industrielle intense|destr
ont été progressivement entourés de quartiers d’habitations|crea
leur transformation|modif
