dynamique_text|dynamique_type
percées|destr
sans cesse grandissantes|crea
les trouées des routes nationales|destr
tombaient les fortifications de Thiers|destr
les zones d'extension de l'agglomération|crea
cette expansion|crea
avaient triplé|crea
ce triplement parisien|crea
poursuite de la croissance urbaine générale|crea
un développement accentué des villes de province|crea
un développement moindre de la région de Paris|crea
la croissance de la région de Paris serait de 36 %|crea
s'accroîtraient ensemble de 54 %|crea
cet accroissement de la région de Paris|crea
un doublement en superficie d'un tissu urbain analogue à celui d'aujourd'hui|crea
La croissance de Paris|crea
auraient en moyenne plus que doublé|crea
n'augmenterait que des deux tiers|crea
augmenteraient|crea
n'augmenterait que de 1,5 %|crea
un ralentissement de la croissance de la région de Paris|crea
une accélération de la croissance des autres agglomérations|crea
CROISSANCE DES MÉTROPOLES D’ÉQUILIBRE|crea
double|crea
progresseront plus faiblement|crea
augmentent davantage|crea
triplent|crea
un triplement|crea
CROISSANCE DES AGGLOMÉRATIONS IMPORTANTES DU BASSIN PARISIEN|crea
CROISSANCE DES AGGLOMÉRATIONS MOYENNES	DU BASSIN PARISIEN|crea
la croissance spontanée d'autres villes dynamiques|crea
accroissement de la région de Paris|crea
augmentent de 3% chaque année|crea
auront soutenu un accroissement annuel de l'ordre de 2,5 % en moyenne|crea
voir rapidement grandir les autres villes de France|crea
deviendra plus grand|crea
leur essor|crea
une extension progressive|crea
l'orienter à mesure qu'elle se produira|crea
son extension spatiale|crea
Cette extension|crea
presque doublés|crea
les usines et les bureaux construits|crea
bâtiments construits|crea
existent encore|maint
devraient être systématiquement détruits|destr
une extension en surface|crea
superficie multipliée par 5|crea
cette évolution spontanée|crea
superficie doublée|crea
superficie triplée|crea
seront construits|crea
remplaceront une partie des équipements actuellement existants|repr
la démolition|destr
seraient reconstruits|repr
les installations et les bâtiments de remplacement|repr
surface multipliée par 2|crea
surface multipliée par 3|crea
surface multipliée par 4|crea
densifier abusivement les rares terrains disponibles|crea
garder des réserves|maint
aller construire|crea
leur extension|crea
expansion des autres régions|crea
telle ou telle réalisation|crea
"""construire beau"""|crea
leur implantation|crea
une bonne implantation|crea
"l'implantation des logements, des ateliers, des bureaux, des >services publics, des <lieu type=""obj"" n=2><res n=2>transports</res></lieu></dyn>"|crea
zones construites|crea
un secteur de rénovation|repr
une zone à urbaniser par priorité|crea
la réalisation des grands ouvrages et des programmes d’équipement|crea
implanteront les équipements|crea
réalisation des grands équipements d'infrastructure, particulièrement de voies ferrées et d'autoroutes|crea
peut être réalisé aisément et à coût normal|crea
La réalisation effective d'une région urbaine|crea
les poussées de la ville|crea
les extensions en surface de cette agglomération|crea
cet agrandissement d'une trame urbaine|crea
ont déjà étendue|crea
la croissance d'une ville|crea
successivement franchies|crea
a toujours grandi|crea
faire mourir Paris|destr
la croissance de l'agglomération|crea
l'entretien de ses voies et de ses jardins|maint
les zones construites|crea
a dévoré le petit département de la Seine|crea
a mangé le curieux anneau circulaire de Seine-et-Oise|crea
a même mordu sur la Seine-et-Marne|crea
en formeront huit|modif
sa croissance|crea
la rénovation|repr
la disparition rapide des espaces libres|destr
ont été construits|crea
construits|crea
Les constructions n'ont en effet repris|crea
13.000 logements terminés|crea
750.000 logements terminés|crea
plus de 200.000 logements en cours de construction|crea
aura construit, depuis 1953, plus d'un million de logements|crea
aura bâti un autre Paris|crea
s'étend en doigts de gant|crea
se colmatent|crea
ont été implantés|crea
espaces libres en voie de disparition|destr
quartiers vétustes trop lentement repris par la rénovation|repr
Les constructions réalisées|crea
ont fait disparaître beaucoup des espaces libres qui existaient|destr
L'extension des surfaces bâties|crea
"développement ""en tache d'huile"""|crea
l'agrandissement|crea
la croissance passée de l'agglomération de Paris|crea
des extensions linéaires|crea
la construction des voies ferrées|crea
le comblement des espaces interstitiels|crea
se construisent|crea
s'étend|crea
ces axes nouveaux|crea
demeurent libres|maint
"ces extensions ""linéaires"""|crea
la fin du développement en tache d'huile|crea
les extensions linéaires|crea
veut construire|crea
deux ou trois zones déjà construites|crea
