dynamique_text|dynamique_type
construire la ville|crea
transformait des appartements|modif
en ne gardant que l’enveloppe des murs et les structures porteuses|maint
la transformation|modif
l’invention|crea
la conception|crea
se constituer|crea
se transformer|modif
voulait créer de véritables espaces publics : la rue, le parc|crea
l’arrivée du grand centre commercial|crea
la conception du parc de la Villeneuve|crea
devait requalifier l’Urbain|repr
Réalisé|crea
ce parc, construit|crea
quartier à venir|crea
la création d’un parc forestier|crea
réactualiser l’imaginaire des grandes forêts de Bondy et de Sevran, en partie disparues|repr
fallait concevoir un enchaînement d’espaces « capables »|crea
serait équipée progressivement|crea
la plantation de 400 000 très jeunes arbres|crea
la conception des paysages|crea
poser des objets, mais de s’en abstenir|crea
travaux réalisés en plusieurs tranches|crea
neuf tranches actuellement réalisées|crea
l’amélioration et à la transformation des lieux|modif
perdurent|maint
la sauvegarde des murs|maint
la préservation des espaces « naturels » du quartier|maint
trouveraient aisément leur place|crea
des configurations rurales anciennes sauvées|maint
protection pour la meilleure partie des murs|maint
la sauvegarde|maint
l’aménagement de la Cité internationale|crea
dessiner, avec lui, les espaces publics|crea
la digue plusieurs fois modifiée|modif
fut dessiné|crea
Les aménagements successifs de la digue|modif
ses diverses constructions|crea
avons ajouté, sur notre propre emprise, un nouveau parc|crea
recompose les berges de la rive gauche|repr
Urbaniser la Plaine|crea
libres tracés des infrastructures|crea
la juxtaposition des emprises et des constructions|crea
a occupé les rives|crea
l’enchevêtrement des constructions et des ouvrages|crea
la renaissance de la Plaine|repr
Ces voies nouvelles|crea
renouveler le principe des arbres en ligne|repr
aménageaient|crea
produisait sans cesse des culs-de-sac bornés|crea
l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé|crea
fut éventrée|destr
veut implanter le Stade de France|crea
soit couverte|crea
Couverte par une dalle|crea
reconstituer le sol de pratique|repr
La requalification de l’avenue|repr
couverture de l’autoroute A1|crea
avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50|crea
réaliser un jardin|crea
les premiers travaux de la transformation des quais de la rive gauche de Bordeaux|modif
la conception d’un logement|crea
créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures|crea
jardiner les quais|modif
aménager cet espace public|modif
restera|maint
l’urbanisation|crea
sauvegarder cette dernière|maint
doit-on le transformer|modif
ont modelé et configuré ce paysage|modif
telle ou telle transformation|modif
la conservation|maint
la tabula rasa|destr
La préservation de l’espace ouvert|maint
la transformation et l’amélioration des lieux|modif
