dynamique_text|dynamique_type
se transformer spectaculairement|modif
urbanisé|crea
une ville à refaire|repr
quartiers nouveaux|crea
des aménagements de lieux publics|crea
recomposer en rond-point la rencontre d’une avenue et d’un échangeur routier|repr
placer un grand objet|crea
va se constituer|crea
le Château d’eau étant construit|crea
peut transformer positivement cette ville|modif
transformation urbaine|modif
un nouvel espace public|crea
construire|crea
faire réellement apparaître les choses|crea
ouvrais des îlots irréguliers, impossibles|crea
la « rénovation » planifiée|repr
ai construit à cette époque un foyer de personnes âgées|crea
retour de la ville classique d’îlots fermés|repr
les rares projets qui ouvraient ce grand îlot vert|crea
transformer la ville|modif
création architecturale intense|crea
la tabula rasa|destr
peuvent devenir des îles dans la verdure|modif
faut transformer la ville|modif
un nouveau centre linéaire|crea
la permanence|maint
des formes immuables|maint
cette permanence|maint
peut donc les tracer plus étroites|crea
les volumes constructibles|crea
installent leurs bâtiments|crea
un projet de technopôle|crea
accueillir quantité de programmes distincts – habitat, recherche, industrie|crea
en constituant des « îles » bâties|crea
en préservant les villages existants|maint
mets en place les îlots ouverts auxquels je pensais depuis Cergy|crea
construisent les rues|crea
l’installation de chacun de ces programmes|crea
peut déployer, de l’autre côté de la Place de la Rotonde, un prolongement du Cours Mirabeau|crea
déployer un nouveau territoire|crea
ne pouvais pas concevoir tous les bâtiments|crea
construire un quartier contemporain|crea
L’aménagement|crea
non pas pour le remplir de constructions|crea
en faisant une entrée de ville|crea
la création d’un parc|crea
canal, agrandi|modif
une « île bâtie »|crea
transformer|modif
transformer des immeubles « à vue »|modif
l’urbanisme de barres de l’époque moderne, sans îlot, maladroitement installé|crea
Cette installation|crea
toute implantation|crea
rues rasées|destr
démolir une petite barre|destr
bâtir deux immeubles-villa|crea
créer un nouveau cœur d’îlot privatisé|crea
redonner une dignité d’habitation aux barres|repr
en apportant des loggias et des halls d’entrée|modif
ai construit le musée Bourdelle, la tour de Lille, les logements de Fukuoka, au Japon|crea
sites à réinventer|repr
un retour à la ville classique|repr
recopier le passé|repr
revenons à la ville de toujours|repr
l’évolution de la Part-Dieu à Lyon, des villes nouvelles autour de Paris, ou bien encore Montpellier|modif
n’a été mis à l’alignement des rues|crea
sont restées|maint
préserver les vignes, les oliviers, les fermes|maint
l’augmentation toujours croissante des logements|crea
ajouter encore aux routes existantes|crea
couvrir ici la campagne|crea
« îles bâties »|crea
Leur implantation|crea
densifier ponctuellement|crea
en le préservant|maint
l’habitat que l’on installe|crea
aurons tenté d’urbaniser cette campagne|crea
construisons actuellement une partie d’île divisée en deux|crea
plusieurs opérations privées|crea
reprendre dans le secteur Masséna, et dans un tout autre contexte de programme et de site, cette grille de rues et d’îlots|repr
un jardin constitué|crea
L’implantation du bâti|crea
ont inscrit leur projet|crea
préserver à l’île son image exceptionnelle d’île-bateau|maint
créer un quartier linéaire de logements|crea
nouveau Palais de Justice|crea
une ville qui se construit par poches|crea
aménagements durables|crea
le durable|maint
le transformable|modif
le réversible|repr
sont fermées à l’évolution|modif
ne seront pas évolutives|modif
sont donc, dans le temps, divisibles, vendables, commercialisables|modif
morceaux reconstructibles|repr
continuer|crea
créer des rues|crea
a installé des bâtiments types existant dans Sao Paulo, des basiques « sans qualité »|crea
créer un grand ensemble exemplaire|crea
pourraient se construire|crea
en poursuivant la trame des îlots et des rues de Manhattan|crea
l’urbanisation lente des bocages périphériques|crea
devenus ville|modif
un processus d’urbanisation plus rapide|crea
Les nouveaux quartiers|crea
l’urbanisation|crea
prévoit d’y construire 500 000 m2 et un parc de 12 hectares|crea
en créant un grand parc « tentaculaire »|crea
est « planté » de plusieurs îles résidentielles|crea
ménagent des jardins et des rues intérieures|crea
une croissance urbaine|crea
les « poches », les camps résidentiels fermés et les condominiums en chantier|crea
une opération|crea
répète|crea
l’avenir potentiel des condominiums réalisés|crea
interdit d’évoluer en souplesse|modif
se fabriquer des grands ensembles|crea
soit ouverte aux modifications|modif
un nouvel îlot|crea
réussir à créer des rues, des îlots, une partition d’espaces privés dans un réseau viaire public|crea
faire des îlots ouverts|crea
réussir à faire des rues Nord-Sud vraiment constituées|crea
une évolution facile|modif
Ce tracé de rues|crea
ai proposé un long parc central|crea
construisons des bâtiments très différents les uns des autres|crea
la répétition obsessionnelle|crea
une rue repensée|repr
accueillir des bâtiments autonomes|crea
constituer la rue|crea
installer à Masséna l’Université Paris VII|crea
alignent des façades continues|crea
génèrent des cours intérieures fermées|crea
bâtir des immeubles mitoyens|crea
propose des rues plus étroites|crea
Les immeubles, conçus et réalisés|crea
l’opération devait être réalisée îlot par îlot|crea
une seule opération de 150 à 250 logements|crea
opérations de 40 à 50 logements|crea
leur projet d’îlot entier|crea
plusieurs opérations|crea
cadre volumétrique constructible|crea
les nouveaux îlots|crea
démolir|destr
construisent les écoles ou les universités|crea
concevoir des volumes entiers|crea
donner forme à des logements qui ont des vues un peu dans tous les sens|crea
projets bâtis|crea
conçois des îlots ouverts|crea
construit un bâtiment|crea
