dynamique_text|dynamique_type
leur mutation|modif
naîtrait spontanément|crea
réutiliser un patrimoine|repr
grands territoires en mutation|modif
extension interne de la ville|crea
Transformer une grande filature|modif
réappropriation de l’espace|repr
production de la ville|crea
transformer|modif
la gare de Liège, transformée|modif
mise en œuvre d’infrastructures « égocentrées »|crea
recomposition et de redistribution de l’espace public|repr
projet du tramway de Caen|crea
embellissement|modif
modernisation|modif
a dénaturé un grand nombre de lieux simples|modif
développement urbain|crea
cette ville nouvelle, claire et bien dessinée|crea
donner de l’épaisseur au centre-ville|modif
une transformation mesurée qui est menée|modif
le renouvellement urbain|repr
corridors de développement|crea
La reconquête des boulevards du XVIIIe siècle|repr
la transformation d’une infrastructure|modif
le déclencheur d’un vaste programme de modernisation des équipements collectifs publics ou privés|modif
renouvellement urbain|repr
la réparation|repr
mutation|modif
la démolition|destr
remise en cause d’une forme urbaine|modif
réinstaller une pièce urbaine exemplaire|repr
conçue|crea
Construites|crea
la reconstitution du parc de logements|repr
L’obsolescence rapide des grands ensembles|modif
la permanence d’un cadre physique|maint
reconstruire en dix ans les bases d’un grand paysage|repr
Le projet du Centre des technologies de l’environnement d’Oberhausen|crea
avons eu à concevoir|crea
était transformé|modif
la livraison des bâtiments|crea
D’autres grands développements ont été ensuite réalisés|crea
générer ensuite des développements contradictoires|crea
des projets liés à la reconquête des zones portuaires|repr
la tour – construite|crea
permet de composer un espace inédit|crea
produire la ville|crea
le projet de transformation de la côte du Falaire|modif
retrouve son lien|repr
sa transformation|modif
un processus de transformation|modif
construire une « fondation pour le futur »|crea
ont été installés|crea
sans pourtant pouvoir la concevoir entièrement|crea
Redessiner la mer|repr
relier la côte à la ville|crea
résorption des grandes infrastructures routières|modif
produire un espace « capable »|crea
extension par cercles radioconcentriques|crea
organisant de nouveaux liens entre les communes|crea
les développements futurs|crea
lutte contre l’étalement urbain|crea
projets établissant de nouvelles relations entre ville et nature|crea
en proposant de nouvelles formes urbaines|crea
a changé|modif
concevoir l’espace|crea
le développement|crea
la table rase|destr
la « sanctuarisation » des valeurs patrimoniales|maint
penser de nouveaux modes de développement|crea
peut se définir l’espace public|crea
une forme urbaine stabilisée et patrimoniale|maint
concevoir des formes urbaines denses et compactes|crea
voit s’installer|crea
formes extrêmes conçues|crea
production de l’espace urbain|crea
