dynamique_text|dynamique_type
construire de mes propres mains|crea
construire|crea
rénovation du Chiado|repr
construire en continuité|crea
opérations de restructuration de logements sociaux|repr
construire des surfaces à conquérir|crea
la construction|crea
la conquête de terrain|crea
s’est agrandie successivement|crea
la nouvelle extension|crea
la réalisation|crea
développement de cette région|crea
l’extension de la ville|crea
créent le paysage comme un tout|crea
les nouveaux espaces à construire|crea
conserver cette ligne de côte si pleine de détails|maint
construire deux grandes plates-formes|crea
villes fondées|crea
L’implantation espagnole|crea
multiples transformations|modif
nouveaux développements|crea
le tracé|crea
le tracé espagnol|crea
Le dessin des espaces publics et de l’architecture|crea
a été dessinée une allée plantée d’arbres de grandes dimensions|crea
mal construites|crea
les façades tomberaient|destr
relier la plate-forme du Chiado|crea
ce parcours, disparu|destr
risque d’être rendu exclusivement aux piétons|modif
construire sa propre maison|crea
la construction de bâtiments hauts|crea
quelques-uns d’ailleurs réalisés|crea
suspendre la construction|crea
la préservation de la bande verte qui accompagne la ligne d’eau|maint
la construction d’habitations basses très denses|crea
préserver le territoire|maint
le projet des maisons|crea
les bâtiments de sept niveaux construits|crea
ont laissé sur le terrain le dessin du parcours le plus adapté|crea
ai décidé de tracer aussi l’axe nord-sud|crea
de nombreuses constructions|crea
les constructions nouvelles|crea
la régénération des espaces ouverts des maisons préexistantes|repr
construire uniquement des maisons à patio|crea
proposer le réseau d’infrastructures|crea
la construction des logements|crea
seront occupés|crea
la localisation|crea
la création d’une série d’espaces interstitiels|crea
ces lieux commencent à être remplis|crea
La construction de villes nouvelles ou de quartiers de ville|crea
développement économique et urbain|crea
la tabula rasa|destr
la transformation de la ville existante|modif
son développement aux XVIIIe et XIXe siècles|crea
réhabilitation|repr
Cet effort rénovateur|repr
la rénovation urbaine du quartier de Schilderswick|repr
préserver l’identité particulière de Schilderswick|maint
une transformation irréversible|modif
préserver|maint
changer|modif
la transformation urbaine|modif
la transformation urbaine de Schilderswick|modif
les profondes modifications de la structure urbaine|modif
une « transformation participative »|modif
la dégradation environnante|modif
La rénovation|repr
la transformation de la ville|modif
cette transformation|modif
la table rase|destr
L’implantation au cœur de la ville d’un grand ensemble qui commence au sous-sol|crea
une décadence et une dégradation|modif
ce processus de dégradation et de perte de caractère du centre historique|modif
les transformations|modif
permette de recréer un rapport entre la rue et les tours|repr
doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages|crea
transformation de l’espace|modif
une transformation plus large|modif
urbanisation outrancière|crea
persistance du rural|maint
démolitions : tout le centre commercial, la station d’autobus, le théâtre|destr
la démolition|destr
faille les démolir|destr
faire disparaître les faits de la transformation antérieure|destr
démolitions de structures existantes|destr
détruit|destr
vouloir tout préserver|maint
créer comme une grille|crea
La perpétuelle transformation des villes|modif
le développement des villes|crea
des transformations en cours|modif
