dynamique_text|dynamique_type
La production de la ville|crea
L’urbanisation continue|crea
la « métropolisation »|crea
La maîtrise du développement urbain|crea
se développent par croissance interne|crea
en se densifiant|crea
en s’étendant|crea
croissance externe|crea
forment ainsi un nouveau type de ville, les métapoles|crea
doit faire la ville|crea
faire les villes denses|crea
Le développement d’une ville|crea
les grands aménagements touristiques|crea
la création d’intercommunalités|crea
pourraient y prendre place|crea
la transformation des pôles de développement|modif
réalisations de logements de qualité|crea
les évolutions des villes durables|modif
dessine une ville|crea
permettent de les réaliser|crea
dessiner la ville de demain|crea
a créé un quartier universitaire parsemé|crea
fabrication urbaine|crea
peut produire de la haute densité|crea
transformation du site|modif
étalement urbain|crea
une évolution sensible des formes de la ville éparse|modif
une multiplication des lotissements écologiques|crea
opérations peu denses|crea
produire des espaces de qualité avec des densités faibles|crea
en fabriquant des lotissements écologiques|crea
le développer|crea
le transformer en profondeur|modif
le prolonger|crea
ne fait pas de la villeavec des maisons individuelles entourées de jardins|crea
continuera à utiliser du terrain|crea
continue à se développer|crea
se développera|crea
l’extension urbaine|crea
doivent réorganiser la partie centrale de la ville|repr
développement de la région|crea
développement|crea
un mode de densification|crea
en faisant une sorte de centralité linéaire|crea
un développement périphérique|crea
une centralité périphérique complètement nouvelle|crea
de nouvelles infrastructures routières|crea
le développement et l’avenir de la partie centrale et de la petite couronne|crea
Faut-il faire un métro ou un tramway périphérique|crea
Mieux vaut développer des grands pôles|crea
de nouvelles centralités|crea
dessiner le tracé|crea
nouvelles « villes nouvelles »|crea
créer de nouvelles centralités|crea
de très grandes opérations urbaines|crea
construire 140 000 ou 150 000 logements nécessaires|crea
remplissage de dents creuses|crea
renouvellement urbain|repr
la relance de grandes opérations urbaines|crea
villes nouvelles|crea
de grandes opérations urbaines de qualité|crea
en construisant des lotissements durables|crea
Ces nouvelles opérations d’urbanisme|crea
ces développements|crea
une voie de développement prometteur|crea
le développement|crea
un certain étalement urbain|crea
préserverait les territoires naturels|maint
une raréfaction des sols agricoles en France|destr
le développement d’une ville linéaire et circulaire mais pas radioconcentrique|crea
