dynamique_text|dynamique_type
n'y a pas de développement raisonné de la métropole contemporaine|crea
l’aménagement et à la gouvernance de l'agglomération parisienne|crea
développement rapide des métropoles|crea
croissance métropolitaine de l'agglomération parisienne|crea
développement des spatialités de l'aire métropolitaine|crea
développement des métropoles|crea
apparaissent|crea
leur métamorphose progressive|modif
le passage d'une ville de la production à une ville de la consommation|modif
cette évolution permanente|modif
mutations de plus en plus rapides et incontrôlées de la ville territoriale|modif
le développement de ce qu'on pourrait appeler une « métropole négociée»|crea
réinventer|repr
concevoir les dispositifs spatiaux|crea
les propositions stratégiques d'aménagement de l'espace|crea
