dynamique_text|dynamique_type
les tracés des paysages construits|crea
créer des formes : ombrières faisant varier la croissance des végétaux, pièges à alluvions constituant des îlots, couloirs à vent pour déplacer les dunes</lieu></dyn>|crea
la transformation de ces sites|modif
la transformation d’une double baie|modif
doit être transformée|modif
créer une succession de bassins|crea
varie en permanence|modif
la réalisation de petits prototypes|crea
ces petites réalisations|crea
la transformation (souvent lointaine, hypothétique ou aléatoire) des grands sites|modif
des paysages agricoles dévastés|destr
les restaurer|repr
transformer de tels territoires|modif
substituer par d’autres|modif
Tout reste en place|maint
tout se transforme|modif
la requalification d’un vaste territoire|repr
leur transformation|modif
l’extrême dégradation du site|modif
un processus de substitution de ces traces horticoles|modif
tout reste en place|maint
tout change de nature|modif
remplacent les clôtures|modif
succèdent|modif
remplacent les friches|modif
Le sol reste intact|maint
est nouveau|crea
Le processus de substitution|modif
le travail de transformation des traces|modif
modifier le territoire|modif
imaginer non pas une forme|crea
un processus de transformation|modif
son étalement récent|crea
le traitement des limites entre habitat et agriculture|modif
la transformation des vallées|modif
la plantation progressive de ces parcelles|crea
deviennent ponctuellement l’espace public des lotissements|modif
forment ensemble des promenades|crea
en définissant une nouvelle silhouette|crea
ses futures extensions|crea
mécanismes de substitution|modif
Ni restauration|repr
ni reconquête|repr
Mise en place d’une structure paysagère|crea
qualifie un territoire|modif
construire un quartier|crea
l’aménagement du site de l’exposition du Millenium|crea
l’accueil de futurs quartiers|crea
La dépollution de la péninsule|modif
une véritable table rase|destr
Le quartier futur imaginé|crea
reconstituer une forêt alluviale|repr
Douze mille arbres plantés|crea
font surgir un paysage forestier|crea
évoluera|modif
processus de fabrication de la ville et du territoire|crea
sont fabriqués les rues, les réseaux d’eau et d’énergie, les trottoirs|crea
est explicitement construite|crea
se réparent|repr
se transforment|modif
la construction|crea
leur développement|crea
leur conservation|maint
processus de fabrication contemporains|crea
remembrement parcellaire|repr
développement des friches|crea
prolifération autoroutière|crea
entrées de ville dévastées|destr
est fabriquée de telle façon|crea
