dynamique_text|dynamique_type
était en train de se former|crea
l’évolution typologique du tissu urbain de Florence|modif
la construction territoriale|crea
le développement de la nouvelle zone d’activités de Courtrai|crea
les petites entreprises installées|crea
construction de l’espace|crea
dessiner la ville contemporaine avec son espace fragmenté et peu lisible|crea
avons réalisée|crea
avons proposé de commencer par un grand parc qui suivrait les rails|crea
construisions|crea
la flexibilité et la disponibilité au changement de ces territoires|modif
l’étalement urbain|crea
la réalisation de la grand-place, du cimetière|crea
réalisation des rues et places minérales|crea
se modifie et se transforme|modif
ont modifié le fonctionnement écologique du territoire|modif
la construction de biens communs, d’un avenir commun|crea
refonte de l’espace commun|repr
Adapter le territoire, ses différentes parties|modif
la construction de visions pour plusieurs régions urbaines|crea
un recyclage radical des tissus existants|repr
vastes territoires urbanisés|crea
des transformations spatiales|modif
deviennent progressivement les lieux problématiques qui absorbent la crise|modif
les faibles perspectives d’amélioration|modif
la nouvelle desserte ferrée|crea
la multiplication des équipements collectifs|crea
des tissus urbains renouvelés|repr
peuvent devenir des espaces de relations|modif
Les grandes transformations en cours|modif
reconstruire des continuités|repr
conformer les lieux en espaces de vie|modif
stables comme temporaires|maint
prolongé|crea
en projet|crea
requalifier des grandes parties de tissu|repr
peuvent construire une métropole de continuités urbaines non banales|crea
la nouvelle expansion de la ville de Moscou|crea
le développement de la ville|crea
La nouvelle expansion sud-ouest de Moscou|crea
formant une partie de ville grande comme Paris intramuros|crea
la nouvelle expansion|crea
la réalisation d’un nouveau parc métropolitain|crea
établit une nouvelle relation entre espaces ouverts et espaces construits|crea
requalifier et recycler en profondeur les zones dégradées existantes|repr
territoires urbanisés|crea
des basses terres généralement asséchées|modif
réutiliser le réseau de canaux|repr
raccorder le nouveau système au réseau principal|crea
Une reforestation|repr
réaménager le paysage rural|repr
relier les espaces et les territoires|crea
de longs processus de transformation|modif
la construction urbaine et des infrastructures|crea
frontières devenues floues ou en voie de disparaître|destr
une côte ou des berges de fleuves érodées|modif
sont modifiés par le temps|modif
peuvent être impermanents|modif
la possibilité ou la nécessité d’une modification radicale de notre espace quotidien|modif
de nouvelles forêts|crea
la re-naturalisation des fleuves|repr
la reconstitution du réseau d’évacuation des eaux|repr
la re-modélisation des terres basses immergées|repr
la restructuration du patrimoine bâti|repr
repenser les cycles de vie des différents ouvrages|repr
subiront une plus grande fatigue|modif
le soin requis|modif
un territoire aménagé|crea
produire un nouvel espace collectif|crea
des territoires arrachés à la mer|modif
la plaine asséchée de la Vénétie|modif
les habitats à protéger ou à relocaliser|maint
dessinera de nouvelles géographies|crea
ne subissent pas de déformations excessives|modif
leur donner des dimensions généreuses|crea
transformations survenues|modif
le processus de sélection et d’adaptation|modif
un projet étendu de requalification des territoires de la dispersion et de la diffusion|repr
Les interventions en cours et envisagées sur le réseau routier|modif
transforment la relation osmotique entre bâti et réseau|modif
réaliser de nouvelles lignes de tramways|crea
400 kilomètres de lignes nouvelles|crea
la modernisation et du cadencement du réseau ferroviaire|modif
un projet de requalification de l’ensemble du territoire|repr
améliorer les infrastructures|modif
produire de nouveaux paysages de l’habitat|crea
est, comme toute autre forme urbaine, en train de changer|modif
substitution d’activités textiles par d’autres|modif
démolition|destr
substitution|modif
éventuelle nouvelle construction|crea
sont démolis|destr
sont remplacés|modif
implantés|crea
continue à en construire de nouveaux|crea
cette forme d’urbanisation|crea
le recyclage de la ville diffuse|repr
entrepôts à réhabiliter|repr
carrières abandonnées à renaturaliser|repr
centres commerciaux vieillis et surfaces asphaltées à réenvisager|repr
Un projet 100 % recycling|repr
pourrait être renouvelée|repr
Une grande occasion de recyclages légers et lourds|repr
le futur changement|modif
les grandes opérations de déviation des rivières|modif
les travaux de remise en état des terres basses et humides|repr
des procédures de poldérisation|modif
a produit son propre paysage|crea
réinventer cet espace|repr
Réemploi des gravières|repr
renaturalisation des canaux de section variable|repr
construction d’un nouvel espace habitable|crea
reforestation|repr
projet pilote de transformation de la gravière Merotto|modif
Requalification du quartier des Ardoines|repr
aménagement du passe à poisson|crea
création d’une digue|crea
création d’une digue végétalisée|crea
urbanisation acceptée collectivement|crea
doit être protégé collectivement|maint
doit être redonné à la crue|repr
retrouve sa place de colonne vertébrale|repr
connecter transversalement avec les différents tissus|crea
redonner de l’espace, de vastes surfaces|repr
une extension de l’espace urbain|crea
un nouvel espace public|crea
concevoir la ville|crea
la modification de la ville|modif
dessiner un parcours|crea
nouveau cimetière|crea
une ville en transformation|modif
une nouvelle forme de ville|crea
produisent, peut-être, de nouvelles configurations spatiales, de nouveaux habitats|crea
l’aménagement de parcs|crea
la construction de la ville contemporaine|crea
un nouvel habitat|crea
l’expérience réalisée|crea
guider une transformation positive|modif
la création d’espaces|crea
L’action modificatrice de l’eau|modif
tout aménagement l’impliquant|crea
rétablissent la dimension mythique de la ville|repr
l’imperméabilisation croissante des sols|modif
localisation des activités économiques|crea
artificialisation des berges|modif
agrandissements des ports|crea
la reconstruction de l’image territoriale|repr
redessine la relation de la ville avec l’eau|repr
l’aménagement|crea
préserver le centre-ville|maint
en augmentant les digues actuelles (1,20 m) d’environ un mètre|modif
la régénération de grands espaces portuaires en friche|repr
réaménagement de la zone d’expansion du fleuve, actuellement en cours|repr
dessine la ville|crea
chaque modification|modif
en transformation continue|modif
sa restructuration et de son renforcement|repr
densifier la ville linéaire de la vallée|crea
resteraient en marge du développement|maint
seraient, de fait, protégées|maint
destinés à accueillir tout le reste : centres commerciaux, lotissements de « Parisiens » qui fuient le Nord et la grande métropole, plaques industrielles|crea
en réutilisant les lieux déjà habités dans le passé|repr
la restructuration|repr
l’adaptation|modif
remettre en culture des zones abandonnées|repr
les travaux d’aménagement de la Durance|crea
la construction du bassin de Serre-Ponçon|crea
un réseau, sinon disparu|destr
la formation d’un espace public territorial|crea
connecter centres urbains, villages, noyaux traditionnels et contemporains|crea
en réinvestissant les versants et les espaces de transition|repr
la réalisation de l’Appalachian Trail|crea
en conservant au moins en partie le réseau gravitaire d’irrigation|maint
ne pas perdre la végétation qui y est associée|maint
la restructuration des zones industrielles|repr
dessine le territoire|crea
la construction d’un espace public territorial|crea
a été de relier des espaces séparés, ségrégués|crea
Le projet mené par Studio avec Kromwijk pour ce nouveau parc|crea
ne pas fragmenter le long espace central|modif
