dynamique_text|dynamique_type
nouveaux espaces publics|crea
la recomposition du tissu urbain|repr
créait des assemblages urbains plus subtils|crea
aménager la colline|crea
réaliser >ce parc|crea
la restauration du centre ancien dégradé|repr
Le travail|repr
concevoir les jardins|crea
mutations d’un site|modif
construire|crea
relier|crea
développer|crea
préserver|maint
transformations du territoire|modif
la construction|crea
édifier|crea
"tout projet territorial : les typologies, la nature de l’espace public, les ressources constructives, l’invention sur le programme y jouent un rôle essentiel. Nombre de textes et de projets témoignent de l’apport de l’architecture dans ces jeux transcalaires : Aalto, Wright, Kahn, Lewerentz, Plecnik, Rossi, Giancarlo di Carlo, les Smithson et des centaines d’autres ont beaucoup à nous apprendre sur le territoire. J’applique les mêmes principes à l’Académie de Mendrisio, dont la fondation menée par les architectes modernes de l’école tessinoise — Aurelio Galfetti, Mario Botta — reposait sur les apports de la discipline au débat territorial. Enfin, la direction du DSA « architecte-urbaniste » à l’école d’architecture de la ville et des territoires de Marne-la-Vallée, me donne la chance d’actualiser cet entrelacement des échelles à l’aune des enjeux contemporains de l’urbanisme pour former les nouvelles générations à cet exercice. 

[8] Ce cours fera l’objet, en 2015, d’une publication éditée par Mendrisio Accademy Press. [9] Diplôme spécialisé d’approfondissement, destiné à des jeunes diplômés voulant devenir urbanistes. Cette formation a été fondée par Yves Lion en 2007. J’en assume la direction depuis septembre 2013, conjointement avec Éric Alonzo. 

Relier la ville par l’infrastructure, étude du « faisceau » à Nanterre, 2009 (Epadesa). 

Cette méthode ouverte insiste sur les relations multiscalaires sans induire de doctrine sur la forme ni porter de jugement sur la diversité des situations auxquelles le concepteur est confronté. Le pavillonnaire, les tissus suburbains, les espaces naturels, les villages ou les quartiers métropolitains ont tous besoin d’évolutions"|modif
développement des villages|crea
les transformations effectives|modif
La consommation des terres agricoles|crea
la construction de routes|crea
la construction de logements|crea
l’étalement et la consommation des sols|crea
un autre modèle de développement|crea
Les nouveaux quartiers|crea
renouvelant principalement les friches portuaires|repr
édifiées|crea
cette reconquête des friches|repr
former peu à peu un « central park »|crea
la constitution de la ville|crea
sont entretenus et réhabilités|repr
a été édifié|crea
préservant la campagne|maint
sa dynamique de développement|crea
mettre en place les réseaux|crea
une possible transformation de la colline|modif
une reconquête collective d’un site|repr
formaliser et de réaliser notre premier chantier|crea
les lignes que l’on trace|crea
change|modif
deviennent épaisseurs, porosités|modif
les différentes étapes possibles d’une transformation|modif
la réappropriation de la colline|repr
avons conçu nos espaces publics|crea
nouveaux quartiers|crea
tissus urbains à régénérer|repr
Des grilles régulières construites d’un bloc|crea
n’y accueillir que des produits immobiliers standardisés|crea
la substitution progressive, parcelle par parcelle|modif
en laissant une grande place à ce qui existe et demeure|maint
remplaçons ainsi progressivement une partie du bâti|modif
adapter|modif
densifiant|crea
chaque modification|modif
évoluera|modif
doivent se déformer|modif
adopter des formes plus polies|modif
créant une césure dans l’alignement de la rue et un jardin traversant tout l’îlot|crea
La densification|crea
une fragmentation des formes bâties|modif
un parc aménagé|crea
le terrain rehaussé|modif
de nouveaux types de bâtiments|crea
De nouveaux types|crea
la réutilisation de voies héritées du plan d’une ancienne cité-jardin|repr
cette hybridation progressive|modif
mettre en retrait du trottoir les rez-de-chaussée habités|crea
construire une place en briques|crea
deux nouvelles gares|crea
s’installent côte à côte|crea
imaginer le nouveau quartier|crea
la transformation de la RD914|modif
