dynamique_text|dynamique_type
la métropolisation|modif
réhabilitation du site|repr
le traitement de l’espace public|modif
Réhabiliter ce site|repr
civiliser cette voie rapide|modif
en supprimant deux voies de circulation, les échangeurs dénivelés, les passages piétons souterrains sinistres et rares|destr
traitement séquencé|modif
plantations généreuses|crea
ont redonné à ce site merveilleux son charme|repr
une réhabilitation architecturale de nombreux bâtiments sur le front de mer|repr
n’ai d’ailleurs pas réalisé un seul parc ou jardin|crea
supprimer un maximum de ronds-points|destr
supprimais un|destr
créaient dix|crea
promise à la démolition|destr
démolitions|destr
la transformant|modif
la remise en eau de la baie du mont Saint-Michel|repr
un projet de métro automatique|crea
ce projet de transport public|crea
a profondément transformé la ville et son agglomération|modif
le construire|crea
la construction des 2e et 3e lignes|crea
un traitement très ambitieux des espaces publics|modif
restructuration|repr
développement urbain|crea
les extensions du réseau|crea
Le projet d’aménagement des Deux-Rives|crea
créer une ville nouvelle|crea
réalisé|crea
les nouvelles limites urbanisables|crea
qualifie|modif
renouvellement de l’autre|repr
de nouvelles formes urbaines construites|crea
Ces nouvelles formes urbaines|crea
le retraitement de l’autoroute A4|repr
végétaliser 100 ha de toiture et à planter 20 000 arbres|modif
la création de logements flottants|crea
va transformer un magnifique bâtiment de centre-ville, ancien musée d’art moderne|modif
en réalisant la « ville jardinée »|crea
Un lieu ouvert|crea
est devenu un espace de liberté|modif
concevoir la ville durable|crea
évolutions de la rue|modif
réaménageons actuellement ce site éventré|repr
en raccourcissant l’autoroute du Sud|modif
rétablir un équilibre des usages des voies|repr
se construisent|crea
la création de métropoles|crea
la disparition des départements|destr
Le traitement des espaces publics|modif
ai beaucoup réalisé|crea
réaliser en enrobé des trottoirs piétons|crea
créent une canopée|crea
font évoluer les profils des voies|modif
