dynamique_text|dynamique_type
re-territorialiser|repr
la mise en chantier de la grande pelouse horizontale|crea
l’urbanisation d’une partie des coteaux de la boucle de l’Oise|crea
le chantier du parc du Sausset|crea
les processus d’évolution de ses milieux|modif
réoccupés|repr
ces territoires en mouvement|modif
concevoir la ville|crea
sa transformation|modif
maintenir et protéger certains reliefs ou végétations|maint
développement de l’Euregio Meuse-Rhin, la Métropole verte|crea
le développement de nombreux projets intercommunaux ciblés|crea
la mutation de l’agriculture|modif
opérations d’aménagement|crea
aménagement de communes rurales, de bourgs ou de petites villes|crea
un déploiement territorial transfrontalier|crea
Réaliser des ouvrages|crea
la réalisation du parc Aqua Magica|crea
la réalisation du jardin des Acacias|crea
sera réalisé|crea
Territoires en mouvement|modif
fabrication de la ville|crea
peut se développer un quartier|crea
la conception relative à de vastes territoires transnationaux|crea
les paysages fluctuants|modif
la fabrication de la ville|crea
créer des espaces publics|crea
l’immense besoin de construction de logements|crea
un projet conçu et écrit|crea
le paysage mouvant|modif
l’invention de morphologies urbaines adaptées au contexte|crea
Formation du territoire de Cayenne|crea
l’implantation des grandes infrastructures de transports franciliens|crea
la future A14|crea
les infrastructures actuelles et futures|crea
une conception par « strates et horizons »|crea
l’infrastructure projetée en viaduc|crea
une canopée générée|crea
la plantation d’un nouveau parc boisé|crea
scénarise ainsi une nouvelle entrée|crea
des jardins partagés et des émergences architecturales existantes et à venir|crea
un nouvel horizon urbain|crea
cet aménagement anticipateur de l’autoroute|crea
cette nouvelle infrastructure|crea
l’aménagement d’un parc|crea
des projets d’aménagement et de développement territorial|crea
le processus de reconversion de sites industriels|repr
l’invention d’un nouveau paysage|crea
inventer de nouveaux paysages urbains|crea
développement de nouvelles natures urbaines|crea
La réalisation du jardin du Pavillon français|crea
construit|crea
réaménagement des berges du Huangpu|repr
la réappropriation des rives du Huangpu|repr
cette ville en densification permanente|crea
reconnecte les quartiers hors la ville|repr
au linéaire de quais industriels devenus peu à peu friches|modif
un parc forestier de 250 hectares en cours de réalisation|crea
de nombreux projets de grands sites et d’extensions urbaines|crea
le réaménagement de Pershing Square|repr
un plein essor|crea
s’est totalement paupérisé|modif
est en pleine renaissance|repr
Cette rénovation|repr
cette dynamique de redéveloppement|repr
le désir d’un nouveau modèle urbain|crea
impacter le parking|modif
proposons une remise à plat de l’ensemble|modif
la création de « l’espace démocratique »|crea
la réalisation de la place|crea
les bureaux en construction|crea
mener à terme la réalisation|crea
espace déjà réaménagé|repr
la revitalisation de l’espace public barcelonais|repr
l’achèvement de la Diagonal|crea
la végétalisation des toitures et façades|modif
Métamorphose des berges industrielles du fleuve Huangpu|modif
un vaste processus de réaménagement de la rive droite du fleuve Huangpu|repr
reconquérir|repr
des berges jusqu’ici peu aménagées|crea
redéfinit l’espace de la berge|repr
une mégalopole en perpétuelle mutation|modif
est ainsi amenée à devenir, dans toute son épaisseur, un espace de la vie quotidienne|modif
quartiers en devenir|crea
aménagement de quatre secteurs de la rive droite du Huangpu|crea
Création d’une place-parc|crea
la création d’un parking souterrain|crea
ayant surélevé la place|modif
créer un espace public|crea
redescendre la place|repr
la restructuration minutieuse de la dalle du parkings|repr
Revenu à sa planéité historique|repr
redevient accessible|repr
l’implantation de jardins|crea
créant des espaces de repos et de fraîcheur ainsi qu’une « smart canopy », une pergola avec des vignes|crea
aménagement d’une place|crea
s’étendre|crea
la structuration des espaces publics|modif
créer une continuité écologique|crea
l’établissement d’un « park system »|crea
reliant les rives nord et sud|crea
la création de canaux et de ports de plaisances|crea
structurant l’île actuelle|modif
son urbanisation à venir|crea
a directement réalisé certaines parties (port de plaisance, canaux, place centrale</lieu>)</dyn>|crea
Reconversion de la mine de charbon|repr
révise la nette séparation historique entre la mine et les quartiers d’habitation avoisinants|modif
en installant un « ruban de développement »|crea
les différents sites protégés|maint
nombreux aménagements attractifs futurs|crea
sont réalisés|crea
reliant le musée au parc Rückriem|crea
La couverture du ring|crea
Le projet « Over de Ring Zuid »|crea
couvrir en tout ou partie|crea
créer des connexions, espaces publics et développements futurs|crea
permettre d’établir des continuités de la ville|crea
la coupure infrastructurelle introduite|crea
ces couvertures potentielles|crea
une transformation progressive de la ville-territoire|modif
le déploiement des systèmes hydrologiques et écologiques|crea
nouvelles natures et espaces de partage|crea
le quartier en développement|crea
initier la transformation progressive du secteur|modif
les grandes continuités les plus importantes à recoudre|repr
Couvrir|crea
créer des connexions territoriales|crea
La couverture du Ring|crea
crée un espace public structurant|crea
la conception de l’espace public|crea
créer des territoires écosystémiques|crea
Co-construire des écosystèmes territoriaux|crea
se constituent|crea
la réalisation de projets concrets|crea
une réalisation du parc départemental|crea
le projet de couverture du Ring|crea
urbaniser son environnement|crea
en le transformant|modif
réaliser le viaduc de bouclage nord du Ring|crea
créer un tunnel|crea
la couverture totale du Ring|crea
réappropriation|repr
la nouvelle colonne vertébrale du Grand Toulouse|crea
reliant le centre ville à la campagne|crea
l’urbanisation en cours|crea
