dynamique_text|dynamique_type
l’obsolescence accélérée d’un bâtiment mal conçu|destr
la construction de bâtiments hypercompacts donc épais|crea
chaque bâtiment neuf|crea
réaliser des opérations réussies|crea
la transition des territoires|modif
avons fait émerger le premier projet en structure bois|crea
densifier certains territoires|crea
la construction durable|crea
conception d’un bâtiment|crea
la restauration des continuités et des cycles naturels|repr
les morphologies bâties|crea
la transformation du territoire|modif
une urbanisation|crea
l’extension du réseau de chaleur|crea
la production générique du logement|crea
l’épaisseur réduite des bâtiments|modif
la permanence d’une cohérence globale d’aménagement|maint
une conception architecturale|crea
adapter les aménagements|modif
des ajustements marginaux|modif
concevoir une forme urbaine|crea
la conception urbaine puis architecturale|crea
la construction neuve|crea
les bâtiments neufs|crea
peut continuer à vouloir optimiser le neuf|modif
ont eu pour conséquence d’impacter la morphologie bâtie|crea
la forme urbaine qui pouvait en résulter|crea
le projet de la rue Frémicourt|crea
génère des formes bâties très poreuses|crea
une haute réversibilité|repr
percer un pignon ou un mitoyen|modif
relier deux bâtiments|crea
une réorganisation multiple de l’accessibilité|repr
des facteurs de mutabilité inspirants|modif
concevoir des bâtiments bas carbone|crea
la réintervention sur le bâti|repr
en minimisant les déconstructions|destr
l’endurance du « système haussmannien »|maint
perdurera|maint
sa tabula rasa|destr
réinventer en profondeur les bases politiques, culturelles et esthétiques de la société|repr
la fabrique haussmannienne de la ville|crea
les bâtiments récents|crea
réinventer une ville de la non-hostilité|repr
la densification des tissus urbains|crea
nouveaux logements|crea
l’étalement urbain|crea
densifier|crea
l’actuel épaississement des bâtiments|modif
augmenter la compacité des bâtiments|modif
préserver certains échanges entre bâtiments|maint
préservant des surfaces de contact direct|maint
Le nouveau bâtiment|crea
soigner un rapport au sol ou au sous-sol (nappe phréatique)|modif
aller, sur tous les territoires, vers une plus grande qualité de la construction|crea
l’amélioration du logement|modif
travaux réalisés|crea
leurs travaux de réhabilitation|repr
les différentes méthodes de réhabilitation souhaitables|repr
réemploi des bâtiments existants|repr
nouvelles gares tgv|crea
construire plus vite et moins cher|crea
aboutira aux 4 000 logements de La Courneuve|crea
la construction d’alors|crea
les premiers écoquartiers|crea
une Zac en cours|modif
en train de transfigurer|modif
table rase de ce quartier|destr
le maintien du site|maint
les opérations de construction et d’aménagement|crea
logements réhabilités|repr
la construction et de l’aménagement|crea
les Opérations programmées d’amélioration de l’habitat|modif
la requalification de l’habitat privé ancien|repr
Opérations programmées d’amélioration thermique des bâtiments|modif
les opérations de construction|crea
la reconstruction du lycée Gallieni|repr
reconquête de secteurs de friches|repr
la mutation des territoires|modif
la restauration des écosystèmes naturels|repr
la ville nouvelle de Zenata|crea
le réaménagement des abords de Notre-Dame de Paris|repr
des opérations neuves|crea
ses mutations|modif
en préservant sa structure|maint
adapter le fonctionnement du système urbain et de ses composantes|modif
mutations potentielles en matière d’usage, de connexion|modif
toute perturbation non planifiée|modif
Concevoir la ville « sous contraintes »|crea
l’optimisation des morphologies urbaines de plusieurs projets|modif
un projet collectif et responsable de construction d’un territoire|crea
un réseau de « vides » à sanctuariser|maint
armature à instituer|crea
implantation des constructions et des activités humaines|crea
imaginant la ville apaisée|crea
réaliser des territoires durables|crea
faut penser la ville|crea
perdurer|maint
Durer|maint
se transformer|modif
la transition écologique des territoires|modif
La restauration des écosystèmes naturels|repr
restaurer les cycles écologiques naturels|repr
ont pu être altérés par des décisions malheureuses|modif
en posant des limites et des frontières|crea
en définissant des parcelles|crea
en érigeant des murs|crea
créent de la rupture et de la discontinuité|crea
déconstruire la séparation|destr
créer des non-discontinuités|crea
seraient à restaurer|repr
les projets d’aménagement|crea
la transition du territoire hôte|modif
Les opérations d’aménagement|crea
constructibilités|crea
renaturation|repr
reconquête de ces secteurs en friche|repr
édifier jusqu’à 1 million de m2|crea
les opérations d’aménagement|crea
l’une des plus grosses opérations d’aménagement|crea
Dessiner la ville|crea
le rétablissement d’une continuité urbaine entre Bercy et Charenton|repr
transformer un paysage industriel|modif
reconquérir un territoire contraint par des infrastructures ferroviaires et industrielles|repr
accueillir un programme mixte d’un million de mètres carrés|crea
retisser des liens durables entre Paris et sa périphérie|repr
développer des formes urbaines particulières et des constructions spécifiques|crea
créent leur propre « sol »|crea
la transformation du quartier|modif
l’aménagement|crea
la construction|crea
la conception|crea
le projet d’aménagement de Maine-Montparnasse|crea
dessiner une métropole complète|crea
transformation du Grand Pari(s)|modif
expansion de Paris|crea
l’hyper-compactification et de l’hyper-densification de la ville-centre de la métropole|crea
Son implantation|crea
la création d’oasis rafraîchissantes|crea
villes nouvelles décidées|crea
fondation de la ville|crea
l’opération|crea
constructions spontanées|crea
dessiner une ville capable de se rafraîchir naturellement par les brises maritimes|crea
dessine >la ville comme un « climatiseur territorial naturel »|crea
ce nouveau quartier|crea
a déjà esquissé une armature générale du quartier|crea
ont été dessinées avec le vent|crea
ont été agencées pour se protéger du soleil|crea
la médina réinterprété de façon contemporaine|repr
dessiner de façon scientifique un quartier-ville|crea
est devenue une écocité du Sud|modif
Le projet pour la ville nouvelle de Foum El Oued|crea
fabriquer la ville de demain|crea
préserver les conditions d’accueil et d’attractivité du lieu|maint
sont considérablement renforcées|crea
créant des épaisseurs ombragées|crea
restauration des écosystèmes naturels|repr
les urbanisations déjà en place|crea
sanctuariser des corridors écologiques, couloirs de fraîcheur|maint
les lieux de densification acceptable|crea
les interfaces bâties|crea
opérations neuves|crea
une des plus vastes opérations d’aménagement de France|crea
projet bâti|crea
moyens d’intervention sur le tissu faubourien|modif
la rénovation énergétique|repr
les projets de bâtiments et de territoires|crea
l’installation d’une chaufferie bois et d’une boucle d’énergie|crea
la réalisation du quartier|crea
les logements neufs|crea
bâtiments neufs hyper-vertueux|crea
une ancienne tour démolie|destr
n’édifier désormais pour ses installations que des bâtiments à énergie positive|crea
ne construit pas un bâtiment Bepos mais le premier bâtiment à énergie positive partagée|crea
rétroagir de façon positive sur un territoire d’accueil|repr
intégrer sur le quartier d’étude une solution d’approvisionnement énergétique 100 % EnR|crea
le bâtiment pensé|crea
proposer un artefact de forêt|crea
est conçue comme une expérimentation|crea
installer en toiture les compensations techniques permettant de viser la positivité énergétique attendue|crea
conçoit une boucle énergétique locale|crea
la rénovation énergétique de copropriétés alentour|repr
adapter le fonctionnement urbain|modif
mutations potentielles|modif
cette forme de conception|crea
